cell_id,Cyclopsitta desmarestii,Cyclopsitta desmarestii [desmarestii Group],Cyclopsitta desmarestii godmani,Cyclopsitta desmarestii cervicalis
83728efffffffff,20.0,0.0,0.0,0.0
83729dfffffffff,3.0,0.0,0.0,0.0
8372a0fffffffff,1.0,0.0,0.0,0.0
8372b0fffffffff,2.0,0.0,0.0,0.0
8372d2fffffffff,7.0,0.0,0.0,0.0
8372f2fffffffff,1.0,0.0,0.0,0.0
83739afffffffff,1.0,0.0,0.0,0.0
83739bfffffffff,130.0,0.0,0.0,0.0
839c8bfffffffff,1.0,0.0,0.0,0.0
839c8efffffffff,1.0,0.0,0.0,0.0
839caefffffffff,2.0,0.0,0.0,0.0
839cd3fffffffff,104.0,0.0,0.0,0.0
