cell_id,Platyrinchus mystaceus,Platyrinchus mystaceus [albogularis Group],Platyrinchus mystaceus [mystaceus Group]
825f5ffffffffff,79.0,0.0,0.0
826617fffffffff,3.0,0.0,0.0
826677fffffffff,4.0,0.0,0.0
8266a7fffffffff,5.0,0.0,0.0
8266b7fffffffff,4.0,0.0,0.0
8266d7fffffffff,9.0,0.0,0.0
8266dffffffffff,4.0,4.0,0.0
82674ffffffffff,1.0,0.0,0.0
826757fffffffff,3.0,0.0,0.0
82675ffffffffff,5.0,0.0,0.0
826d6ffffffffff,4.0,0.0,0.0
828037fffffffff,1.0,0.0,1.0
828147fffffffff,4.0,0.0,0.0
828b27fffffffff,1.0,0.0,0.0
828b67fffffffff,7.0,0.0,0.0
828b77fffffffff,5.0,0.0,0.0
828f0ffffffffff,2.0,0.0,0.0
828f4ffffffffff,3.0,0.0,0.0
82a957fffffffff,14.0,0.0,0.0
82a977fffffffff,4.0,0.0,0.0
