cell_id,Hemixos cinereus,Hemixos cinereus cinereus,Hemixos cinereus connectens
836500fffffffff,38.0,7.0,0.0
836502fffffffff,2.0,2.0,0.0
836503fffffffff,13.0,0.0,0.0
836505fffffffff,30.0,9.0,0.0
836506fffffffff,4.0,0.0,0.0
836518fffffffff,4.0,0.0,0.0
83651bfffffffff,1.0,0.0,0.0
83651cfffffffff,8.0,0.0,0.0
83651dfffffffff,26.0,4.0,0.0
836520fffffffff,32.0,9.0,0.0
836523fffffffff,1.0,0.0,0.0
836526fffffffff,31.0,8.0,0.0
836811fffffffff,2.0,0.0,2.0
836812fffffffff,3.0,0.0,3.0
8368acfffffffff,3.0,0.0,3.0
838c96fffffffff,1.0,0.0,1.0
