cell_id,Pteruthius intermedius,Pteruthius intermedius aenobarbulus,Pteruthius intermedius intermedius
834045fffffffff,3.0,0.0,0.0
83404cfffffffff,14.0,0.0,0.0
83404dfffffffff,2.0,0.0,0.0
83404efffffffff,3.0,0.0,0.0
834061fffffffff,2.0,0.0,0.0
834065fffffffff,12.0,0.0,0.0
83406bfffffffff,3.0,0.0,0.0
83406cfffffffff,1.0,0.0,0.0
83414bfffffffff,1.0,0.0,1.0
83414efffffffff,1.0,0.0,0.0
834159fffffffff,1.0,0.0,1.0
83415cfffffffff,4.0,0.0,2.0
834165fffffffff,5.0,0.0,0.0
834171fffffffff,1.0,0.0,0.0
836482fffffffff,555.0,0.0,176.0
836484fffffffff,1.0,0.0,0.0
836490fffffffff,3.0,0.0,2.0
836491fffffffff,113.0,0.0,28.0
836492fffffffff,1.0,0.0,0.0
836494fffffffff,3.0,0.0,0.0
836495fffffffff,2.0,0.0,0.0
836498fffffffff,1.0,0.0,0.0
8364a3fffffffff,22.0,0.0,9.0
8364b0fffffffff,14.0,0.0,5.0
8364b5fffffffff,2.0,0.0,0.0
836592fffffffff,1.0,0.0,0.0
8365b2fffffffff,29.0,0.0,0.0
8365b3fffffffff,2.0,0.0,0.0
8365b6fffffffff,172.0,0.0,26.0
836934fffffffff,60.0,0.0,11.0
