cell_id,Myiothlypis bivittata,Myiothlypis bivittata roraimae,Myiothlypis bivittata bivittata/argentinae
825f6ffffffffff,2.0,0.0,0.0
825f77fffffffff,55.0,25.0,0.0
828b07fffffffff,1.0,0.0,0.0
828b27fffffffff,515.0,0.0,69.0
828b2ffffffffff,55.0,0.0,4.0
828b37fffffffff,2.0,0.0,0.0
828b67fffffffff,926.0,0.0,16.0
828b77fffffffff,119.0,0.0,4.0
828e67fffffffff,7.0,0.0,0.0
82a847fffffffff,3.0,0.0,0.0
82b277fffffffff,5.0,0.0,0.0
82b327fffffffff,66.0,0.0,4.0
82b347fffffffff,1442.0,0.0,0.0
82b357fffffffff,160.0,0.0,0.0
82b35ffffffffff,1021.0,0.0,0.0
82b367fffffffff,74.0,0.0,0.0
82b377fffffffff,1.0,0.0,0.0
