cell_id,Piculus chrysochloros,Piculus chrysochloros xanthochlorus,Piculus chrysochloros capistratus,Piculus chrysochloros paraensis,Piculus chrysochloros laemostictus,Piculus chrysochloros chrysochloros,Piculus chrysochloros polyzonus
826617fffffffff,12.0,3.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
826627fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8266c7fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8266dffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8266effffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
828047fffffffff,4.0,0.0,0.0,4.0,0.0,0.0,0.0
82804ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
828067fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
828077fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
828107fffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
828127fffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0
828137fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,7.0
828147fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
82814ffffffffff,9.0,0.0,0.0,0.0,9.0,0.0,0.0
828a07fffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0
828b5ffffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
828f47fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82a597fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,11.0
82a847fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
82a897fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,11.0
82a8c7fffffffff,9.0,0.0,0.0,0.0,9.0,0.0,0.0
82a8cffffffffff,5.0,0.0,0.0,0.0,5.0,0.0,0.0
82a967fffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0
82a96ffffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0
82b347fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
82b34ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
82b35ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
