cell_id,Luscinia megarhynchos,Luscinia megarhynchos megarhynchos/africana,Luscinia megarhynchos golzii
820747fffffffff,2.0,0.0,0.0
820887fffffffff,4.0,0.0,0.0
820897fffffffff,2.0,0.0,0.0
82184ffffffffff,5.0,0.0,0.0
82185ffffffffff,4.0,0.0,0.0
821877fffffffff,6.0,0.0,0.0
821947fffffffff,2.0,0.0,0.0
82194ffffffffff,11.0,2.0,0.0
82195ffffffffff,22.0,0.0,0.0
821e0ffffffffff,26.0,0.0,0.0
821e17fffffffff,2.0,0.0,0.0
821e2ffffffffff,1.0,0.0,0.0
821e37fffffffff,3.0,0.0,0.0
821ea7fffffffff,4.0,0.0,0.0
821eb7fffffffff,1.0,0.0,0.0
821ec7fffffffff,4.0,0.0,0.0
821ecffffffffff,7.0,1.0,0.0
821edffffffffff,4.0,2.0,0.0
821eeffffffffff,2.0,0.0,0.0
821ef7fffffffff,3.0,0.0,0.0
821f1ffffffffff,1.0,0.0,0.0
821f57fffffffff,1.0,0.0,0.0
821f87fffffffff,5.0,0.0,0.0
821f97fffffffff,2.0,2.0,0.0
821f9ffffffffff,8.0,0.0,0.0
821fa7fffffffff,2.0,0.0,0.0
821faffffffffff,1.0,0.0,0.0
822017fffffffff,1.0,0.0,1.0
8220a7fffffffff,2.0,0.0,0.0
822c07fffffffff,8.0,0.0,0.0
822c0ffffffffff,19.0,7.0,0.0
822c2ffffffffff,8.0,2.0,0.0
822c97fffffffff,19.0,0.0,14.0
822ce7fffffffff,12.0,0.0,0.0
822d37fffffffff,2.0,2.0,0.0
822d97fffffffff,8.0,0.0,0.0
822da7fffffffff,2.0,0.0,0.0
822db7fffffffff,13.0,0.0,0.0
82346ffffffffff,2.0,0.0,0.0
823867fffffffff,19.0,0.0,0.0
823877fffffffff,19.0,2.0,0.0
823907fffffffff,109.0,0.0,0.0
82390ffffffffff,12.0,0.0,0.0
823917fffffffff,34.0,0.0,0.0
82391ffffffffff,7.0,0.0,0.0
823927fffffffff,88.0,0.0,0.0
82392ffffffffff,8.0,0.0,0.0
823937fffffffff,22.0,0.0,0.0
823947fffffffff,3.0,3.0,0.0
82396ffffffffff,2.0,2.0,0.0
823977fffffffff,84.0,5.0,0.0
823e47fffffffff,1.0,0.0,1.0
823e67fffffffff,1.0,0.0,0.0
823e6ffffffffff,11.0,0.0,0.0
823f4ffffffffff,18.0,0.0,0.0
823f67fffffffff,2.0,0.0,0.0
823f77fffffffff,4.0,0.0,0.0
82438ffffffffff,2.0,0.0,2.0
8243a7fffffffff,2.0,0.0,1.0
8243affffffffff,4.0,0.0,0.0
825207fffffffff,8.0,0.0,4.0
8252d7fffffffff,4.0,0.0,0.0
825317fffffffff,2.0,0.0,2.0
82534ffffffffff,2.0,0.0,0.0
825417fffffffff,2.0,0.0,0.0
826337fffffffff,1.0,1.0,0.0
827a47fffffffff,19.0,0.0,2.0
827a67fffffffff,1.0,0.0,0.0
827a6ffffffffff,7.0,0.0,0.0
827adffffffffff,3.0,0.0,0.0
