cell_id,Camaroptera brachyura,Camaroptera brachyura [brevicaudata Group],Camaroptera brachyura [brachyura Group]
845280dffffffff,2.0,0.0,0.0
8452811ffffffff,2.0,0.0,0.0
8452831ffffffff,6.0,5.0,0.0
8452851ffffffff,2.0,0.0,0.0
8452865ffffffff,2.0,0.0,0.0
8452867ffffffff,6.0,0.0,0.0
84528edffffffff,2.0,0.0,0.0
845291bffffffff,5.0,3.0,0.0
84529b5ffffffff,15.0,3.0,0.0
84529b9ffffffff,110.0,57.0,0.0
8452b1dffffffff,1.0,0.0,0.0
8452ca9ffffffff,2.0,0.0,0.0
8452dc5ffffffff,2.0,0.0,0.0
845402dffffffff,2.0,2.0,0.0
84540abffffffff,9.0,0.0,0.0
84540b7ffffffff,7.0,2.0,0.0
8454103ffffffff,28.0,17.0,0.0
8454107ffffffff,1.0,1.0,0.0
845411dffffffff,20.0,4.0,0.0
8454133ffffffff,1.0,1.0,0.0
8454137ffffffff,6.0,1.0,0.0
8454139ffffffff,27.0,15.0,0.0
845413bffffffff,3.0,0.0,0.0
8454141ffffffff,2.0,2.0,0.0
8454157ffffffff,12.0,9.0,0.0
8454183ffffffff,3.0,0.0,0.0
8454187ffffffff,4.0,0.0,0.0
8454195ffffffff,8.0,8.0,0.0
8454197ffffffff,3.0,1.0,0.0
845419bffffffff,3.0,0.0,0.0
84541a1ffffffff,1.0,0.0,0.0
84541a3ffffffff,52.0,24.0,0.0
84541a5ffffffff,80.0,56.0,0.0
84541a9ffffffff,9.0,6.0,0.0
84541adffffffff,22.0,16.0,0.0
84541b3ffffffff,2.0,0.0,0.0
84541b5ffffffff,2.0,0.0,0.0
84541b9ffffffff,45.0,29.0,0.0
84541bbffffffff,4.0,0.0,0.0
84541bdffffffff,4.0,2.0,0.0
84541e3ffffffff,2.0,0.0,0.0
84541e7ffffffff,5.0,3.0,0.0
8454409ffffffff,3.0,0.0,0.0
845440dffffffff,25.0,4.0,0.0
8454443ffffffff,2.0,0.0,0.0
8454447ffffffff,8.0,3.0,0.0
8454a93ffffffff,175.0,82.0,0.0
8454a99ffffffff,2.0,0.0,0.0
8454a9bffffffff,130.0,74.0,0.0
8454ac3ffffffff,46.0,28.0,0.0
8454ad1ffffffff,5.0,4.0,0.0
8454ad3ffffffff,2.0,2.0,0.0
8454ad5ffffffff,69.0,22.0,0.0
8454ad7ffffffff,6.0,5.0,0.0
8454addffffffff,28.0,12.0,0.0
8454c4bffffffff,2.0,2.0,0.0
8454c51ffffffff,1.0,0.0,0.0
8454e05ffffffff,1.0,0.0,0.0
8454e0dffffffff,1.0,0.0,0.0
8454e13ffffffff,3.0,3.0,0.0
8454e21ffffffff,10.0,0.0,0.0
8454e25ffffffff,6.0,0.0,0.0
8454e35ffffffff,2.0,2.0,0.0
8454e41ffffffff,16.0,2.0,0.0
8454e49ffffffff,6.0,0.0,0.0
8454e4bffffffff,5.0,2.0,0.0
8454e4dffffffff,96.0,61.0,0.0
8454e51ffffffff,42.0,24.0,0.0
8454e59ffffffff,14.0,8.0,0.0
8454e5bffffffff,19.0,12.0,0.0
8454e5dffffffff,2.0,0.0,0.0
8454e67ffffffff,1.0,0.0,0.0
8454e69ffffffff,4.0,4.0,0.0
8454e8bffffffff,15.0,0.0,0.0
8454ea1ffffffff,2.0,0.0,0.0
8454ea9ffffffff,7.0,7.0,0.0
8454eadffffffff,2.0,0.0,0.0
8454ec5ffffffff,2.0,2.0,0.0
8454ee3ffffffff,2.0,2.0,0.0
8454f19ffffffff,2.0,0.0,0.0
8454f1bffffffff,12.0,0.0,0.0
8454f43ffffffff,2.0,0.0,0.0
8454f45ffffffff,8.0,0.0,0.0
8454f47ffffffff,21.0,17.0,0.0
8454f49ffffffff,10.0,10.0,0.0
8454f4dffffffff,120.0,65.0,0.0
8454f51ffffffff,16.0,0.0,0.0
8454f57ffffffff,4.0,0.0,0.0
8454f6bffffffff,7.0,3.0,0.0
84580bdffffffff,2.0,0.0,0.0
8458517ffffffff,8.0,4.0,0.0
8458585ffffffff,4.0,3.0,0.0
84585d5ffffffff,1.0,1.0,0.0
8458839ffffffff,2.0,0.0,0.0
8458861ffffffff,2.0,0.0,0.0
84588d3ffffffff,2.0,0.0,0.0
8458901ffffffff,2.0,2.0,0.0
845890bffffffff,9.0,4.0,0.0
845890dffffffff,16.0,0.0,0.0
8458945ffffffff,1.0,0.0,0.0
8458949ffffffff,2.0,0.0,0.0
845894bffffffff,3.0,0.0,0.0
845894dffffffff,5.0,4.0,0.0
8458961ffffffff,2.0,0.0,0.0
8458963ffffffff,2.0,0.0,0.0
8458969ffffffff,20.0,15.0,0.0
8458a4dffffffff,5.0,4.0,0.0
8458a65ffffffff,4.0,0.0,0.0
8458a69ffffffff,2.0,0.0,0.0
8458a6dffffffff,2.0,0.0,0.0
8458b27ffffffff,2.0,2.0,0.0
8458b35ffffffff,2.0,0.0,0.0
8458b51ffffffff,8.0,2.0,0.0
8458b57ffffffff,2.0,2.0,0.0
8458c3dffffffff,2.0,2.0,0.0
8458c45ffffffff,2.0,0.0,0.0
8458c47ffffffff,2.0,0.0,0.0
8458c4dffffffff,5.0,0.0,0.0
8458c8bffffffff,2.0,1.0,0.0
8458cd9ffffffff,1.0,1.0,0.0
8458d13ffffffff,3.0,0.0,0.0
8458d1dffffffff,2.0,2.0,0.0
8458d23ffffffff,1.0,1.0,0.0
8458d27ffffffff,2.0,2.0,0.0
8458d33ffffffff,2.0,2.0,0.0
8458d35ffffffff,4.0,4.0,0.0
8458d37ffffffff,3.0,3.0,0.0
8458db1ffffffff,2.0,0.0,0.0
8458db5ffffffff,6.0,0.0,0.0
8458de5ffffffff,11.0,11.0,0.0
8458debffffffff,2.0,0.0,0.0
8458e2dffffffff,77.0,64.0,0.0
8458e49ffffffff,2.0,0.0,0.0
8458e67ffffffff,40.0,9.0,0.0
8458ea9ffffffff,2.0,2.0,0.0
8458f1dffffffff,1.0,1.0,0.0
8458f5bffffffff,40.0,31.0,0.0
8458f6bffffffff,2.0,2.0,0.0
8459821ffffffff,2.0,0.0,0.0
8459825ffffffff,4.0,0.0,0.0
8459827ffffffff,9.0,3.0,0.0
84598d7ffffffff,1.0,0.0,0.0
845991bffffffff,8.0,0.0,0.0
8459933ffffffff,2.0,0.0,0.0
8459985ffffffff,19.0,16.0,0.0
8459987ffffffff,1.0,0.0,0.0
8459997ffffffff,1.0,1.0,0.0
84599a5ffffffff,1.0,1.0,0.0
84599e5ffffffff,19.0,15.0,0.0
84599e7ffffffff,2.0,1.0,0.0
846a109ffffffff,2.0,0.0,0.0
846a459ffffffff,17.0,8.0,0.0
846a493ffffffff,2.0,2.0,0.0
846a49dffffffff,1.0,0.0,0.0
846a4a3ffffffff,2.0,0.0,0.0
846a4b3ffffffff,2.0,2.0,0.0
846a581ffffffff,9.0,0.0,0.0
846a587ffffffff,5.0,0.0,0.0
846a5a3ffffffff,1.0,0.0,0.0
846a5a9ffffffff,78.0,12.0,0.0
846a5abffffffff,30.0,0.0,0.0
846a619ffffffff,3.0,1.0,0.0
846a693ffffffff,2.0,2.0,0.0
846a697ffffffff,25.0,11.0,0.0
846a6b1ffffffff,1.0,1.0,0.0
846a9e5ffffffff,18.0,10.0,0.0
846ac03ffffffff,103.0,37.0,0.0
846ac0bffffffff,56.0,18.0,0.0
846ac11ffffffff,9.0,0.0,0.0
846ac15ffffffff,504.0,241.0,0.0
846ac17ffffffff,1.0,1.0,0.0
846ac19ffffffff,2.0,0.0,0.0
846ac1dffffffff,12.0,10.0,0.0
846ac31ffffffff,23.0,4.0,0.0
846ac35ffffffff,21.0,2.0,0.0
846ac39ffffffff,15.0,0.0,0.0
846ac3dffffffff,321.0,113.0,0.0
846ac89ffffffff,559.0,214.0,0.0
846ac8dffffffff,1.0,1.0,0.0
846ac93ffffffff,79.0,11.0,0.0
846ac9bffffffff,28.0,4.0,0.0
846acadffffffff,10.0,1.0,0.0
846acc3ffffffff,15.0,0.0,0.0
846acc7ffffffff,43.0,15.0,0.0
846accbffffffff,11.0,2.0,0.0
846acd1ffffffff,12.0,7.0,0.0
846acd5ffffffff,102.0,32.0,0.0
846ace3ffffffff,2.0,0.0,0.0
846ace5ffffffff,405.0,139.0,0.0
846ad81ffffffff,26.0,3.0,0.0
846ad85ffffffff,2.0,2.0,0.0
846ad89ffffffff,3.0,3.0,0.0
846ad8bffffffff,54.0,20.0,0.0
846ad8dffffffff,6.0,3.0,0.0
846ad9dffffffff,2.0,2.0,0.0
846adc1ffffffff,546.0,233.0,0.0
846adc3ffffffff,2.0,0.0,0.0
846adc5ffffffff,202.0,169.0,0.0
846adc7ffffffff,27.0,19.0,0.0
846adc9ffffffff,89.0,56.0,0.0
846adcbffffffff,2.0,0.0,0.0
846add5ffffffff,5.0,5.0,0.0
846add7ffffffff,20.0,12.0,0.0
846add9ffffffff,3.0,3.0,0.0
846ade5ffffffff,1.0,1.0,0.0
846ade7ffffffff,74.0,42.0,0.0
846ade9ffffffff,4.0,4.0,0.0
846adebffffffff,36.0,2.0,0.0
846ae0bffffffff,3.0,3.0,0.0
846ae15ffffffff,2.0,2.0,0.0
846ae85ffffffff,142.0,69.0,0.0
846aea1ffffffff,179.0,71.0,0.0
846aea3ffffffff,81.0,55.0,0.0
846aea5ffffffff,7.0,4.0,0.0
846aea9ffffffff,44.0,25.0,0.0
846aeabffffffff,51.0,14.0,0.0
846aeb5ffffffff,5.0,0.0,0.0
846aec1ffffffff,1.0,0.0,0.0
846aee3ffffffff,99.0,26.0,0.0
846aee7ffffffff,3.0,3.0,0.0
846aee9ffffffff,3.0,3.0,0.0
846b127ffffffff,10.0,0.0,0.0
8475085ffffffff,13.0,13.0,0.0
8475087ffffffff,7.0,5.0,0.0
8475095ffffffff,2.0,2.0,0.0
847509dffffffff,1.0,0.0,0.0
84750abffffffff,2.0,0.0,0.0
84750c5ffffffff,2.0,2.0,0.0
84750d1ffffffff,224.0,150.0,0.0
84750d3ffffffff,25.0,20.0,0.0
84750d7ffffffff,3.0,2.0,0.0
84750d9ffffffff,6.0,6.0,0.0
84750dbffffffff,6.0,6.0,0.0
84750ddffffffff,15.0,14.0,0.0
8475131ffffffff,3.0,3.0,0.0
847518dffffffff,2.0,2.0,0.0
8475201ffffffff,56.0,39.0,0.0
8475203ffffffff,1.0,1.0,0.0
8475205ffffffff,2.0,0.0,0.0
8475207ffffffff,152.0,130.0,0.0
847520bffffffff,6.0,2.0,0.0
8475293ffffffff,71.0,49.0,0.0
