cell_id,Metallura williami,Metallura williami recisa,Metallura williami williami,Metallura williami primolina,Metallura williami atrigularis
8466181ffffffff,2.0,0.0,0.0,0.0,0.0
84661bbffffffff,2.0,0.0,0.0,0.0,0.0
8466d1dffffffff,1.0,0.0,0.0,0.0,0.0
8466d33ffffffff,5.0,0.0,0.0,0.0,0.0
8466e65ffffffff,3.0,0.0,3.0,0.0,0.0
8466e6dffffffff,2.0,0.0,0.0,0.0,0.0
848f72dffffffff,2.0,0.0,0.0,0.0,0.0
848f765ffffffff,8.0,0.0,0.0,0.0,0.0
848f767ffffffff,1.0,0.0,0.0,0.0,0.0
848f769ffffffff,2.0,0.0,0.0,0.0,0.0
