cell_id,Hydrobates leucorhous,Hydrobates leucorhous leucorhous,Hydrobates leucorhous chapmani
84069a7ffffffff,2.0,0.0,0.0
8407417ffffffff,3.0,0.0,0.0
8407451ffffffff,1.0,0.0,0.0
84074edffffffff,2.0,0.0,0.0
8407559ffffffff,2.0,0.0,0.0
840755dffffffff,2.0,0.0,0.0
84075d9ffffffff,2.0,0.0,0.0
8409a69ffffffff,1.0,1.0,0.0
840c415ffffffff,8.0,0.0,0.0
840c425ffffffff,1.0,0.0,0.0
840c42dffffffff,1.0,0.0,0.0
840c4dbffffffff,1.0,0.0,0.0
840c51dffffffff,2.0,0.0,0.0
840c581ffffffff,2.0,0.0,0.0
840c6b7ffffffff,2.0,0.0,0.0
840c733ffffffff,2.0,0.0,0.0
840cc9dffffffff,6.0,0.0,0.0
840ccb3ffffffff,2.0,0.0,0.0
840ccc3ffffffff,1.0,0.0,0.0
840cd8dffffffff,6.0,0.0,0.0
840cd97ffffffff,2.0,0.0,0.0
840cd9dffffffff,7.0,0.0,0.0
840cda9ffffffff,2.0,0.0,0.0
840cdb9ffffffff,1.0,1.0,0.0
840cdbdffffffff,1.0,0.0,0.0
840cee5ffffffff,2.0,0.0,0.0
840e493ffffffff,9.0,0.0,0.0
840e49bffffffff,11.0,0.0,0.0
8412b03ffffffff,3.0,0.0,0.0
8412b39ffffffff,2.0,0.0,0.0
8413933ffffffff,8.0,0.0,0.0
84165ebffffffff,1.0,1.0,0.0
8418019ffffffff,6.0,0.0,0.0
8418053ffffffff,18.0,0.0,0.0
8418239ffffffff,3.0,0.0,0.0
8418495ffffffff,26.0,0.0,0.0
841849dffffffff,1.0,0.0,0.0
84184a3ffffffff,1.0,0.0,0.0
84184b9ffffffff,27.0,0.0,0.0
84184bdffffffff,18.0,0.0,0.0
8418595ffffffff,1.0,0.0,0.0
8418597ffffffff,1.0,0.0,0.0
84185bbffffffff,7.0,0.0,0.0
84186c1ffffffff,1.0,0.0,0.0
8418747ffffffff,1.0,0.0,0.0
84190e5ffffffff,2.0,0.0,0.0
84192cbffffffff,1.0,1.0,0.0
8419401ffffffff,2.0,0.0,0.0
8419411ffffffff,3.0,0.0,0.0
8419413ffffffff,1.0,0.0,0.0
8419437ffffffff,4.0,0.0,0.0
841946dffffffff,1.0,0.0,0.0
841948dffffffff,5.0,3.0,0.0
84194e3ffffffff,2.0,0.0,0.0
8419511ffffffff,1.0,0.0,0.0
8419581ffffffff,2.0,0.0,0.0
8419587ffffffff,1.0,0.0,0.0
84195bbffffffff,1.0,0.0,0.0
