cell_id,Lyncornis macrotis,Lyncornis macrotis cerviniceps/bourdilloni,Lyncornis macrotis jacobsoni,Lyncornis macrotis macrotis,Lyncornis macrotis macropterus
823c5ffffffffff,3.0,0.0,0.0,0.0,0.0
823cc7fffffffff,2.0,0.0,0.0,0.0,0.0
823cd7fffffffff,3.0,0.0,0.0,0.0,0.0
826027fffffffff,4.0,0.0,0.0,0.0,0.0
826037fffffffff,223.0,0.0,0.0,0.0,0.0
826417fffffffff,4.0,0.0,0.0,0.0,0.0
826507fffffffff,2.0,0.0,0.0,0.0,0.0
82651ffffffffff,24.0,0.0,0.0,0.0,0.0
82658ffffffffff,1.0,0.0,0.0,0.0,0.0
8265b7fffffffff,6.0,0.0,0.0,0.0,0.0
8268c7fffffffff,2.0,0.0,0.0,0.0,0.0
826947fffffffff,2.0,0.0,0.0,0.0,0.0
