cell_id,Sericornis frontalis,Sericornis frontalis laevigaster,Sericornis frontalis [frontalis Group]
849c059ffffffff,2.0,0.0,0.0
849c05dffffffff,3.0,0.0,0.0
849c191ffffffff,1.0,1.0,0.0
849c215ffffffff,53.0,6.0,0.0
849c21bffffffff,21.0,0.0,0.0
849c231ffffffff,2.0,0.0,0.0
849c237ffffffff,28.0,7.0,0.0
849c239ffffffff,62.0,10.0,0.0
849c23bffffffff,34.0,5.0,0.0
849c255ffffffff,1.0,0.0,0.0
849c259ffffffff,26.0,0.0,0.0
849d013ffffffff,17.0,7.0,0.0
849d01bffffffff,11.0,0.0,0.0
849d0b3ffffffff,2.0,0.0,0.0
849d0c1ffffffff,7.0,1.0,0.0
849d0c5ffffffff,41.0,0.0,0.0
849d0cdffffffff,175.0,22.0,0.0
849d0e1ffffffff,2.0,0.0,0.0
849d0e9ffffffff,8.0,0.0,0.0
849d211ffffffff,3.0,0.0,0.0
849d217ffffffff,2.0,1.0,0.0
849d219ffffffff,8.0,0.0,0.0
849d21dffffffff,27.0,0.0,0.0
849d24bffffffff,41.0,0.0,0.0
849d251ffffffff,6.0,0.0,0.0
849d253ffffffff,21.0,0.0,0.0
849d255ffffffff,2.0,0.0,0.0
849d257ffffffff,2.0,0.0,0.0
849d25bffffffff,16.0,0.0,0.0
849d2a1ffffffff,2.0,0.0,0.0
849d2adffffffff,5.0,0.0,0.0
849d2c3ffffffff,19.0,0.0,0.0
849d2d9ffffffff,2.0,0.0,0.0
84b9145ffffffff,16.0,0.0,0.0
84b914dffffffff,55.0,0.0,4.0
84b9169ffffffff,237.0,0.0,6.0
84b916dffffffff,7.0,0.0,0.0
84b9365ffffffff,36.0,0.0,0.0
84b936dffffffff,13.0,0.0,0.0
84be081ffffffff,31.0,0.0,0.0
84be083ffffffff,25.0,0.0,0.0
84be085ffffffff,546.0,0.0,141.0
84be087ffffffff,803.0,0.0,171.0
84be089ffffffff,3527.0,0.0,186.0
84be08bffffffff,13.0,0.0,1.0
84be08dffffffff,1649.0,0.0,176.0
84be091ffffffff,2.0,0.0,0.0
84be093ffffffff,4.0,0.0,0.0
84be095ffffffff,10.0,0.0,0.0
84be097ffffffff,17.0,0.0,2.0
84be099ffffffff,43.0,0.0,1.0
84be09bffffffff,22.0,0.0,7.0
84be09dffffffff,11.0,0.0,0.0
84be0a1ffffffff,14.0,0.0,0.0
84be0a3ffffffff,50.0,0.0,8.0
84be0a7ffffffff,8.0,0.0,0.0
84be0a9ffffffff,96.0,0.0,10.0
84be0abffffffff,20.0,0.0,2.0
84be0adffffffff,352.0,0.0,9.0
84be0b1ffffffff,2.0,0.0,0.0
84be0b3ffffffff,44.0,0.0,2.0
84be0b5ffffffff,2.0,0.0,0.0
84be0b7ffffffff,14.0,0.0,0.0
84be0b9ffffffff,10.0,0.0,0.0
84be0bbffffffff,51.0,0.0,3.0
84be0bdffffffff,170.0,0.0,27.0
84be0c3ffffffff,1867.0,0.0,356.0
84be0c7ffffffff,152.0,0.0,19.0
84be0d1ffffffff,25.0,0.0,2.0
84be0d3ffffffff,90.0,0.0,1.0
84be0d5ffffffff,580.0,0.0,313.0
84be0d7ffffffff,33.0,0.0,0.0
84be0d9ffffffff,135.0,0.0,11.0
84be0dbffffffff,88.0,0.0,0.0
84be0ddffffffff,321.0,0.0,49.0
84be0e3ffffffff,848.0,0.0,106.0
84be0e7ffffffff,257.0,0.0,27.0
84be0ebffffffff,2.0,0.0,0.0
84be181ffffffff,175.0,0.0,7.0
84be183ffffffff,36.0,0.0,6.0
84be185ffffffff,22.0,0.0,0.0
84be187ffffffff,58.0,0.0,0.0
84be189ffffffff,74.0,0.0,2.0
84be18bffffffff,74.0,0.0,0.0
84be18dffffffff,16.0,0.0,0.0
84be191ffffffff,12.0,0.0,0.0
84be193ffffffff,5.0,0.0,0.0
84be195ffffffff,11.0,0.0,0.0
84be197ffffffff,3.0,0.0,0.0
84be199ffffffff,194.0,0.0,16.0
84be19bffffffff,3.0,0.0,0.0
84be19dffffffff,32.0,0.0,0.0
84be1a1ffffffff,96.0,0.0,3.0
84be1a3ffffffff,138.0,0.0,3.0
