cell_id,Laterallus albigularis,Laterallus albigularis albigularis/cerdaleus,Laterallus albigularis cinereiceps
834532fffffffff,6.0,0.0,0.0
834536fffffffff,27.0,0.0,0.0
83661bfffffffff,1.0,0.0,0.0
836620fffffffff,4.0,0.0,0.0
83662cfffffffff,6.0,0.0,0.0
8366a0fffffffff,2.0,0.0,0.0
8366a5fffffffff,4.0,0.0,0.0
8366b0fffffffff,18.0,18.0,0.0
8366b4fffffffff,13.0,0.0,7.0
8366b5fffffffff,14.0,7.0,0.0
8366d5fffffffff,5.0,0.0,0.0
8366f1fffffffff,21.0,0.0,0.0
8366f5fffffffff,9.0,0.0,0.0
836793fffffffff,2.0,0.0,0.0
836796fffffffff,1.0,0.0,0.0
83679afffffffff,18.0,0.0,18.0
836d65fffffffff,2.0,0.0,0.0
836d68fffffffff,2.0,0.0,0.0
836d69fffffffff,54.0,5.0,47.0
836d6dfffffffff,14.0,0.0,8.0
838f2afffffffff,1.0,0.0,0.0
