cell_id,Cyanomitra verticalis,Cyanomitra verticalis verticalis/viridisplendens,Cyanomitra verticalis cyanocephala/bohndorffi
83541bfffffffff,1.0,0.0,0.0
8354a9fffffffff,60.0,2.0,0.0
8354e2fffffffff,7.0,0.0,0.0
8354e3fffffffff,2.0,0.0,0.0
8354e4fffffffff,1.0,0.0,0.0
8354e5fffffffff,25.0,4.0,0.0
8354e8fffffffff,2.0,0.0,0.0
8354eafffffffff,2.0,0.0,0.0
8354f0fffffffff,4.0,0.0,0.0
8354f1fffffffff,7.0,0.0,0.0
8354f4fffffffff,22.0,6.0,0.0
8354f5fffffffff,4.0,0.0,0.0
8354f6fffffffff,2.0,0.0,0.0
835883fffffffff,4.0,0.0,0.0
835886fffffffff,2.0,0.0,0.0
835890fffffffff,5.0,0.0,0.0
835896fffffffff,10.0,0.0,0.0
83589cfffffffff,2.0,0.0,0.0
8358a6fffffffff,2.0,0.0,0.0
8358b1fffffffff,1.0,0.0,0.0
8358b5fffffffff,4.0,0.0,0.0
8358c3fffffffff,3.0,0.0,0.0
8358c8fffffffff,5.0,0.0,0.0
8358cdfffffffff,2.0,0.0,0.0
8358d1fffffffff,9.0,0.0,0.0
8358d3fffffffff,2.0,2.0,0.0
8358dbfffffffff,4.0,0.0,0.0
8358dcfffffffff,3.0,0.0,0.0
8358defffffffff,6.0,0.0,0.0
8358e2fffffffff,51.0,1.0,0.0
8358e6fffffffff,14.0,0.0,0.0
8358f4fffffffff,2.0,0.0,0.0
8358f5fffffffff,10.0,0.0,0.0
836ac0fffffffff,35.0,7.0,0.0
836ac1fffffffff,355.0,76.0,0.0
836ac3fffffffff,66.0,11.0,0.0
836ac8fffffffff,247.0,14.0,0.0
836ac9fffffffff,16.0,0.0,0.0
836acafffffffff,2.0,0.0,0.0
836accfffffffff,10.0,0.0,0.0
836acdfffffffff,30.0,1.0,0.0
836acefffffffff,104.0,3.0,0.0
836ad8fffffffff,67.0,8.0,0.0
836adcfffffffff,810.0,61.0,8.0
836addfffffffff,7.0,0.0,0.0
836adefffffffff,94.0,17.0,0.0
836ae0fffffffff,4.0,0.0,0.0
836ae8fffffffff,15.0,4.0,0.0
836aeafffffffff,32.0,5.0,0.0
836aebfffffffff,1.0,0.0,0.0
836aedfffffffff,2.0,0.0,0.0
836aeefffffffff,1.0,0.0,0.0
837508fffffffff,11.0,2.0,0.0
83750afffffffff,1.0,0.0,0.0
83750dfffffffff,245.0,67.0,0.0
83750efffffffff,1.0,0.0,0.0
837513fffffffff,1.0,0.0,0.0
837520fffffffff,47.0,19.0,0.0
837529fffffffff,15.0,0.0,0.0
83752afffffffff,3.0,0.0,0.0
83752dfffffffff,3.0,2.0,0.0
83752efffffffff,2.0,0.0,0.0
837536fffffffff,1.0,0.0,0.0
837576fffffffff,18.0,1.0,0.0
837586fffffffff,2.0,0.0,0.0
8375a0fffffffff,7.0,0.0,0.0
837a41fffffffff,10.0,0.0,0.0
837a45fffffffff,124.0,3.0,0.0
837a48fffffffff,63.0,2.0,0.0
837a4cfffffffff,386.0,0.0,0.0
837a4dfffffffff,75.0,0.0,0.0
837a68fffffffff,4.0,0.0,0.0
837a6afffffffff,36.0,0.0,0.0
837a6bfffffffff,20.0,0.0,0.0
837a6cfffffffff,1.0,0.0,0.0
837a6efffffffff,88.0,0.0,0.0
838218fffffffff,6.0,0.0,0.0
83821afffffffff,1.0,0.0,0.0
83821bfffffffff,4.0,0.0,0.0
838285fffffffff,3.0,0.0,0.0
83828bfffffffff,28.0,5.0,0.0
83828dfffffffff,5.0,0.0,5.0
8382a0fffffffff,2.0,0.0,0.0
8382a1fffffffff,1.0,0.0,0.0
8382a8fffffffff,9.0,0.0,2.0
8382b2fffffffff,1.0,0.0,0.0
8382d0fffffffff,18.0,4.0,0.0
8382d2fffffffff,18.0,5.0,0.0
8382d3fffffffff,9.0,6.0,0.0
8382f0fffffffff,7.0,0.0,0.0
8382f2fffffffff,12.0,0.0,10.0
838312fffffffff,12.0,0.0,2.0
838313fffffffff,4.0,0.0,0.0
838315fffffffff,13.0,0.0,0.0
83831efffffffff,3.0,0.0,0.0
838386fffffffff,1.0,0.0,0.0
83838afffffffff,1.0,0.0,0.0
83838efffffffff,2.0,0.0,0.0
8383a8fffffffff,1.0,0.0,0.0
8383acfffffffff,3.0,0.0,0.0
839600fffffffff,2.0,0.0,0.0
839610fffffffff,2.0,0.0,0.0
839613fffffffff,3.0,0.0,0.0
839615fffffffff,10.0,3.0,0.0
83961cfffffffff,1.0,0.0,0.0
839692fffffffff,4.0,0.0,0.0
839693fffffffff,60.0,0.0,0.0
8396a2fffffffff,2.0,0.0,0.0
8396a5fffffffff,6.0,3.0,0.0
8396a8fffffffff,2.0,0.0,0.0
8396acfffffffff,2.0,2.0,0.0
8396b5fffffffff,6.0,1.0,0.0
8396d2fffffffff,1.0,0.0,0.0
