cell_id,Sphyrapicus ruber,Sphyrapicus ruber ruber,Sphyrapicus ruber daggetti
840c415ffffffff,2.0,0.0,0.0
840c42dffffffff,18.0,0.0,0.0
840c451ffffffff,2.0,0.0,0.0
840c455ffffffff,1.0,1.0,0.0
840c51dffffffff,2.0,0.0,0.0
840c5a1ffffffff,2.0,0.0,0.0
840c5adffffffff,17.0,0.0,0.0
840c73bffffffff,2.0,0.0,0.0
840c74dffffffff,1.0,0.0,0.0
84128bdffffffff,17.0,0.0,0.0
84128d3ffffffff,4.0,0.0,0.0
8412a25ffffffff,2.0,0.0,0.0
8412b01ffffffff,7.0,0.0,0.0
8412b03ffffffff,5.0,0.0,0.0
8412b55ffffffff,2.0,0.0,0.0
8412b63ffffffff,10.0,0.0,0.0
8412d2dffffffff,2.0,0.0,0.0
8412d3bffffffff,3.0,0.0,0.0
8412d41ffffffff,1.0,0.0,0.0
8412d6bffffffff,3.0,0.0,0.0
8412db1ffffffff,2.0,0.0,0.0
8412dedffffffff,2.0,0.0,0.0
8412f21ffffffff,7.0,0.0,0.0
8412f29ffffffff,4.0,0.0,0.0
8412f6dffffffff,2.0,0.0,0.0
8413867ffffffff,7.0,0.0,0.0
8413885ffffffff,2.0,0.0,0.0
84138c7ffffffff,2.0,0.0,0.0
8413911ffffffff,1.0,0.0,0.0
8413917ffffffff,4.0,0.0,0.0
8413919ffffffff,1.0,0.0,0.0
841391dffffffff,1.0,0.0,0.0
8413933ffffffff,3.0,0.0,0.0
84139e1ffffffff,2.0,0.0,0.0
84139edffffffff,2.0,0.0,0.0
8413b35ffffffff,6.0,0.0,0.0
841d243ffffffff,3.0,0.0,0.0
84268c7ffffffff,120.0,38.0,0.0
8426961ffffffff,3.0,0.0,0.0
8426967ffffffff,3.0,0.0,0.0
842696bffffffff,2.0,0.0,0.0
84269c5ffffffff,4.0,0.0,0.0
84269e1ffffffff,2.0,0.0,0.0
842806dffffffff,12.0,0.0,0.0
8428101ffffffff,3.0,0.0,3.0
8428109ffffffff,10.0,0.0,0.0
842810bffffffff,2.0,0.0,0.0
8428111ffffffff,3.0,0.0,0.0
8428113ffffffff,2.0,1.0,1.0
8428123ffffffff,4.0,0.0,2.0
842812bffffffff,4.0,0.0,4.0
8428137ffffffff,4.0,0.0,0.0
842813bffffffff,4.0,0.0,0.0
8428143ffffffff,6.0,0.0,0.0
8428145ffffffff,1.0,0.0,0.0
8428149ffffffff,1.0,0.0,1.0
842814bffffffff,2.0,0.0,0.0
8428155ffffffff,4.0,0.0,0.0
8428187ffffffff,2.0,0.0,0.0
842818dffffffff,1.0,1.0,0.0
84281a3ffffffff,2.0,0.0,2.0
84281b5ffffffff,2.0,0.0,0.0
84281c3ffffffff,7.0,7.0,0.0
84281c7ffffffff,7.0,0.0,0.0
84281e1ffffffff,4.0,0.0,0.0
84281e5ffffffff,11.0,2.0,0.0
84281e9ffffffff,25.0,22.0,0.0
84281ebffffffff,2.0,0.0,0.0
8428301ffffffff,2.0,0.0,1.0
8428303ffffffff,4.0,0.0,0.0
8428307ffffffff,39.0,0.0,4.0
8428309ffffffff,106.0,23.0,28.0
842830bffffffff,8.0,2.0,2.0
842830dffffffff,17.0,0.0,0.0
8428311ffffffff,9.0,0.0,0.0
8428315ffffffff,1.0,0.0,1.0
842831dffffffff,10.0,0.0,3.0
8428321ffffffff,1.0,0.0,1.0
8428323ffffffff,2.0,0.0,2.0
8428329ffffffff,3.0,0.0,0.0
842832bffffffff,7.0,0.0,7.0
8428335ffffffff,2.0,0.0,0.0
8428339ffffffff,2.0,0.0,0.0
842833bffffffff,6.0,1.0,0.0
8428341ffffffff,19.0,2.0,0.0
8428343ffffffff,12.0,0.0,0.0
8428345ffffffff,14.0,0.0,6.0
