cell_id,Leptasthenura striata,Leptasthenura striata striata/superciliaris,Leptasthenura striata albigularis
838e62fffffffff,9.0,0.0,0.0
838e66fffffffff,2.0,0.0,0.0
838e75fffffffff,5.0,0.0,0.0
838f53fffffffff,9.0,0.0,0.0
838f5efffffffff,6.0,0.0,0.0
83b301fffffffff,1.0,0.0,0.0
83b308fffffffff,1.0,0.0,0.0
