cell_id,Calidris ptilocnemis,Calidris ptilocnemis ptilocnemis,Calidris ptilocnemis quarta,Calidris ptilocnemis tschuktschorum,Calidris ptilocnemis couesi,Calidris ptilocnemis quarta/tschuktschorum/couesi
840c143ffffffff,6.0,0.0,0.0,4.0,0.0,0.0
840c145ffffffff,12.0,0.0,0.0,8.0,0.0,0.0
840c147ffffffff,6.0,0.0,0.0,5.0,0.0,0.0
840c415ffffffff,44.0,4.0,0.0,0.0,0.0,0.0
840c427ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c455ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
840c503ffffffff,38.0,0.0,0.0,0.0,0.0,0.0
840c511ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840c515ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c51dffffffff,49.0,0.0,0.0,0.0,0.0,2.0
840c523ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c555ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
840c5a5ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
840c5adffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c733ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
840c809ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840ca43ffffffff,25.0,0.0,0.0,19.0,0.0,0.0
840ccd1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840cd8dffffffff,13.0,0.0,0.0,0.0,0.0,0.0
840cdebffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840cf45ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d89dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84129bbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412b03ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412b4bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8413933ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84139edffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841d243ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8422d09ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
8422d0bffffffff,1.0,0.0,0.0,0.0,1.0,0.0
8422db7ffffffff,87.0,61.0,0.0,5.0,1.0,2.0
8428023ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842802bffffffff,17.0,0.0,0.0,1.0,1.0,0.0
8428069ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
842806bffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8428183ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842819dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84281b3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84281cbffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8428309ffffffff,488.0,0.0,0.0,18.0,0.0,3.0
842830bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8428313ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842831dffffffff,69.0,0.0,0.0,0.0,0.0,0.0
8428341ffffffff,49.0,0.0,0.0,0.0,0.0,0.0
8428343ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8428355ffffffff,80.0,0.0,0.0,0.0,0.0,0.0
8428c25ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8428c61ffffffff,52.0,0.0,0.0,0.0,0.0,5.0
8428d11ffffffff,38.0,0.0,0.0,0.0,0.0,0.0
8428d13ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8428d17ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8428d19ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8428d1bffffffff,59.0,0.0,0.0,0.0,0.0,4.0
8428d1dffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8428d55ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8428d57ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8428d5dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8428d89ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8428d95ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8428dc7ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8428dd1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8428dddffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8428de9ffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8428debffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8428f11ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8428f17ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8428f51ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8428f59ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
84291a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8429a19ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8429ad3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842e127ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
842eac9ffffffff,10.0,0.0,1.0,0.0,0.0,0.0
