cell_id,Anous minutus,Anous minutus americanus,Anous minutus melanogenys,Anous minutus [minutus Group]
834608fffffffff,39.0,0.0,0.0,0.0
834609fffffffff,6.0,0.0,0.0,0.0
834633fffffffff,85.0,0.0,0.0,0.0
834641fffffffff,3.0,0.0,0.0,0.0
834642fffffffff,20.0,0.0,0.0,0.0
834643fffffffff,7.0,0.0,0.0,0.0
834648fffffffff,40.0,0.0,8.0,0.0
834649fffffffff,222.0,0.0,93.0,0.0
83464bfffffffff,24.0,0.0,6.0,0.0
83464efffffffff,453.0,0.0,106.0,0.0
834654fffffffff,4.0,0.0,0.0,0.0
834655fffffffff,5.0,0.0,0.0,0.0
83465dfffffffff,4.0,0.0,0.0,0.0
8347a3fffffffff,147.0,0.0,0.0,0.0
8347abfffffffff,2.0,0.0,0.0,0.0
8347aefffffffff,1.0,0.0,0.0,0.0
834e46fffffffff,3.0,0.0,0.0,0.0
834e51fffffffff,1.0,0.0,0.0,0.0
834e55fffffffff,1.0,0.0,0.0,0.0
834e58fffffffff,1.0,0.0,0.0,0.0
834e64fffffffff,53.0,0.0,0.0,0.0
834e71fffffffff,1.0,0.0,0.0,0.0
834f49fffffffff,35.0,0.0,0.0,0.0
834f4bfffffffff,91.0,0.0,0.0,0.0
834f59fffffffff,1.0,0.0,0.0,0.0
835ae8fffffffff,1.0,0.0,0.0,0.0
835d10fffffffff,810.0,0.0,413.0,0.0
835d11fffffffff,161.0,0.0,28.0,0.0
835d12fffffffff,278.0,0.0,115.0,0.0
835d13fffffffff,509.0,0.0,165.0,0.0
835d14fffffffff,286.0,0.0,66.0,0.0
835d16fffffffff,39.0,0.0,5.0,0.0
836743fffffffff,2.0,0.0,0.0,0.0
836745fffffffff,1.0,0.0,0.0,0.0
836773fffffffff,9.0,0.0,0.0,0.0
83682bfffffffff,2.0,0.0,0.0,0.0
837065fffffffff,25.0,0.0,0.0,0.0
83706dfffffffff,2.0,0.0,0.0,0.0
837234fffffffff,1.0,0.0,0.0,0.0
83724dfffffffff,1.0,0.0,0.0,0.0
8372aefffffffff,3.0,0.0,0.0,0.0
8372c9fffffffff,2.0,0.0,0.0,0.0
8372cbfffffffff,4.0,0.0,0.0,0.0
837318fffffffff,2.0,0.0,0.0,0.0
837319fffffffff,22.0,0.0,0.0,0.0
83731bfffffffff,1889.0,0.0,0.0,0.0
83734dfffffffff,10.0,0.0,0.0,0.0
83738efffffffff,2.0,0.0,0.0,0.0
83739afffffffff,12.0,0.0,0.0,0.0
83739bfffffffff,5.0,0.0,0.0,0.0
