cell_id,Pterodroma feae,Pterodroma feae feae,Pterodroma feae deserta
821807fffffffff,17.0,0.0,0.0
82180ffffffffff,1.0,0.0,0.0
821827fffffffff,1.0,0.0,0.0
821857fffffffff,2.0,0.0,0.0
82185ffffffffff,1.0,0.0,0.0
821877fffffffff,8.0,0.0,1.0
821977fffffffff,6.0,0.0,0.0
821ab7fffffffff,2.0,0.0,0.0
822a1ffffffffff,7.0,0.0,0.0
822a37fffffffff,3.0,0.0,0.0
822a8ffffffffff,1.0,0.0,0.0
822ac7fffffffff,296.0,1.0,6.0
822af7fffffffff,21.0,0.0,0.0
82344ffffffffff,1.0,0.0,0.0
82345ffffffffff,1.0,0.0,0.0
823467fffffffff,1.0,0.0,1.0
82346ffffffffff,1.0,0.0,0.0
823927fffffffff,7.0,0.0,6.0
8244a7fffffffff,5.0,0.0,0.0
8244d7fffffffff,7.0,0.0,0.0
825597fffffffff,2.0,0.0,0.0
