cell_id,Chaetura spinicaudus,Chaetura spinicaudus aetherodroma,Chaetura spinicaudus spinicaudus,Chaetura spinicaudus aethalea
835f01fffffffff,1.0,0.0,0.0,0.0
835f02fffffffff,1.0,0.0,0.0,0.0
835f03fffffffff,204.0,0.0,0.0,0.0
835f06fffffffff,3.0,0.0,0.0,0.0
835f08fffffffff,11.0,0.0,0.0,0.0
835f09fffffffff,6.0,0.0,0.0,0.0
835f0cfffffffff,1.0,0.0,0.0,0.0
835f0dfffffffff,12.0,0.0,0.0,0.0
835f10fffffffff,30.0,0.0,0.0,0.0
835f11fffffffff,9.0,0.0,0.0,0.0
835f12fffffffff,27.0,0.0,0.0,0.0
835f13fffffffff,28.0,0.0,0.0,0.0
835f14fffffffff,26.0,0.0,0.0,0.0
835f15fffffffff,1.0,0.0,0.0,0.0
835f16fffffffff,22.0,0.0,0.0,0.0
835f1cfffffffff,22.0,0.0,0.0,0.0
835f1dfffffffff,1.0,0.0,0.0,0.0
835f28fffffffff,1.0,0.0,0.0,0.0
835f29fffffffff,52.0,0.0,0.0,0.0
835f2bfffffffff,1004.0,0.0,0.0,0.0
835f2dfffffffff,21.0,0.0,0.0,0.0
835f33fffffffff,1.0,0.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0,0.0
835f40fffffffff,13.0,0.0,0.0,0.0
835f42fffffffff,19.0,0.0,0.0,0.0
835f44fffffffff,1.0,0.0,0.0,0.0
835f46fffffffff,3.0,0.0,0.0,0.0
835f50fffffffff,4.0,0.0,0.0,0.0
835f54fffffffff,35.0,0.0,0.0,0.0
835f58fffffffff,608.0,0.0,0.0,0.0
835f59fffffffff,4.0,0.0,0.0,0.0
835f5bfffffffff,32.0,0.0,0.0,0.0
835f68fffffffff,17.0,0.0,0.0,0.0
835f70fffffffff,3.0,0.0,0.0,0.0
835f71fffffffff,67.0,0.0,0.0,0.0
835f75fffffffff,11.0,0.0,0.0,0.0
835f76fffffffff,10.0,0.0,0.0,0.0
836604fffffffff,2.0,0.0,0.0,0.0
836606fffffffff,1.0,0.0,0.0,0.0
836608fffffffff,14.0,2.0,0.0,0.0
83660afffffffff,54.0,2.0,0.0,0.0
83660cfffffffff,8.0,0.0,0.0,0.0
836610fffffffff,573.0,0.0,0.0,0.0
836611fffffffff,20.0,0.0,0.0,0.0
836612fffffffff,25.0,0.0,0.0,0.0
836613fffffffff,420.0,0.0,0.0,0.0
836616fffffffff,360.0,0.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0,0.0
836619fffffffff,35.0,0.0,0.0,0.0
83661afffffffff,39.0,0.0,0.0,0.0
83661bfffffffff,26.0,0.0,0.0,0.0
83661cfffffffff,21.0,0.0,0.0,0.0
83661dfffffffff,3.0,0.0,0.0,0.0
83661efffffffff,15.0,0.0,0.0,0.0
836620fffffffff,53.0,0.0,0.0,0.0
836622fffffffff,45.0,0.0,0.0,0.0
836623fffffffff,2.0,0.0,0.0,0.0
836625fffffffff,2.0,0.0,0.0,0.0
836631fffffffff,4.0,0.0,0.0,0.0
836641fffffffff,4.0,0.0,0.0,0.0
836648fffffffff,2.0,0.0,0.0,0.0
83664efffffffff,1.0,0.0,0.0,0.0
836663fffffffff,12.0,0.0,0.0,0.0
83666afffffffff,7.0,0.0,0.0,0.0
83666bfffffffff,3.0,0.0,0.0,0.0
8366a0fffffffff,112.0,0.0,0.0,0.0
8366a5fffffffff,3772.0,0.0,0.0,0.0
8366c6fffffffff,5.0,0.0,0.0,0.0
8366d0fffffffff,185.0,5.0,0.0,0.0
8366d1fffffffff,2.0,0.0,0.0,0.0
8366d2fffffffff,40.0,0.0,0.0,0.0
8366d3fffffffff,183.0,0.0,0.0,0.0
8366d4fffffffff,24.0,0.0,0.0,0.0
8366d5fffffffff,21.0,0.0,0.0,0.0
