cell_id,Dendrocolaptes picumnus,Dendrocolaptes picumnus [puncticollis Group],Dendrocolaptes picumnus [picumnus Group],Dendrocolaptes picumnus pallescens/casaresi
8445243ffffffff,38.0,0.0,0.0,0.0
844526dffffffff,2.0,0.0,0.0,0.0
8445343ffffffff,4.0,0.0,0.0,0.0
8445351ffffffff,12.0,0.0,0.0,0.0
845f035ffffffff,25.0,0.0,0.0,0.0
845f03dffffffff,13.0,0.0,0.0,0.0
845f105ffffffff,1.0,0.0,0.0,0.0
845f107ffffffff,5.0,0.0,0.0,0.0
845f117ffffffff,2.0,0.0,0.0,0.0
845f139ffffffff,1.0,0.0,0.0,0.0
845f13dffffffff,2.0,0.0,0.0,0.0
845f143ffffffff,2.0,0.0,0.0,0.0
845f155ffffffff,3.0,0.0,0.0,0.0
845f161ffffffff,5.0,0.0,0.0,0.0
845f295ffffffff,1.0,0.0,0.0,0.0
845f29dffffffff,2.0,0.0,0.0,0.0
845f2b1ffffffff,17.0,0.0,0.0,0.0
845f2b3ffffffff,25.0,0.0,0.0,0.0
845f2bbffffffff,67.0,0.0,0.0,0.0
845f407ffffffff,4.0,0.0,0.0,0.0
845f42bffffffff,9.0,0.0,0.0,0.0
845f483ffffffff,1.0,0.0,0.0,0.0
845f487ffffffff,2.0,0.0,0.0,0.0
845f4a7ffffffff,4.0,0.0,0.0,0.0
845f4abffffffff,2.0,0.0,0.0,0.0
845f4bdffffffff,5.0,0.0,0.0,0.0
845f549ffffffff,4.0,0.0,0.0,0.0
845f681ffffffff,1.0,0.0,0.0,0.0
845f683ffffffff,4.0,0.0,0.0,0.0
845f711ffffffff,6.0,0.0,0.0,0.0
845f713ffffffff,8.0,0.0,0.0,0.0
845f759ffffffff,2.0,0.0,0.0,0.0
8466081ffffffff,3.0,0.0,0.0,0.0
8466083ffffffff,3.0,0.0,0.0,0.0
8466085ffffffff,2.0,0.0,0.0,0.0
8466087ffffffff,4.0,0.0,0.0,0.0
8466089ffffffff,7.0,0.0,0.0,0.0
846608dffffffff,57.0,0.0,0.0,0.0
84660a7ffffffff,18.0,0.0,0.0,0.0
84660b3ffffffff,4.0,0.0,0.0,0.0
84660b9ffffffff,4.0,0.0,0.0,0.0
84660bdffffffff,9.0,0.0,0.0,0.0
84660c1ffffffff,10.0,0.0,0.0,0.0
84660c3ffffffff,10.0,0.0,0.0,0.0
84660c7ffffffff,2.0,0.0,0.0,0.0
84660cbffffffff,3.0,0.0,0.0,0.0
84660ddffffffff,18.0,0.0,0.0,0.0
