cell_id,Chlorospingus canigularis,Chlorospingus canigularis olivaceiceps,Chlorospingus canigularis [canigularis Group]
836608fffffffff,271.0,0.0,0.0
83660bfffffffff,189.0,0.0,0.0
83660cfffffffff,32.0,0.0,2.0
83660dfffffffff,6.0,0.0,0.0
836618fffffffff,7.0,0.0,0.0
836619fffffffff,17.0,0.0,0.0
83661bfffffffff,159.0,0.0,8.0
83661dfffffffff,5.0,0.0,0.0
83662bfffffffff,1.0,0.0,0.0
836656fffffffff,1.0,0.0,0.0
8366b4fffffffff,802.0,0.0,0.0
8366b5fffffffff,20.0,0.0,0.0
8366c0fffffffff,10.0,0.0,0.0
8366c4fffffffff,18.0,0.0,0.0
8366c6fffffffff,15.0,0.0,0.0
8366d0fffffffff,5.0,0.0,0.0
8366d3fffffffff,23.0,0.0,3.0
8366dafffffffff,29.0,0.0,1.0
8366defffffffff,445.0,0.0,53.0
8366e0fffffffff,394.0,0.0,0.0
8366e4fffffffff,55.0,0.0,0.0
8366e5fffffffff,16.0,0.0,0.0
8366e6fffffffff,688.0,0.0,15.0
8366f0fffffffff,8.0,0.0,0.0
8366f1fffffffff,1375.0,0.0,20.0
8366f3fffffffff,3.0,0.0,0.0
8366f5fffffffff,174.0,0.0,0.0
83679afffffffff,15.0,0.0,0.0
836d69fffffffff,133.0,0.0,0.0
838b61fffffffff,46.0,0.0,0.0
838b63fffffffff,2.0,0.0,0.0
838f08fffffffff,1.0,0.0,0.0
838f0dfffffffff,311.0,0.0,33.0
838f29fffffffff,40.0,0.0,0.0
838f2afffffffff,10.0,0.0,2.0
838f2bfffffffff,13.0,0.0,0.0
838f2cfffffffff,4.0,0.0,0.0
838f2dfffffffff,3.0,0.0,3.0
838f46fffffffff,183.0,0.0,12.0
838f54fffffffff,10.0,0.0,0.0
838f70fffffffff,99.0,0.0,22.0
838f72fffffffff,361.0,0.0,43.0
838f73fffffffff,15.0,0.0,0.0
838f74fffffffff,19.0,0.0,0.0
838f76fffffffff,69.0,0.0,4.0
