cell_id,Dendrocincla fuliginosa,Dendrocincla fuliginosa [meruloides Group],Dendrocincla fuliginosa fuliginosa/rufoolivacea,Dendrocincla fuliginosa atrirostris/trumaii
825f17fffffffff,2.0,0.0,0.0,0.0
825f4ffffffffff,1.0,0.0,0.0,0.0
825f5ffffffffff,17.0,17.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0,0.0
826627fffffffff,19.0,1.0,0.0,0.0
8266a7fffffffff,17.0,1.0,0.0,0.0
8266b7fffffffff,5.0,0.0,0.0,0.0
8266d7fffffffff,6.0,2.0,0.0,0.0
8266dffffffffff,4.0,2.0,0.0,0.0
8266e7fffffffff,3.0,0.0,0.0,0.0
8266f7fffffffff,2.0,0.0,0.0,0.0
826747fffffffff,1.0,0.0,0.0,0.0
82674ffffffffff,18.0,0.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0,0.0
826d67fffffffff,3.0,0.0,0.0,0.0
826d6ffffffffff,8.0,1.0,0.0,0.0
828a47fffffffff,2.0,2.0,0.0,0.0
828b5ffffffffff,1.0,0.0,0.0,1.0
828f2ffffffffff,7.0,3.0,0.0,0.0
