cell_id,Melanodera xanthogramma,Melanodera xanthogramma barrosi,Melanodera xanthogramma xanthogramma
82b2c7fffffffff,57.0,2.0,0.0
82b2cffffffffff,29.0,0.0,0.0
82b2dffffffffff,4.0,0.0,0.0
82ce87fffffffff,136.0,0.0,0.0
82ce8ffffffffff,20.0,0.0,0.0
82ce9ffffffffff,72.0,0.0,0.0
82cea7fffffffff,4.0,0.0,0.0
82ceaffffffffff,44.0,0.0,0.0
82cf17fffffffff,123.0,11.0,0.0
82cf87fffffffff,2.0,0.0,0.0
82cf8ffffffffff,39.0,0.0,0.0
82cfa7fffffffff,12.0,0.0,0.0
82cfaffffffffff,130.0,0.0,0.0
82df47fffffffff,194.0,0.0,17.0
82df6ffffffffff,44.0,0.0,9.0
