cell_id,Apus horus,Apus horus (White-rumped),Apus horus (Brown-rumped)
835402fffffffff,38.0,15.0,0.0
836ac3fffffffff,1.0,0.0,0.0
836ac9fffffffff,5.0,0.0,0.0
837a40fffffffff,1.0,0.0,0.0
837a48fffffffff,3.0,0.0,0.0
837a4cfffffffff,5.0,0.0,0.0
837a6bfffffffff,2.0,0.0,0.0
839728fffffffff,2.0,2.0,0.0
83972efffffffff,5.0,0.0,0.0
839735fffffffff,1.0,1.0,0.0
83974bfffffffff,3.0,0.0,0.0
83ada2fffffffff,2.0,0.0,0.0
83bc42fffffffff,2.0,0.0,0.0
83bc45fffffffff,3.0,0.0,0.0
83bc5cfffffffff,1.0,0.0,0.0
83bc5efffffffff,1.0,0.0,0.0
83bc68fffffffff,57.0,10.0,0.0
83bc69fffffffff,5.0,0.0,0.0
83bc6afffffffff,12.0,2.0,0.0
83bcc2fffffffff,8.0,0.0,0.0
83bcc3fffffffff,5.0,0.0,0.0
83bcd6fffffffff,1.0,1.0,0.0
83bcdcfffffffff,4.0,0.0,0.0
