cell_id,Pterocles alchata,Pterocles alchata alchata,Pterocles alchata caudacutus
8420199ffffffff,5.0,0.0,0.0
8420331ffffffff,3.0,0.0,0.0
8420333ffffffff,1.0,0.0,0.0
8420339ffffffff,2.0,0.0,0.0
842033bffffffff,2.0,0.0,0.0
842c129ffffffff,1.0,0.0,0.0
842c831ffffffff,2.0,0.0,0.0
842c987ffffffff,1.0,0.0,0.0
842ca03ffffffff,5.0,0.0,0.0
842cc03ffffffff,12.0,0.0,0.0
842cc13ffffffff,4.0,0.0,0.0
842cc17ffffffff,4.0,0.0,0.0
842db2dffffffff,3.0,0.0,0.0
842db65ffffffff,10.0,0.0,5.0
842db67ffffffff,156.0,0.0,15.0
8438161ffffffff,36.0,0.0,0.0
8438169ffffffff,2.0,0.0,0.0
843816dffffffff,7.0,0.0,0.0
8438259ffffffff,2.0,0.0,0.0
843832dffffffff,2.0,0.0,0.0
8438419ffffffff,1.0,0.0,0.0
8438427ffffffff,1.0,0.0,0.0
8439001ffffffff,8.0,0.0,0.0
8439003ffffffff,631.0,0.0,0.0
8439007ffffffff,4.0,0.0,0.0
843900bffffffff,1.0,0.0,0.0
843900dffffffff,10.0,0.0,0.0
8439031ffffffff,33.0,0.0,0.0
8439033ffffffff,191.0,0.0,0.0
8439035ffffffff,2.0,0.0,0.0
8439039ffffffff,3.0,0.0,0.0
843903bffffffff,10.0,0.0,0.0
8439081ffffffff,35.0,0.0,0.0
8439085ffffffff,5.0,0.0,0.0
8439087ffffffff,2.0,0.0,0.0
8439089ffffffff,185.0,0.0,0.0
843908bffffffff,23.0,0.0,0.0
843908dffffffff,190.0,0.0,0.0
8439095ffffffff,23.0,2.0,0.0
8439097ffffffff,50.0,6.0,0.0
84390a9ffffffff,3.0,0.0,0.0
84390b9ffffffff,2.0,0.0,0.0
84390c1ffffffff,56.0,0.0,0.0
84390c3ffffffff,2.0,0.0,0.0
84390c5ffffffff,22.0,0.0,0.0
84390c7ffffffff,39.0,0.0,0.0
84390cdffffffff,2.0,0.0,0.0
84390ddffffffff,4.0,0.0,0.0
84390e1ffffffff,2.0,0.0,0.0
84390e3ffffffff,220.0,0.0,0.0
84390ebffffffff,1.0,0.0,0.0
84391a9ffffffff,2.0,0.0,0.0
84391c5ffffffff,18.0,4.0,0.0
84391e3ffffffff,1.0,1.0,0.0
84391e9ffffffff,8.0,1.0,0.0
84391ebffffffff,84.0,8.0,0.0
84392e7ffffffff,33.0,0.0,0.0
8439569ffffffff,2.0,0.0,0.0
843956dffffffff,47.0,0.0,0.0
8439689ffffffff,10.0,0.0,0.0
84396c7ffffffff,76.0,11.0,0.0
8439701ffffffff,136.0,0.0,0.0
8439703ffffffff,33.0,0.0,0.0
8439707ffffffff,9.0,0.0,0.0
8439709ffffffff,7.0,0.0,0.0
843970bffffffff,7.0,0.0,0.0
843970dffffffff,32.0,0.0,0.0
8439711ffffffff,217.0,0.0,0.0
843971bffffffff,1.0,0.0,0.0
843971dffffffff,67.0,7.0,0.0
8439729ffffffff,2.0,0.0,0.0
8439739ffffffff,2.0,0.0,0.0
8439741ffffffff,56.0,0.0,0.0
8439745ffffffff,8.0,0.0,0.0
8439747ffffffff,185.0,0.0,0.0
843974dffffffff,5.0,0.0,0.0
8439755ffffffff,2.0,0.0,0.0
8439757ffffffff,4.0,0.0,0.0
8439837ffffffff,1.0,0.0,0.0
8439885ffffffff,6.0,0.0,0.0
8439887ffffffff,76.0,0.0,1.0
84398adffffffff,2.0,0.0,0.0
84398d3ffffffff,15.0,0.0,0.0
84398e7ffffffff,11.0,0.0,0.0
8439939ffffffff,2.0,0.0,0.0
843993bffffffff,1.0,0.0,0.0
84399c9ffffffff,1.0,0.0,0.0
843e6c1ffffffff,6.0,0.0,0.0
843e6c7ffffffff,1.0,0.0,0.0
843e6c9ffffffff,215.0,0.0,24.0
844300dffffffff,3.0,0.0,0.0
8443361ffffffff,1.0,0.0,0.0
8443a11ffffffff,3.0,0.0,0.0
8443a13ffffffff,275.0,0.0,0.0
8443a17ffffffff,123.0,0.0,0.0
8443ac3ffffffff,1.0,0.0,0.0
8443acdffffffff,2.0,0.0,0.0
8443ae5ffffffff,14.0,0.0,0.0
8443aedffffffff,1.0,0.0,0.0
84534ddffffffff,1.0,0.0,0.0
