cell_id,Amaurospiza concolor,Amaurospiza concolor relicta,Amaurospiza concolor concolor
82452ffffffffff,119.0,0.0,1.0
824987fffffffff,1.0,1.0,0.0
824997fffffffff,2.0,2.0,0.0
8249affffffffff,5.0,2.0,0.0
8249b7fffffffff,8.0,4.0,0.0
8266a7fffffffff,4.0,0.0,0.0
8266b7fffffffff,87.0,0.0,6.0
826797fffffffff,2.0,0.0,0.0
82679ffffffffff,1.0,0.0,0.0
826d17fffffffff,3.0,0.0,0.0
826d27fffffffff,5.0,0.0,2.0
826d2ffffffffff,78.0,0.0,0.0
826d37fffffffff,4.0,4.0,0.0
826d67fffffffff,7.0,0.0,0.0
826d6ffffffffff,87.0,0.0,0.0
826d77fffffffff,4.0,0.0,0.0
