cell_id,Psittacara mitratus,Psittacara mitratus [mitratus Group],Psittacara mitratus alticola
822837fffffffff,176.0,0.0,0.0
8229a7fffffffff,2851.0,0.0,0.0
823947fffffffff,135.0,0.0,0.0
8244a7fffffffff,2185.0,0.0,0.0
8248a7fffffffff,2.0,0.0,0.0
828b27fffffffff,781.0,0.0,0.0
828b2ffffffffff,98.0,0.0,0.0
828b67fffffffff,418.0,0.0,0.0
828b6ffffffffff,775.0,0.0,0.0
828b77fffffffff,2.0,0.0,0.0
828e67fffffffff,248.0,0.0,0.0
828e6ffffffffff,319.0,0.0,0.0
828f47fffffffff,84.0,7.0,0.0
828f4ffffffffff,7.0,0.0,0.0
828f57fffffffff,626.0,34.0,0.0
828f5ffffffffff,10.0,0.0,0.0
828f77fffffffff,47.0,2.0,0.0
82b277fffffffff,339.0,0.0,0.0
82b327fffffffff,180.0,0.0,0.0
82b32ffffffffff,21.0,0.0,0.0
82b337fffffffff,10.0,0.0,0.0
82b347fffffffff,979.0,0.0,0.0
82b357fffffffff,708.0,0.0,0.0
82b35ffffffffff,2069.0,0.0,0.0
82b367fffffffff,44.0,0.0,0.0
82b377fffffffff,3.0,0.0,0.0
82c2e7fffffffff,46.0,0.0,0.0
