cell_id,Todiramphus chloris,Todiramphus chloris abyssinicus,Todiramphus chloris kalbaensis,Todiramphus chloris [humii Group],Todiramphus chloris occipitalis,Todiramphus chloris [chloris Group]
843c885ffffffff,69.0,0.0,0.0,2.0,0.0,0.0
843c8d7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843cf25ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843cf27ffffffff,51.0,0.0,0.0,0.0,0.0,0.0
8441035ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84411dbffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8443a8dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
844a261ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
844b863ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
844b86dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
844ba09ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
844ba15ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
844ba1dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
844bb17ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
844bb19ffffffff,54.0,0.0,0.0,0.0,0.0,2.0
844bb53ffffffff,33.0,0.0,0.0,0.0,0.0,0.0
8452155ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8460a91ffffffff,75.0,0.0,0.0,1.0,0.0,0.0
846428bffffffff,1.0,0.0,0.0,0.0,1.0,0.0
846429dffffffff,10.0,0.0,0.0,0.0,10.0,0.0
84642b1ffffffff,3.0,0.0,0.0,0.0,3.0,0.0
8464abbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8464e49ffffffff,5.0,0.0,0.0,5.0,0.0,0.0
8465005ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8465017ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8465033ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8465057ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84650e5ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
84650edffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8465189ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846518bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8465191ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8465199ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846519dffffffff,14.0,0.0,0.0,0.0,0.0,0.0
84651c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84651d1ffffffff,95.0,0.0,0.0,0.0,0.0,0.0
84651d9ffffffff,133.0,0.0,0.0,0.0,0.0,0.0
84651dbffffffff,38.0,0.0,0.0,0.0,0.0,0.0
84651ddffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846520dffffffff,99.0,0.0,0.0,3.0,0.0,0.0
8465227ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8465237ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8465263ffffffff,40.0,0.0,0.0,2.0,0.0,0.0
846526bffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8465313ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846858dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8468c8bffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8468ca9ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
8468ce7ffffffff,7.0,0.0,0.0,0.0,0.0,7.0
8468d2bffffffff,3.0,0.0,0.0,0.0,0.0,3.0
8468ddbffffffff,3.0,0.0,0.0,0.0,0.0,3.0
8469417ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8469451ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84694edffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8472ae3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8494159ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84942d1ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8495a4dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
