cell_id,Cyrtonyx montezumae,Cyrtonyx montezumae [montezumae Group],Cyrtonyx montezumae sallei/rowleyi
84480adffffffff,16.0,0.0,0.0
8448101ffffffff,2.0,0.0,0.0
844811bffffffff,1.0,0.0,0.0
8448141ffffffff,6.0,0.0,0.0
8448143ffffffff,5.0,0.0,0.0
8448147ffffffff,3.0,0.0,0.0
8448153ffffffff,1.0,0.0,0.0
8448191ffffffff,2.0,0.0,0.0
8448193ffffffff,1.0,0.0,0.0
8448197ffffffff,4.0,0.0,0.0
844819dffffffff,1.0,0.0,0.0
84481b7ffffffff,3.0,0.0,0.0
84481c1ffffffff,3.0,0.0,0.0
8448321ffffffff,2.0,0.0,0.0
8448325ffffffff,4.0,0.0,0.0
8448337ffffffff,6.0,0.0,0.0
84488d3ffffffff,4.0,0.0,0.0
84488dbffffffff,8.0,0.0,0.0
84488e9ffffffff,2.0,0.0,0.0
84488edffffffff,4.0,0.0,0.0
8448a05ffffffff,6.0,0.0,0.0
8448a21ffffffff,7.0,0.0,0.0
8448a23ffffffff,2.0,0.0,0.0
8448a29ffffffff,8.0,0.0,0.0
8448a2bffffffff,2.0,0.0,0.0
8448a2dffffffff,10.0,0.0,0.0
8448a6dffffffff,3.0,0.0,0.0
8448b5bffffffff,1.0,0.0,0.0
8448c01ffffffff,1.0,0.0,0.0
8448c03ffffffff,13.0,0.0,0.0
8448c07ffffffff,2.0,0.0,0.0
8448c0bffffffff,4.0,0.0,0.0
8448c11ffffffff,8.0,0.0,0.0
8448c13ffffffff,4.0,0.0,0.0
8448c15ffffffff,10.0,0.0,0.0
8448c19ffffffff,3.0,0.0,0.0
8448c1bffffffff,6.0,0.0,0.0
8448c1dffffffff,27.0,0.0,0.0
8448c31ffffffff,13.0,0.0,0.0
8448c33ffffffff,1.0,0.0,0.0
8448c35ffffffff,5.0,0.0,0.0
8448c3dffffffff,4.0,0.0,0.0
8448c4bffffffff,1.0,0.0,0.0
8448c55ffffffff,2.0,0.0,0.0
8448c59ffffffff,1490.0,0.0,0.0
8448c5bffffffff,246.0,0.0,0.0
8448c5dffffffff,2.0,0.0,0.0
8448cc1ffffffff,1.0,0.0,0.0
8448cc5ffffffff,10.0,0.0,0.0
8448cebffffffff,3.0,0.0,0.0
8448cedffffffff,2.0,0.0,0.0
8448d13ffffffff,2.0,0.0,0.0
8448d19ffffffff,1.0,0.0,0.0
8448d1bffffffff,3.0,0.0,0.0
8448e01ffffffff,4.0,0.0,0.0
8448e07ffffffff,3.0,0.0,0.0
8448e0dffffffff,2.0,0.0,0.0
8448e11ffffffff,4.0,0.0,0.0
8448e15ffffffff,4.0,0.0,0.0
8448e17ffffffff,1.0,0.0,0.0
8448e19ffffffff,4.0,0.0,0.0
8448e2bffffffff,1.0,0.0,0.0
8448e33ffffffff,15.0,0.0,0.0
8448e37ffffffff,129.0,0.0,0.0
8448e3dffffffff,3.0,0.0,0.0
8448e43ffffffff,2.0,0.0,0.0
8448e49ffffffff,6.0,0.0,0.0
8448e4dffffffff,12.0,0.0,0.0
8448e57ffffffff,2.0,0.0,0.0
8448e61ffffffff,14.0,0.0,0.0
8448e63ffffffff,19.0,1.0,0.0
8448e67ffffffff,2.0,0.0,0.0
8448e6bffffffff,3.0,0.0,0.0
8448e6dffffffff,1.0,0.0,0.0
8448e85ffffffff,77.0,0.0,0.0
8448e89ffffffff,19.0,0.0,0.0
8448e8dffffffff,1134.0,0.0,0.0
8448ea9ffffffff,2.0,0.0,0.0
8448eabffffffff,5.0,0.0,0.0
8448ec3ffffffff,2.0,0.0,0.0
8448ec5ffffffff,5.0,0.0,0.0
8448ec7ffffffff,909.0,0.0,0.0
8448ee1ffffffff,239.0,0.0,0.0
8448ee3ffffffff,62.0,0.0,0.0
8448ee5ffffffff,9.0,0.0,0.0
8448ee7ffffffff,9.0,0.0,0.0
8448ee9ffffffff,1203.0,0.0,0.0
8448eebffffffff,1195.0,0.0,0.0
8448eedffffffff,1.0,0.0,0.0
8448f21ffffffff,517.0,0.0,0.0
8448f25ffffffff,280.0,0.0,0.0
8448f27ffffffff,2.0,0.0,0.0
8448f2dffffffff,123.0,0.0,0.0
8448f51ffffffff,5.0,0.0,0.0
8449825ffffffff,2.0,0.0,0.0
8449827ffffffff,4.0,0.0,0.0
844983bffffffff,2.0,0.0,0.0
8449881ffffffff,3.0,0.0,0.0
844988dffffffff,12.0,0.0,0.0
8449893ffffffff,2.0,0.0,0.0
84498c7ffffffff,1.0,0.0,0.0
84498d7ffffffff,2.0,0.0,0.0
84498dbffffffff,2.0,0.0,0.0
84498e5ffffffff,1.0,0.0,0.0
84498e7ffffffff,1.0,0.0,0.0
844990dffffffff,2.0,0.0,0.0
8449943ffffffff,2.0,0.0,0.0
8449957ffffffff,2.0,0.0,0.0
84499bbffffffff,6.0,0.0,0.0
84499ddffffffff,1.0,0.0,0.0
8449ab1ffffffff,7.0,0.0,0.0
8449ab3ffffffff,3.0,0.0,0.0
8449ab5ffffffff,8.0,0.0,0.0
