cell_id,Podiceps occipitalis,Podiceps occipitalis juninensis,Podiceps occipitalis occipitalis
8366c6fffffffff,1.0,0.0,0.0
8366d3fffffffff,12.0,0.0,0.0
8366defffffffff,2.0,0.0,0.0
838b61fffffffff,2.0,0.0,0.0
838e62fffffffff,24.0,0.0,0.0
838e64fffffffff,2.0,2.0,0.0
838e66fffffffff,6.0,4.0,0.0
838f29fffffffff,11.0,1.0,0.0
838f51fffffffff,2.0,0.0,0.0
838f58fffffffff,2.0,0.0,0.0
83a810fffffffff,30.0,0.0,7.0
83a819fffffffff,18.0,0.0,1.0
83a865fffffffff,2.0,0.0,0.0
83a8a2fffffffff,3.0,0.0,0.0
83a94efffffffff,2.0,0.0,0.0
83b200fffffffff,29.0,3.0,0.0
83b203fffffffff,16.0,0.0,0.0
83b20cfffffffff,2.0,0.0,0.0
83b20efffffffff,2.0,0.0,2.0
83b219fffffffff,60.0,0.0,15.0
83b21bfffffffff,37.0,0.0,0.0
83b21dfffffffff,2.0,0.0,0.0
83b226fffffffff,1.0,0.0,1.0
83b228fffffffff,1.0,0.0,1.0
83b243fffffffff,2.0,0.0,0.0
83b24bfffffffff,2.0,0.0,0.0
83b24dfffffffff,7.0,0.0,0.0
83b24efffffffff,2.0,0.0,0.0
83b25cfffffffff,2.0,0.0,0.0
83b261fffffffff,2.0,0.0,0.0
83b274fffffffff,4.0,0.0,0.0
83b2c0fffffffff,43.0,0.0,3.0
83b2c2fffffffff,9.0,0.0,0.0
83b2c3fffffffff,6.0,0.0,0.0
83b2c5fffffffff,206.0,0.0,43.0
83b2cafffffffff,8.0,0.0,0.0
83b2ccfffffffff,1.0,0.0,0.0
83b2cefffffffff,1.0,0.0,0.0
83b2d8fffffffff,8.0,0.0,0.0
83b2d9fffffffff,10.0,0.0,0.0
83b2dafffffffff,4.0,0.0,0.0
83b2dcfffffffff,6.0,0.0,0.0
83b2e3fffffffff,3.0,0.0,0.0
83b2e4fffffffff,10.0,10.0,0.0
83b2e6fffffffff,1.0,1.0,0.0
83b2ecfffffffff,10.0,2.0,0.0
83b2eefffffffff,2.0,0.0,0.0
83b305fffffffff,14.0,7.0,0.0
83b351fffffffff,34.0,3.0,1.0
83b354fffffffff,187.0,87.0,0.0
83b355fffffffff,195.0,50.0,6.0
83b35efffffffff,8.0,0.0,0.0
83b36dfffffffff,6.0,0.0,0.0
83c21bfffffffff,1.0,0.0,0.0
83c2cafffffffff,1.0,0.0,0.0
83c2e3fffffffff,2.0,0.0,0.0
83c2e6fffffffff,3.0,0.0,0.0
83c2e9fffffffff,2.0,0.0,0.0
83c2f2fffffffff,11.0,0.0,0.0
83c321fffffffff,3.0,0.0,3.0
83c32efffffffff,7.0,0.0,7.0
83c342fffffffff,17.0,0.0,0.0
83c348fffffffff,2.0,0.0,0.0
83c349fffffffff,1.0,0.0,0.0
83c34bfffffffff,20.0,0.0,0.0
83c351fffffffff,1.0,0.0,0.0
83ce8cfffffffff,7.0,0.0,0.0
83ce8efffffffff,7.0,0.0,0.0
83ce9dfffffffff,4.0,0.0,0.0
83cea2fffffffff,2.0,0.0,0.0
83cea3fffffffff,2.0,0.0,2.0
83ceacfffffffff,8.0,0.0,0.0
83cf12fffffffff,2.0,0.0,0.0
83cf8afffffffff,4.0,0.0,2.0
83cf8cfffffffff,5.0,0.0,1.0
83cf8efffffffff,9.0,0.0,2.0
83cfa0fffffffff,29.0,0.0,0.0
83cfa1fffffffff,2.0,0.0,0.0
83cfa2fffffffff,46.0,0.0,8.0
83cfa4fffffffff,13.0,0.0,4.0
83cfaafffffffff,8.0,0.0,0.0
83cfaefffffffff,11.0,0.0,3.0
83cfb1fffffffff,8.0,0.0,0.0
83de62fffffffff,1.0,0.0,0.0
83df68fffffffff,15.0,0.0,11.0
83df69fffffffff,39.0,0.0,33.0
83df6dfffffffff,2.0,0.0,0.0
