cell_id,Elanus caeruleus,Elanus caeruleus caeruleus,Elanus caeruleus [vociferus Group]
82184ffffffffff,121.0,0.0,0.0
82186ffffffffff,12.0,0.0,0.0
822c17fffffffff,4.0,0.0,0.0
822c1ffffffffff,2.0,0.0,0.0
822c37fffffffff,3.0,0.0,0.0
822c87fffffffff,42.0,0.0,3.0
822c8ffffffffff,5.0,0.0,0.0
822c97fffffffff,192.0,0.0,12.0
822c9ffffffffff,13.0,0.0,0.0
822ca7fffffffff,2.0,0.0,0.0
822caffffffffff,6.0,0.0,0.0
822cd7fffffffff,9.0,0.0,4.0
822ce7fffffffff,1.0,0.0,0.0
822cf7fffffffff,57.0,0.0,0.0
822da7fffffffff,33.0,0.0,0.0
822daffffffffff,56.0,0.0,0.0
822db7fffffffff,4478.0,0.0,1155.0
823017fffffffff,10.0,0.0,0.0
82301ffffffffff,2.0,0.0,0.0
823087fffffffff,60.0,0.0,0.0
823097fffffffff,9.0,0.0,1.0
82309ffffffffff,172.0,0.0,3.0
8230affffffffff,2.0,0.0,0.0
823187fffffffff,4.0,0.0,0.0
82318ffffffffff,21.0,0.0,0.0
8231affffffffff,13.0,0.0,1.0
823837fffffffff,19.0,0.0,0.0
823847fffffffff,2.0,0.0,0.0
82384ffffffffff,2.0,0.0,0.0
823867fffffffff,10.0,0.0,0.0
82386ffffffffff,38.0,0.0,0.0
823877fffffffff,7.0,0.0,0.0
823907fffffffff,2198.0,0.0,0.0
82390ffffffffff,141.0,0.0,0.0
823917fffffffff,2836.0,0.0,0.0
82391ffffffffff,2519.0,43.0,0.0
823927fffffffff,702.0,0.0,0.0
82392ffffffffff,231.0,0.0,0.0
823937fffffffff,2581.0,14.0,0.0
823957fffffffff,13.0,0.0,0.0
823967fffffffff,51.0,0.0,0.0
82396ffffffffff,9.0,0.0,0.0
823977fffffffff,2.0,0.0,0.0
823987fffffffff,63.0,0.0,0.0
82398ffffffffff,28.0,0.0,0.0
823997fffffffff,88.0,0.0,0.0
82399ffffffffff,23.0,0.0,0.0
8239affffffffff,160.0,4.0,0.0
823c07fffffffff,10.0,0.0,0.0
823c17fffffffff,59.0,0.0,0.0
823c1ffffffffff,425.0,0.0,0.0
823c37fffffffff,83.0,0.0,0.0
823c57fffffffff,10.0,0.0,0.0
823c5ffffffffff,389.0,0.0,0.0
823c87fffffffff,222.0,0.0,0.0
823c8ffffffffff,219.0,0.0,0.0
823c97fffffffff,379.0,0.0,0.0
823c9ffffffffff,51.0,0.0,0.0
823ca7fffffffff,59.0,0.0,0.0
823caffffffffff,387.0,0.0,9.0
823cb7fffffffff,2825.0,0.0,0.0
823cc7fffffffff,27.0,0.0,0.0
823ccffffffffff,28.0,0.0,2.0
823cd7fffffffff,2.0,0.0,0.0
823cdffffffffff,37.0,0.0,8.0
823ce7fffffffff,227.0,0.0,0.0
823ceffffffffff,253.0,0.0,0.0
823cf7fffffffff,1205.0,0.0,37.0
823d17fffffffff,689.0,0.0,0.0
823d37fffffffff,255.0,0.0,0.0
823d87fffffffff,1344.0,0.0,0.0
823d8ffffffffff,257.0,0.0,0.0
823d97fffffffff,1017.0,0.0,0.0
823d9ffffffffff,1477.0,0.0,0.0
823da7fffffffff,3304.0,0.0,0.0
823daffffffffff,942.0,0.0,0.0
823db7fffffffff,637.0,0.0,0.0
823e47fffffffff,7.0,0.0,0.0
823e4ffffffffff,2.0,0.0,0.0
823e5ffffffffff,89.0,1.0,0.0
823e67fffffffff,19.0,2.0,0.0
823e6ffffffffff,641.0,0.0,7.0
823e77fffffffff,49.0,0.0,0.0
823f5ffffffffff,1.0,0.0,0.0
824007fffffffff,2.0,0.0,0.0
824027fffffffff,7.0,0.0,0.0
82402ffffffffff,32.0,0.0,0.0
