cell_id,Psophodes nigrogularis,Psophodes nigrogularis nigrogularis/oberon,Psophodes nigrogularis leucogaster/lashmari
84b9111ffffffff,2.0,0.0,1.0
84c9865ffffffff,2.0,2.0,0.0
84c9869ffffffff,2.0,0.0,0.0
84c9b17ffffffff,4.0,2.0,0.0
