cell_id,Terpsiphone atrocaudata,Terpsiphone atrocaudata atrocaudata/illex,Terpsiphone atrocaudata periophthalmica
842f5d7ffffffff,1.0,0.0,0.0
84309b3ffffffff,6.0,0.0,0.0
84309b9ffffffff,2.0,0.0,0.0
84309d9ffffffff,3.0,0.0,0.0
844a965ffffffff,1.0,0.0,0.0
844b26dffffffff,15.0,0.0,0.0
844b863ffffffff,4.0,0.0,0.0
844b9cdffffffff,1.0,0.0,0.0
844ba15ffffffff,1.0,0.0,0.0
844ba29ffffffff,2.0,0.0,0.0
844ba3dffffffff,2.0,0.0,0.0
844ba57ffffffff,7.0,0.0,0.0
844bb19ffffffff,2.0,0.0,0.0
8464a41ffffffff,1.0,0.0,0.0
846500bffffffff,1.0,0.0,0.0
8465017ffffffff,1.0,0.0,0.0
846502bffffffff,3.0,0.0,0.0
846505dffffffff,1.0,0.0,0.0
8465063ffffffff,2.0,0.0,0.0
84651c1ffffffff,8.0,0.0,0.0
84651c9ffffffff,9.0,0.0,0.0
84651cbffffffff,4.0,0.0,0.0
84651cdffffffff,32.0,0.0,0.0
84651d9ffffffff,9.0,0.0,0.0
846520dffffffff,48.0,0.0,0.0
8465263ffffffff,2.0,0.0,0.0
846526bffffffff,2.0,0.0,0.0
8465847ffffffff,13.0,0.0,0.0
846586bffffffff,2.0,0.0,0.0
84658e3ffffffff,15.0,0.0,0.0
8465b01ffffffff,2.0,0.0,0.0
8465b3dffffffff,2.0,0.0,0.0
84684e5ffffffff,1.0,0.0,0.0
8469439ffffffff,2.0,0.0,0.0
84694edffffffff,4.0,0.0,0.0
848c107ffffffff,4.0,0.0,0.0
848d8cbffffffff,1.0,0.0,0.0
