cell_id,Garrulus glandarius,Garrulus glandarius [glandarius Group],Garrulus glandarius [atricapillus Group],Garrulus glandarius [cervicalis Group],Garrulus glandarius hyrcanus,Garrulus glandarius [brandtii Group],Garrulus glandarius [bispecularis Group],Garrulus glandarius leucotis/oatesi,Garrulus glandarius [japonicus Group]
830882fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830884fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830886fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830899fffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a0fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a5fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831181fffffffff,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83118cfffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83118efffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8311aafffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8311abfffffffff,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8311aefffffffff,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83148cfffffffff,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
8314aefffffffff,37.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0
831845fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831849fffffffff,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83184afffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83184bfffffffff,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831859fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83185bfffffffff,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831863fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831942fffffffff,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831948fffffffff,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83194efffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831951fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831954fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831955fffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831959fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83195dfffffffff,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83196bfffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e03fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e05fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e08fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e0afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e0bfffffffff,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e12fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e24fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e34fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e46fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e5cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e6bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831e80fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ea0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ea2fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ea4fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ea5fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ea9fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ec0fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ec1fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ec3fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ec4fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831eccfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ecefffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ee5fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ee9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831eeafffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831eebfffffffff,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ef0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831f13fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831f51fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831f71fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
