cell_id,Aethopyga gouldiae,Aethopyga gouldiae gouldiae/isolata,Aethopyga gouldiae dabryii,Aethopyga gouldiae annamensis
843c029ffffffff,6.0,0.0,0.0,0.0
843c02bffffffff,1.0,0.0,0.0,0.0
843c02dffffffff,6.0,0.0,0.0,0.0
843c063ffffffff,11.0,0.0,0.0,0.0
843c069ffffffff,3.0,0.0,0.0,0.0
843c0a3ffffffff,105.0,10.0,0.0,0.0
843c0a5ffffffff,69.0,0.0,0.0,0.0
843c0a9ffffffff,37.0,0.0,0.0,0.0
843c0adffffffff,39.0,0.0,0.0,0.0
843c0b5ffffffff,97.0,13.0,0.0,0.0
843c0b7ffffffff,106.0,19.0,0.0,0.0
843c0bdffffffff,2.0,0.0,0.0,0.0
843c0e7ffffffff,5.0,0.0,0.0,0.0
843c199ffffffff,55.0,0.0,0.0,0.0
843c1d1ffffffff,6.0,0.0,0.0,0.0
843c1d3ffffffff,90.0,0.0,0.0,0.0
843c1d7ffffffff,2.0,0.0,0.0,0.0
843c1dbffffffff,39.0,3.0,0.0,0.0
843c315ffffffff,11.0,0.0,0.0,0.0
843c33bffffffff,9.0,0.0,0.0,0.0
843c423ffffffff,5.0,3.0,0.0,0.0
843c427ffffffff,1.0,0.0,0.0,0.0
843c431ffffffff,4.0,4.0,0.0,0.0
843c435ffffffff,2.0,2.0,0.0,0.0
843c437ffffffff,3.0,3.0,0.0,0.0
843c43dffffffff,1.0,0.0,0.0,0.0
843c521ffffffff,280.0,0.0,0.0,0.0
843c525ffffffff,31.0,0.0,0.0,0.0
843c527ffffffff,369.0,0.0,0.0,0.0
843c529ffffffff,4.0,0.0,0.0,0.0
843c52dffffffff,21.0,0.0,0.0,0.0
843c533ffffffff,35.0,0.0,0.0,0.0
843c567ffffffff,5.0,0.0,0.0,0.0
843c581ffffffff,47.0,0.0,0.0,0.0
843c591ffffffff,1.0,0.0,0.0,0.0
843c595ffffffff,19.0,0.0,0.0,0.0
843c5c5ffffffff,2.0,0.0,0.0,0.0
843c5c9ffffffff,5.0,0.0,0.0,0.0
843c5cbffffffff,2.0,2.0,0.0,0.0
843c5d3ffffffff,1.0,0.0,0.0,0.0
843cc03ffffffff,15.0,0.0,0.0,0.0
843cc11ffffffff,14.0,0.0,0.0,0.0
843cc1dffffffff,3.0,0.0,0.0,0.0
843cc31ffffffff,30.0,0.0,0.0,0.0
