cell_id,Crypturellus noctivagus,Crypturellus noctivagus zabele,Crypturellus noctivagus noctivagus
828027fffffffff,4.0,0.0,0.0
828037fffffffff,2.0,0.0,0.0
828107fffffffff,121.0,35.0,6.0
82810ffffffffff,2.0,0.0,0.0
828117fffffffff,2.0,0.0,0.0
82811ffffffffff,1.0,1.0,0.0
828127fffffffff,249.0,152.0,0.0
82812ffffffffff,5.0,1.0,0.0
828137fffffffff,140.0,45.0,0.0
8281affffffffff,2.0,2.0,0.0
82a807fffffffff,15.0,0.0,3.0
82a80ffffffffff,1.0,0.0,1.0
82a817fffffffff,286.0,0.0,125.0
82a837fffffffff,400.0,0.0,33.0
82a887fffffffff,58.0,0.0,37.0
82a88ffffffffff,3.0,2.0,0.0
82a897fffffffff,31.0,0.0,0.0
82a89ffffffffff,2.0,0.0,0.0
82a8a7fffffffff,1.0,0.0,0.0
82a957fffffffff,1.0,0.0,1.0
