cell_id,Monarcha frater,Monarcha frater frater,Monarcha frater kunupi/periophthalmicus,Monarcha frater canescens
8472a2bffffffff,54.0,0.0,0.0,0.0
8472d23ffffffff,13.0,0.0,0.0,0.0
8472db3ffffffff,15.0,0.0,0.0,0.0
8472f23ffffffff,4.0,0.0,0.0,0.0
849c001ffffffff,1.0,0.0,0.0,0.0
849c003ffffffff,29.0,0.0,0.0,0.0
849c009ffffffff,37.0,0.0,0.0,0.0
849c00bffffffff,6.0,0.0,0.0,0.0
849c031ffffffff,2.0,0.0,0.0,0.0
849c191ffffffff,227.0,0.0,0.0,0.0
849c19dffffffff,3.0,0.0,0.0,0.0
849c851ffffffff,6.0,0.0,0.0,0.0
849c85bffffffff,32.0,0.0,0.0,0.0
849c8b5ffffffff,9.0,0.0,0.0,0.0
849c8bdffffffff,2.0,0.0,0.0,0.0
849c8e7ffffffff,1.0,0.0,0.0,0.0
849c8edffffffff,1.0,0.0,0.0,0.0
849c993ffffffff,4.0,0.0,0.0,0.0
849c9d1ffffffff,1.0,0.0,0.0,0.0
849c9d5ffffffff,1.0,0.0,0.0,0.0
849c9d7ffffffff,2.0,0.0,0.0,0.0
849c9d9ffffffff,2.0,0.0,0.0,0.0
849c9ddffffffff,1.0,0.0,0.0,0.0
849ca65ffffffff,6.0,0.0,0.0,0.0
849caadffffffff,2.0,0.0,0.0,0.0
849cd2dffffffff,1.0,0.0,0.0,0.0
849cf53ffffffff,3.0,0.0,0.0,0.0
