cell_id,Rallus crepitans,Rallus crepitans crepitans/waynei,Rallus crepitans saturatus/scottii,Rallus crepitans [caribaeus Group],Rallus crepitans [pallidus Group]
831aa0fffffffff,8.0,0.0,0.0,0.0,0.0
832668fffffffff,1.0,0.0,0.0,0.0,0.0
832a10fffffffff,369.0,34.0,0.0,0.0,0.0
832a12fffffffff,8.0,0.0,0.0,0.0,0.0
832a13fffffffff,33.0,0.0,0.0,0.0,0.0
832a14fffffffff,18.0,4.0,0.0,0.0,0.0
832a15fffffffff,96.0,11.0,0.0,0.0,0.0
832a30fffffffff,29.0,3.0,0.0,0.0,0.0
832a31fffffffff,138.0,10.0,0.0,0.0,0.0
832a33fffffffff,344.0,50.0,0.0,0.0,0.0
832a34fffffffff,4.0,0.0,0.0,0.0,0.0
832a88fffffffff,4.0,0.0,0.0,0.0,0.0
832a8bfffffffff,2.0,2.0,0.0,0.0,0.0
832a8cfffffffff,6.0,0.0,0.0,0.0,0.0
832a8dfffffffff,1.0,0.0,0.0,0.0,0.0
832aa8fffffffff,188.0,20.0,0.0,0.0,0.0
832aa9fffffffff,31.0,10.0,0.0,0.0,0.0
832aabfffffffff,6.0,0.0,0.0,0.0,0.0
832aacfffffffff,78.0,1.0,0.0,0.0,0.0
832aadfffffffff,224.0,35.0,0.0,0.0,0.0
832ad1fffffffff,4.0,0.0,0.0,0.0,0.0
832ad3fffffffff,4.0,4.0,0.0,0.0,0.0
832ad5fffffffff,11.0,2.0,0.0,0.0,0.0
832ad6fffffffff,4.0,0.0,0.0,0.0,0.0
832af0fffffffff,8.0,2.0,0.0,0.0,0.0
832af1fffffffff,4.0,4.0,0.0,0.0,0.0
832af3fffffffff,4.0,2.0,0.0,0.0,0.0
832af6fffffffff,45.0,2.0,0.0,0.0,0.0
832b0afffffffff,2.0,0.0,0.0,0.0,0.0
832b0cfffffffff,1.0,0.0,0.0,0.0,0.0
832b31fffffffff,5.0,3.0,0.0,0.0,0.0
832b33fffffffff,1.0,0.0,0.0,0.0,0.0
832b89fffffffff,3.0,0.0,0.0,0.0,0.0
834412fffffffff,71.0,0.0,0.0,0.0,0.0
834413fffffffff,22.0,0.0,0.0,0.0,0.0
834416fffffffff,56.0,0.0,0.0,4.0,0.0
83441afffffffff,39.0,0.0,4.0,0.0,0.0
83441bfffffffff,6.0,0.0,4.0,0.0,0.0
83441efffffffff,122.0,0.0,14.0,0.0,0.0
834446fffffffff,5.0,0.0,0.0,0.0,0.0
834450fffffffff,9.0,0.0,5.0,0.0,0.0
834455fffffffff,15.0,0.0,0.0,0.0,0.0
834463fffffffff,11.0,0.0,0.0,0.0,0.0
83446cfffffffff,12.0,0.0,0.0,0.0,0.0
83446efffffffff,12.0,0.0,8.0,0.0,0.0
834473fffffffff,9.0,0.0,0.0,0.0,0.0
8344a1fffffffff,17.0,0.0,0.0,0.0,0.0
8344a5fffffffff,17.0,0.0,0.0,0.0,0.0
8344abfffffffff,18.0,2.0,0.0,0.0,0.0
8344aefffffffff,28.0,10.0,0.0,0.0,0.0
8344b1fffffffff,1.0,0.0,0.0,0.0,0.0
8344d0fffffffff,19.0,0.0,0.0,0.0,0.0
8344d2fffffffff,3.0,0.0,0.0,0.0,0.0
8344d5fffffffff,6.0,0.0,0.0,0.0,0.0
8344e4fffffffff,4.0,0.0,0.0,0.0,0.0
8344e5fffffffff,2.0,0.0,0.0,0.0,0.0
8344e6fffffffff,44.0,0.0,24.0,0.0,0.0
8344f0fffffffff,5.0,5.0,0.0,0.0,0.0
8344f3fffffffff,14.0,0.0,0.0,0.0,0.0
8344f6fffffffff,5.0,5.0,0.0,0.0,0.0
834505fffffffff,3.0,0.0,0.0,0.0,0.0
834509fffffffff,2.0,0.0,0.0,0.0,0.0
83450bfffffffff,2.0,0.0,0.0,0.0,2.0
834521fffffffff,28.0,0.0,0.0,0.0,0.0
834523fffffffff,21.0,0.0,0.0,0.0,0.0
834572fffffffff,3.0,0.0,0.0,0.0,3.0
83458bfffffffff,2.0,0.0,0.0,0.0,0.0
8345b2fffffffff,2.0,0.0,0.0,0.0,0.0
834890fffffffff,7.0,0.0,3.0,0.0,0.0
834892fffffffff,1.0,0.0,1.0,0.0,0.0
834893fffffffff,8.0,0.0,0.0,0.0,0.0
834895fffffffff,3.0,0.0,1.0,0.0,0.0
8348b2fffffffff,1.0,0.0,0.0,0.0,0.0
8348c3fffffffff,4.0,0.0,4.0,0.0,0.0
834c81fffffffff,2.0,0.0,0.0,0.0,0.0
834c88fffffffff,26.0,0.0,0.0,0.0,0.0
834c89fffffffff,4.0,0.0,0.0,0.0,0.0
834c93fffffffff,2.0,0.0,0.0,0.0,0.0
834cc0fffffffff,345.0,0.0,0.0,31.0,0.0
834cc5fffffffff,197.0,0.0,0.0,29.0,0.0
834ce8fffffffff,53.0,0.0,0.0,1.0,0.0
834ceafffffffff,129.0,0.0,0.0,11.0,0.0
834ceefffffffff,39.0,0.0,0.0,2.0,0.0
835e43fffffffff,2.0,0.0,0.0,0.0,0.0
835e5dfffffffff,16.0,0.0,0.0,0.0,0.0
836732fffffffff,8.0,0.0,0.0,0.0,0.0
