cell_id,Fulmarus glacialis,Fulmarus glacialis glacialis/auduboni,Fulmarus glacialis rodgersii
82002ffffffffff,7.0,6.0,0.0
820157fffffffff,32.0,32.0,0.0
82015ffffffffff,195.0,193.0,0.0
82024ffffffffff,10.0,0.0,0.0
820257fffffffff,1.0,1.0,0.0
820297fffffffff,1.0,0.0,0.0
820627fffffffff,1.0,0.0,0.0
82068ffffffffff,6.0,5.0,0.0
820697fffffffff,1.0,0.0,0.0
8206d7fffffffff,8.0,7.0,0.0
820707fffffffff,5.0,0.0,0.0
820757fffffffff,5.0,4.0,0.0
82075ffffffffff,4.0,2.0,0.0
820777fffffffff,48.0,46.0,0.0
82099ffffffffff,4.0,1.0,0.0
820c47fffffffff,24.0,0.0,19.0
820c57fffffffff,6.0,0.0,0.0
820c5ffffffffff,10.0,0.0,0.0
820c6ffffffffff,6.0,0.0,3.0
820ca7fffffffff,53.0,0.0,1.0
820ccffffffffff,2.0,0.0,0.0
820d07fffffffff,17.0,0.0,0.0
820d17fffffffff,2.0,0.0,0.0
820d67fffffffff,2.0,0.0,0.0
820d8ffffffffff,9.0,0.0,0.0
820daffffffffff,5.0,0.0,0.0
820e4ffffffffff,42.0,0.0,0.0
820ecffffffffff,6.0,0.0,0.0
820eeffffffffff,3.0,0.0,0.0
820f6ffffffffff,1.0,0.0,0.0
821297fffffffff,6.0,0.0,0.0
82129ffffffffff,2.0,0.0,2.0
8212b7fffffffff,14.0,0.0,0.0
821397fffffffff,3.0,0.0,0.0
82145ffffffffff,2.0,2.0,0.0
821627fffffffff,5.0,0.0,0.0
821657fffffffff,2.0,0.0,0.0
821807fffffffff,12.0,4.0,0.0
82182ffffffffff,9.0,9.0,0.0
82184ffffffffff,28.0,0.0,0.0
82185ffffffffff,7.0,0.0,0.0
821907fffffffff,2.0,2.0,0.0
82190ffffffffff,10.0,4.0,0.0
82191ffffffffff,3.0,1.0,0.0
82192ffffffffff,4.0,3.0,0.0
821947fffffffff,4.0,0.0,0.0
821957fffffffff,6.0,6.0,0.0
82195ffffffffff,2.0,2.0,0.0
821967fffffffff,2.0,2.0,0.0
821977fffffffff,5.0,4.0,0.0
821a0ffffffffff,8.0,0.0,0.0
821a17fffffffff,3.0,0.0,0.0
821a1ffffffffff,2.0,0.0,0.0
821a67fffffffff,2.0,0.0,0.0
821aa7fffffffff,22.0,0.0,0.0
821ab7fffffffff,3.0,0.0,0.0
821b27fffffffff,1.0,0.0,0.0
821b87fffffffff,6.0,0.0,0.0
821b8ffffffffff,2.0,0.0,0.0
821ba7fffffffff,3.0,0.0,0.0
821baffffffffff,4.0,0.0,0.0
821d27fffffffff,3.0,0.0,0.0
821d2ffffffffff,2.0,0.0,0.0
821d67fffffffff,2.0,0.0,0.0
821f27fffffffff,4.0,1.0,0.0
821f37fffffffff,2.0,0.0,0.0
8222d7fffffffff,12.0,0.0,0.0
8222dffffffffff,134.0,0.0,130.0
822757fffffffff,2.0,0.0,0.0
822807fffffffff,30.0,0.0,0.0
82281ffffffffff,16.0,0.0,0.0
822837fffffffff,836.0,0.0,171.0
8228c7fffffffff,20.0,0.0,0.0
8228cffffffffff,11.0,0.0,1.0
8228d7fffffffff,58.0,0.0,0.0
8228e7fffffffff,27.0,0.0,0.0
8228f7fffffffff,2.0,0.0,0.0
822907fffffffff,4.0,0.0,0.0
822917fffffffff,118.0,0.0,9.0
82291ffffffffff,35.0,0.0,5.0
822927fffffffff,2.0,0.0,0.0
8229a7fffffffff,836.0,0.0,4.0
8229affffffffff,44.0,0.0,0.0
822a07fffffffff,227.0,0.0,0.0
822a17fffffffff,133.0,21.0,0.0
822a1ffffffffff,558.0,94.0,0.0
822a27fffffffff,4.0,0.0,0.0
822a37fffffffff,440.0,2.0,0.0
822aaffffffffff,25.0,0.0,0.0
822ac7fffffffff,1.0,1.0,0.0
822af7fffffffff,133.0,3.0,0.0
822b07fffffffff,2.0,0.0,0.0
822b0ffffffffff,11.0,0.0,0.0
822b17fffffffff,68.0,0.0,0.0
822b1ffffffffff,74.0,0.0,0.0
822b27fffffffff,11.0,0.0,0.0
822b2ffffffffff,1.0,0.0,0.0
822b37fffffffff,24.0,0.0,0.0
822b87fffffffff,8.0,0.0,0.0
822ba7fffffffff,5.0,0.0,0.0
822baffffffffff,8.0,0.0,0.0
822e2ffffffffff,2.0,0.0,0.0
822eaffffffffff,2.0,0.0,0.0
822f5ffffffffff,6.0,0.0,3.0
8232dffffffffff,1.0,0.0,0.0
82391ffffffffff,2.0,0.0,0.0
823927fffffffff,9.0,0.0,0.0
823937fffffffff,20.0,0.0,0.0
8244f7fffffffff,4.0,0.0,0.0
824637fffffffff,2.0,0.0,0.0
824807fffffffff,2.0,0.0,0.0
824827fffffffff,11.0,0.0,2.0
82482ffffffffff,6.0,0.0,0.0
824847fffffffff,25.0,0.0,0.0
82484ffffffffff,11.0,0.0,2.0
82485ffffffffff,5.0,0.0,0.0
824877fffffffff,7.0,0.0,0.0
8250cffffffffff,2.0,0.0,0.0
82b2c7fffffffff,4.0,0.0,0.0
