cell_id,Notharchus tectus,Notharchus tectus subtectus,Notharchus tectus tectus/picatus
835f03fffffffff,7.0,0.0,0.0
836610fffffffff,7.0,6.0,0.0
836611fffffffff,2.0,0.0,0.0
836616fffffffff,1.0,1.0,0.0
83661cfffffffff,2.0,0.0,0.0
83661efffffffff,2.0,0.0,0.0
836625fffffffff,3.0,0.0,0.0
836641fffffffff,2.0,0.0,0.0
8366a0fffffffff,41.0,0.0,0.0
8366a5fffffffff,3.0,2.0,0.0
8366dcfffffffff,4.0,0.0,0.0
8366e5fffffffff,3.0,0.0,0.0
8366ecfffffffff,8.0,0.0,0.0
83679afffffffff,1.0,0.0,0.0
836d68fffffffff,11.0,0.0,0.0
836d69fffffffff,11.0,0.0,0.0
836d6dfffffffff,1.0,0.0,0.0
838b0bfffffffff,1.0,0.0,0.0
838f2cfffffffff,1.0,1.0,0.0
838f40fffffffff,5.0,0.0,0.0
838f73fffffffff,2.0,0.0,2.0
