cell_id,Crax fasciolata,Crax fasciolata pinima,Crax fasciolata fasciolata/grayi
84a8eb5ffffffff,2.0,0.0,0.0
84a8ec9ffffffff,42.0,0.0,2.0
84a8ecbffffffff,5.0,0.0,0.0
84a8edbffffffff,1.0,0.0,0.0
84a8eddffffffff,1.0,0.0,0.0
84a8f13ffffffff,1.0,0.0,0.0
84a8f1dffffffff,1.0,0.0,0.0
84a8f41ffffffff,11.0,0.0,0.0
84a8f43ffffffff,3.0,0.0,0.0
84a8f55ffffffff,1.0,0.0,0.0
84a8f57ffffffff,3.0,0.0,0.0
84a8f5dffffffff,2.0,0.0,0.0
84a8f61ffffffff,2.0,0.0,0.0
84a8f63ffffffff,2.0,0.0,0.0
84a8f6bffffffff,2.0,0.0,0.0
84a940dffffffff,1.0,0.0,0.0
84a9411ffffffff,4.0,0.0,0.0
84a9413ffffffff,25.0,0.0,0.0
84a9419ffffffff,3.0,0.0,0.0
84a94c5ffffffff,3.0,0.0,0.0
84a94c7ffffffff,13.0,0.0,0.0
84a94e9ffffffff,8.0,0.0,0.0
84a95dbffffffff,2.0,0.0,0.0
84a9685ffffffff,68.0,0.0,0.0
