cell_id,Mareca strepera,Mareca strepera strepera,Mareca strepera couesi
840130bffffffff,2.0,0.0,0.0
8401319ffffffff,2.0,0.0,0.0
8407411ffffffff,4.0,0.0,0.0
8407425ffffffff,2.0,0.0,0.0
8407427ffffffff,6.0,0.0,0.0
8407431ffffffff,1.0,0.0,0.0
8407433ffffffff,18.0,0.0,0.0
8407439ffffffff,2.0,0.0,0.0
840744bffffffff,1.0,0.0,0.0
8407457ffffffff,2.0,0.0,0.0
840745dffffffff,2.0,0.0,0.0
8407461ffffffff,380.0,21.0,0.0
8407465ffffffff,136.0,3.0,0.0
8407467ffffffff,8.0,0.0,0.0
840746dffffffff,110.0,0.0,0.0
8407513ffffffff,4.0,0.0,0.0
8407551ffffffff,2.0,0.0,0.0
8407553ffffffff,4.0,0.0,0.0
840755bffffffff,6.0,0.0,0.0
840758dffffffff,1.0,0.0,0.0
84075d1ffffffff,20.0,1.0,0.0
84075d9ffffffff,26.0,0.0,0.0
84075ddffffffff,296.0,4.0,0.0
84075edffffffff,4.0,0.0,0.0
8407623ffffffff,4.0,0.0,0.0
8407625ffffffff,2.0,0.0,0.0
8407635ffffffff,8.0,0.0,0.0
8407703ffffffff,2.0,2.0,0.0
8407715ffffffff,2.0,0.0,0.0
8407731ffffffff,15.0,0.0,0.0
8407733ffffffff,137.0,4.0,0.0
8407739ffffffff,5.0,2.0,0.0
840773bffffffff,19.0,0.0,0.0
8408065ffffffff,18.0,0.0,0.0
840815bffffffff,4.0,0.0,0.0
8408809ffffffff,7.0,0.0,0.0
840880bffffffff,6.0,0.0,0.0
840880dffffffff,8.0,0.0,0.0
8408823ffffffff,2.0,0.0,0.0
8408829ffffffff,31.0,21.0,0.0
840882dffffffff,1.0,1.0,0.0
840883dffffffff,8.0,0.0,0.0
8408845ffffffff,10.0,4.0,0.0
8408855ffffffff,15.0,0.0,0.0
840885bffffffff,2.0,0.0,0.0
8408861ffffffff,2.0,2.0,0.0
8408863ffffffff,39.0,8.0,0.0
8408867ffffffff,172.0,44.0,0.0
8408869ffffffff,30.0,2.0,0.0
840886bffffffff,100.0,42.0,0.0
8408889ffffffff,16.0,2.0,0.0
840888bffffffff,1.0,0.0,0.0
84088e1ffffffff,2.0,2.0,0.0
8408901ffffffff,16.0,0.0,0.0
840890dffffffff,4.0,0.0,0.0
8408937ffffffff,50.0,0.0,0.0
8408949ffffffff,2.0,0.0,0.0
8408959ffffffff,9.0,6.0,0.0
840895bffffffff,25.0,18.0,0.0
8408961ffffffff,14.0,0.0,0.0
8408965ffffffff,11.0,2.0,0.0
840896dffffffff,2.0,0.0,0.0
8408985ffffffff,40.0,0.0,0.0
8408987ffffffff,3.0,0.0,0.0
840898bffffffff,4.0,0.0,0.0
8408991ffffffff,2.0,0.0,0.0
8408995ffffffff,5.0,0.0,0.0
8408997ffffffff,312.0,57.0,0.0
8408999ffffffff,8.0,2.0,0.0
84089a5ffffffff,28.0,0.0,0.0
84089a9ffffffff,165.0,2.0,0.0
84089abffffffff,6.0,1.0,0.0
84089adffffffff,15.0,0.0,0.0
84089b1ffffffff,20.0,0.0,0.0
84089b7ffffffff,7.0,0.0,0.0
84089bbffffffff,25.0,0.0,0.0
84089bdffffffff,3.0,0.0,0.0
84089d1ffffffff,13.0,0.0,0.0
84089d3ffffffff,5.0,0.0,0.0
84089d9ffffffff,2.0,0.0,0.0
84089dbffffffff,14.0,0.0,0.0
84089e1ffffffff,5.0,0.0,0.0
84089e3ffffffff,57.0,0.0,0.0
84089e5ffffffff,9.0,0.0,0.0
84089e7ffffffff,26.0,0.0,0.0
84089ebffffffff,13.0,0.0,0.0
84089edffffffff,3.0,0.0,0.0
8408b05ffffffff,17.0,3.0,0.0
8408b07ffffffff,1.0,1.0,0.0
8408b09ffffffff,2.0,0.0,0.0
8408b0dffffffff,20.0,0.0,0.0
8408b11ffffffff,63.0,6.0,0.0
8408b15ffffffff,38.0,0.0,0.0
8408b17ffffffff,11.0,0.0,0.0
8408b31ffffffff,4.0,0.0,0.0
8408b33ffffffff,4.0,2.0,0.0
8408b37ffffffff,10.0,0.0,0.0
8408b3bffffffff,2.0,2.0,0.0
8408b3dffffffff,17.0,10.0,0.0
8408b41ffffffff,3.0,0.0,0.0
8408c19ffffffff,2.0,2.0,0.0
8408c21ffffffff,6.0,0.0,0.0
8408c29ffffffff,7.0,2.0,0.0
8408c97ffffffff,2.0,0.0,0.0
8408d03ffffffff,2.0,0.0,0.0
8408d07ffffffff,6.0,0.0,0.0
8408d19ffffffff,56.0,2.0,0.0
8408d43ffffffff,1.0,0.0,0.0
8408d51ffffffff,5.0,0.0,0.0
8408d53ffffffff,2.0,0.0,0.0
8408d55ffffffff,4.0,0.0,0.0
8408d57ffffffff,6.0,0.0,0.0
8408d81ffffffff,8.0,0.0,0.0
8408d83ffffffff,3.0,0.0,0.0
8408dd9ffffffff,2.0,0.0,0.0
8408ed1ffffffff,1.0,0.0,0.0
8408ed3ffffffff,6.0,0.0,0.0
8408f25ffffffff,2.0,2.0,0.0
84095a9ffffffff,2.0,0.0,0.0
8409805ffffffff,2.0,0.0,0.0
8409821ffffffff,15.0,0.0,0.0
8409829ffffffff,5.0,0.0,0.0
840982dffffffff,8.0,0.0,0.0
8409911ffffffff,6.0,0.0,0.0
840991bffffffff,10.0,0.0,0.0
8409993ffffffff,4.0,0.0,0.0
8409997ffffffff,1.0,0.0,0.0
840999bffffffff,2.0,0.0,0.0
84099b9ffffffff,2.0,0.0,0.0
84099bdffffffff,2.0,0.0,0.0
8409a45ffffffff,8.0,0.0,0.0
8409a4dffffffff,3.0,0.0,0.0
8409a69ffffffff,1.0,0.0,0.0
840a337ffffffff,2.0,0.0,0.0
840bb01ffffffff,2.0,0.0,0.0
840bb0dffffffff,1.0,0.0,0.0
840bb1dffffffff,2.0,0.0,0.0
840c141ffffffff,3.0,0.0,0.0
840c143ffffffff,134.0,0.0,0.0
840c147ffffffff,37.0,0.0,0.0
