cell_id,Cyanoderma rufifrons,Cyanoderma rufifrons [ambiguum Group],Cyanoderma rufifrons [rufifrons Group]
843c527ffffffff,1.0,0.0,1.0
843c587ffffffff,18.0,18.0,0.0
843c5a1ffffffff,40.0,40.0,0.0
843c5a9ffffffff,41.0,41.0,0.0
843c5adffffffff,4.0,4.0,0.0
843c5bdffffffff,39.0,39.0,0.0
843cc05ffffffff,3.0,3.0,0.0
843cc0bffffffff,91.0,91.0,0.0
843cc0dffffffff,5.0,5.0,0.0
843cc27ffffffff,2.0,2.0,0.0
843cc29ffffffff,2.0,2.0,0.0
843cc47ffffffff,13.0,13.0,0.0
843cc5dffffffff,12.0,12.0,0.0
843cc6bffffffff,6.0,6.0,0.0
843ccc9ffffffff,13.0,13.0,0.0
843cd8bffffffff,3.0,0.0,3.0
843cdcdffffffff,12.0,12.0,0.0
843ce15ffffffff,13.0,13.0,0.0
843ce3bffffffff,3.0,3.0,0.0
843ce55ffffffff,2.0,2.0,0.0
843ce8bffffffff,9.0,9.0,0.0
843cea1ffffffff,16.0,16.0,0.0
843cea3ffffffff,2.0,2.0,0.0
843cea5ffffffff,5.0,5.0,0.0
843cea7ffffffff,3.0,3.0,0.0
843cec1ffffffff,132.0,132.0,0.0
843cec3ffffffff,21.0,21.0,0.0
843cec9ffffffff,10.0,10.0,0.0
843ced7ffffffff,2.0,2.0,0.0
8440699ffffffff,1.0,0.0,1.0
8441493ffffffff,2.0,2.0,0.0
844149bffffffff,1.0,1.0,0.0
84414b1ffffffff,2.0,2.0,0.0
84414b3ffffffff,2.0,2.0,0.0
84414b7ffffffff,6.0,6.0,0.0
84414c3ffffffff,11.0,11.0,0.0
84414dbffffffff,2.0,2.0,0.0
844159bffffffff,6.0,6.0,0.0
84416a1ffffffff,1.0,1.0,0.0
84416a3ffffffff,1.0,1.0,0.0
8464125ffffffff,2.0,0.0,2.0
846414dffffffff,2.0,0.0,2.0
8464161ffffffff,14.0,0.0,14.0
8464165ffffffff,6.0,0.0,6.0
846416dffffffff,692.0,0.0,692.0
8464225ffffffff,1.0,0.0,1.0
846430bffffffff,3.0,0.0,3.0
8464319ffffffff,45.0,0.0,45.0
846431dffffffff,3.0,0.0,3.0
8464323ffffffff,48.0,0.0,48.0
8464331ffffffff,1.0,0.0,1.0
846433dffffffff,19.0,0.0,19.0
8464343ffffffff,9.0,0.0,9.0
846434bffffffff,3.0,0.0,3.0
8464357ffffffff,10.0,0.0,10.0
8464359ffffffff,1.0,0.0,1.0
846480bffffffff,10.0,0.0,10.0
8464821ffffffff,25.0,1.0,24.0
8464825ffffffff,50.0,1.0,49.0
8464827ffffffff,11.0,0.0,11.0
8464829ffffffff,7.0,0.0,7.0
846482bffffffff,49.0,0.0,49.0
846482dffffffff,9.0,1.0,8.0
8464845ffffffff,4.0,0.0,4.0
846484bffffffff,8.0,0.0,8.0
8464853ffffffff,1.0,0.0,1.0
8464867ffffffff,1.0,0.0,1.0
84648a5ffffffff,2.0,0.0,2.0
84648ebffffffff,3.0,0.0,3.0
8464903ffffffff,7.0,2.0,5.0
8464909ffffffff,7.0,7.0,0.0
846490dffffffff,2.0,2.0,0.0
8464911ffffffff,291.0,44.0,247.0
846491bffffffff,1.0,0.0,1.0
8464929ffffffff,4.0,4.0,0.0
8464949ffffffff,2.0,0.0,2.0
846494bffffffff,5.0,0.0,5.0
8464951ffffffff,24.0,24.0,0.0
8464953ffffffff,6.0,3.0,3.0
8464955ffffffff,12.0,12.0,0.0
8464959ffffffff,14.0,13.0,1.0
846495dffffffff,4.0,2.0,2.0
8464963ffffffff,4.0,4.0,0.0
8464967ffffffff,1.0,1.0,0.0
8464983ffffffff,10.0,7.0,3.0
8464a03ffffffff,3.0,0.0,3.0
8464a11ffffffff,7.0,0.0,7.0
8464a15ffffffff,2.0,0.0,2.0
8464a17ffffffff,1.0,0.0,1.0
8464a19ffffffff,3.0,0.0,3.0
8464a35ffffffff,6.0,0.0,6.0
8464a3dffffffff,1.0,0.0,1.0
8464a53ffffffff,1.0,0.0,1.0
8464ae5ffffffff,1.0,0.0,1.0
8464b03ffffffff,4.0,4.0,0.0
8464b1dffffffff,2.0,2.0,0.0
8464b21ffffffff,2.0,2.0,0.0
8464b25ffffffff,7.0,7.0,0.0
8464b29ffffffff,27.0,12.0,15.0
8464b2dffffffff,2.0,2.0,0.0
8464b31ffffffff,2.0,0.0,2.0
8464b43ffffffff,5.0,5.0,0.0
8464b51ffffffff,2.0,2.0,0.0
8464b63ffffffff,49.0,49.0,0.0
8464b67ffffffff,4.0,4.0,0.0
8465005ffffffff,15.0,0.0,15.0
846500bffffffff,16.0,0.0,16.0
8465021ffffffff,3.0,0.0,3.0
8465029ffffffff,2.0,0.0,2.0
846502bffffffff,31.0,0.0,31.0
8465037ffffffff,3.0,0.0,3.0
8465055ffffffff,37.0,0.0,37.0
8465057ffffffff,2.0,0.0,2.0
846505dffffffff,40.0,0.0,40.0
8465063ffffffff,2.0,0.0,2.0
846509bffffffff,1.0,0.0,1.0
8465187ffffffff,2.0,0.0,2.0
8465189ffffffff,53.0,0.0,53.0
846518bffffffff,2.0,0.0,2.0
84651c1ffffffff,14.0,0.0,14.0
84651c9ffffffff,35.0,0.0,35.0
84651cbffffffff,10.0,0.0,10.0
84651cdffffffff,43.0,0.0,43.0
8465221ffffffff,16.0,0.0,16.0
8465223ffffffff,7.0,0.0,7.0
8465225ffffffff,18.0,0.0,18.0
8465227ffffffff,4.0,0.0,4.0
8465229ffffffff,101.0,0.0,101.0
846556bffffffff,1.0,0.0,1.0
8465897ffffffff,5.0,0.0,5.0
846589bffffffff,10.0,0.0,10.0
8468025ffffffff,9.0,0.0,9.0
8468101ffffffff,1.0,0.0,1.0
8468111ffffffff,8.0,0.0,8.0
8468119ffffffff,4.0,0.0,4.0
846811bffffffff,4.0,0.0,4.0
8468123ffffffff,30.0,0.0,30.0
8468157ffffffff,3.0,0.0,3.0
8468181ffffffff,1.0,0.0,1.0
8468185ffffffff,6.0,0.0,6.0
8468189ffffffff,3.0,0.0,3.0
846818bffffffff,9.0,0.0,9.0
