cell_id,Prinia flaviventris,Prinia flaviventris [flaviventris Group],Prinia flaviventris sonitans
82309ffffffffff,18.0,0.0,0.0
823c17fffffffff,43.0,1.0,0.0
823c1ffffffffff,10.0,0.0,0.0
823c37fffffffff,52.0,0.0,0.0
823c5ffffffffff,655.0,0.0,0.0
823c8ffffffffff,59.0,0.0,0.0
823cc7fffffffff,11.0,0.0,0.0
823ccffffffffff,3.0,0.0,0.0
823cdffffffffff,4.0,0.0,0.0
823ce7fffffffff,14.0,0.0,0.0
823ceffffffffff,46.0,0.0,0.0
823cf7fffffffff,1073.0,0.0,0.0
823d17fffffffff,555.0,0.0,0.0
823d37fffffffff,99.0,0.0,0.0
823d87fffffffff,8.0,0.0,0.0
823d8ffffffffff,15.0,0.0,0.0
823da7fffffffff,1266.0,0.0,0.0
823daffffffffff,307.0,0.0,0.0
824027fffffffff,3.0,0.0,0.0
82402ffffffffff,231.0,0.0,0.0
824037fffffffff,5.0,0.0,0.0
82404ffffffffff,63.0,0.0,0.0
824067fffffffff,21.0,0.0,0.0
82406ffffffffff,5.0,0.0,0.0
824107fffffffff,34.0,0.0,8.0
82410ffffffffff,17.0,0.0,0.0
824117fffffffff,33.0,0.0,1.0
82411ffffffffff,3467.0,0.0,1166.0
824147fffffffff,33.0,1.0,0.0
82414ffffffffff,15.0,0.0,0.0
824157fffffffff,14.0,0.0,0.0
82415ffffffffff,71.0,0.0,0.0
824167fffffffff,8.0,0.0,0.0
82416ffffffffff,21.0,1.0,0.0
824177fffffffff,79.0,0.0,1.0
824187fffffffff,36.0,0.0,0.0
82418ffffffffff,5.0,0.0,0.0
824197fffffffff,56.0,0.0,0.0
82419ffffffffff,34.0,0.0,0.0
8241a7fffffffff,5762.0,0.0,2260.0
8241affffffffff,2.0,0.0,0.0
8241b7fffffffff,445.0,0.0,24.0
82424ffffffffff,168.0,0.0,0.0
824257fffffffff,3.0,0.0,0.0
82426ffffffffff,164.0,0.0,0.0
8242e7fffffffff,5.0,0.0,0.0
824b37fffffffff,7.0,0.0,0.0
824b87fffffffff,597.0,0.0,0.0
824ba7fffffffff,24794.0,0.0,1167.0
824bb7fffffffff,13938.0,0.0,1710.0
826417fffffffff,8.0,5.0,0.0
826427fffffffff,4.0,0.0,0.0
826437fffffffff,91.0,46.0,0.0
826487fffffffff,271.0,143.0,0.0
82648ffffffffff,34.0,2.0,0.0
826497fffffffff,457.0,136.0,0.0
82649ffffffffff,36.0,2.0,0.0
8264a7fffffffff,1474.0,935.0,0.0
8264affffffffff,5.0,0.0,0.0
8264b7fffffffff,411.0,111.0,0.0
826507fffffffff,700.0,3.0,0.0
82650ffffffffff,10.0,0.0,0.0
826517fffffffff,1.0,0.0,0.0
82651ffffffffff,533.0,141.0,0.0
826527fffffffff,1018.0,1.0,0.0
82652ffffffffff,5.0,0.0,0.0
826557fffffffff,9.0,0.0,0.0
826587fffffffff,879.0,0.0,0.0
82658ffffffffff,1261.0,655.0,0.0
826597fffffffff,36.0,2.0,0.0
82659ffffffffff,227.0,101.0,0.0
8265a7fffffffff,7.0,0.0,0.0
8265b7fffffffff,283.0,26.0,0.0
826807fffffffff,14.0,0.0,0.0
826817fffffffff,499.0,40.0,0.0
82681ffffffffff,971.0,86.0,0.0
82688ffffffffff,2.0,0.0,0.0
826897fffffffff,1.0,0.0,0.0
82689ffffffffff,4.0,0.0,0.0
8268a7fffffffff,59.0,0.0,0.0
8268affffffffff,3.0,0.0,0.0
828c17fffffffff,54.0,0.0,0.0
828c8ffffffffff,1.0,0.0,0.0
828c97fffffffff,53.0,6.0,0.0
828caffffffffff,33.0,0.0,0.0
828cd7fffffffff,10.0,0.0,0.0
828d87fffffffff,16.0,0.0,0.0
828d8ffffffffff,8.0,0.0,0.0
828d97fffffffff,2.0,0.0,0.0
