cell_id,Chalybura buffonii,Chalybura buffonii [buffonii Group],Chalybura buffonii caeruleogaster,Chalybura buffonii intermedia
846621dffffffff,3.0,0.0,0.0,0.0
846622bffffffff,6.0,0.0,0.0,0.0
846623bffffffff,12.0,0.0,0.0,0.0
8466a01ffffffff,1.0,0.0,0.0,0.0
8466a0bffffffff,9.0,2.0,0.0,0.0
8466a1dffffffff,2.0,0.0,0.0,0.0
8466a55ffffffff,2.0,0.0,0.0,0.0
8466a57ffffffff,2.0,0.0,0.0,0.0
8466a5bffffffff,11.0,3.0,0.0,0.0
8466e41ffffffff,1.0,1.0,0.0,0.0
8466e57ffffffff,1.0,0.0,1.0,0.0
8466e65ffffffff,1.0,0.0,0.0,0.0
8467413ffffffff,9.0,2.0,0.0,0.0
84674c5ffffffff,62.0,0.0,0.0,0.0
84674c7ffffffff,2.0,0.0,0.0,0.0
84674cdffffffff,12.0,0.0,0.0,0.0
84674edffffffff,2.0,0.0,0.0,0.0
8467519ffffffff,2.0,0.0,0.0,0.0
84675cbffffffff,6.0,0.0,0.0,0.0
