cell_id,Lanius excubitor,Lanius excubitor [excubitor Group],Lanius excubitor [elegans Group],Lanius excubitor aucheri/buryi,Lanius excubitor uncinatus,Lanius excubitor pallidirostris,Lanius excubitor lahtora
830135fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
830806fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830810fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830815fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83081efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830880fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
830882fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830883fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
830884fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
830885fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
830886fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
830888fffffffff,22.0,2.0,0.0,0.0,0.0,0.0,0.0
83088afffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83088bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83088dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830893fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
830895fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
830896fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830898fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
830899fffffffff,73.0,7.0,0.0,0.0,0.0,0.0,0.0
83089afffffffff,40.0,0.0,0.0,0.0,0.0,0.0,0.0
83089bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83089dfffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
83089efffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a6fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8308a8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b0fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b1fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308c2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8308c8fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8308c9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308cdfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308cefffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d1fffffffff,11.0,2.0,0.0,0.0,0.0,0.0,0.0
8308d3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d5fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d8fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8308eafffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8308ecfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
830980fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
830989fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830991fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
830993fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830999fffffffff,19.0,1.0,0.0,0.0,0.0,0.0,0.0
