cell_id,Sturnia malabarica,Sturnia malabarica malabarica,Sturnia malabarica nemoricola
833c02fffffffff,647.0,0.0,0.0
833c06fffffffff,10.0,0.0,0.0
833c0afffffffff,34.0,0.0,0.0
833c0bfffffffff,51.0,0.0,0.0
833c13fffffffff,11.0,0.0,0.0
833c15fffffffff,186.0,0.0,0.0
833c16fffffffff,4.0,0.0,0.0
833c18fffffffff,15.0,0.0,0.0
833c19fffffffff,482.0,0.0,0.0
833c1afffffffff,6.0,0.0,0.0
833c1bfffffffff,153.0,0.0,0.0
833c1cfffffffff,327.0,0.0,0.0
833c1dfffffffff,83.0,0.0,0.0
833c31fffffffff,7.0,0.0,0.0
833c33fffffffff,70.0,0.0,0.0
833c34fffffffff,4.0,0.0,0.0
833c36fffffffff,39.0,0.0,0.0
833c52fffffffff,36.0,0.0,0.0
833c53fffffffff,10.0,0.0,0.0
833c58fffffffff,321.0,0.0,0.0
833c5afffffffff,507.0,0.0,0.0
833c5bfffffffff,80.0,0.0,0.0
833c5efffffffff,17.0,0.0,0.0
833c80fffffffff,21.0,0.0,0.0
833c83fffffffff,28.0,0.0,0.0
833c84fffffffff,2.0,0.0,0.0
833c85fffffffff,2.0,0.0,0.0
833c88fffffffff,98.0,0.0,0.0
833c89fffffffff,186.0,0.0,0.0
833c8afffffffff,4.0,0.0,0.0
833c8cfffffffff,184.0,0.0,0.0
833c8dfffffffff,166.0,0.0,0.0
833c8efffffffff,278.0,0.0,0.0
833c90fffffffff,12.0,0.0,0.0
833c92fffffffff,116.0,0.0,0.0
833c93fffffffff,45.0,0.0,0.0
833c94fffffffff,55.0,0.0,0.0
833c95fffffffff,24.0,0.0,0.0
833c96fffffffff,5.0,0.0,0.0
833c9dfffffffff,20.0,0.0,0.0
833c9efffffffff,7.0,0.0,0.0
833ca1fffffffff,3.0,0.0,0.0
833ca2fffffffff,9.0,0.0,0.0
833ca3fffffffff,15.0,0.0,0.0
833ca4fffffffff,7.0,0.0,0.0
833ca8fffffffff,56.0,0.0,0.0
833ca9fffffffff,140.0,0.0,0.0
833cabfffffffff,101.0,0.0,0.0
833cadfffffffff,10.0,0.0,0.0
833caefffffffff,17.0,0.0,0.0
833cb0fffffffff,8.0,0.0,0.0
833cb1fffffffff,114.0,0.0,0.0
833cb3fffffffff,26.0,0.0,0.0
833cb4fffffffff,175.0,0.0,0.0
833cb5fffffffff,172.0,0.0,0.0
833cb6fffffffff,32.0,0.0,0.0
833cc0fffffffff,43.0,0.0,0.0
833cc2fffffffff,87.0,0.0,0.0
833cc4fffffffff,595.0,0.0,0.0
833cc5fffffffff,130.0,0.0,0.0
833cc6fffffffff,203.0,0.0,0.0
833ccbfffffffff,4.0,0.0,0.0
833cd1fffffffff,28.0,0.0,0.0
833cd4fffffffff,27.0,0.0,0.0
833cd5fffffffff,30.0,0.0,0.0
833cd8fffffffff,2.0,0.0,0.0
833cd9fffffffff,4.0,0.0,0.0
833cdcfffffffff,13.0,0.0,0.0
833cdefffffffff,4.0,0.0,0.0
833ce0fffffffff,75.0,0.0,0.0
833ce1fffffffff,1050.0,0.0,0.0
833ce2fffffffff,62.0,0.0,0.0
833ce3fffffffff,92.0,0.0,0.0
833ce4fffffffff,382.0,0.0,0.0
833ce5fffffffff,719.0,0.0,0.0
833ce6fffffffff,2.0,0.0,0.0
833ce8fffffffff,62.0,0.0,0.0
833ce9fffffffff,6.0,0.0,0.0
833ceafffffffff,35.0,0.0,0.0
833cebfffffffff,10.0,0.0,0.0
833cecfffffffff,1801.0,0.0,0.0
833cedfffffffff,100.0,0.0,0.0
833ceefffffffff,1.0,0.0,0.0
833cf0fffffffff,166.0,0.0,0.0
833cf1fffffffff,1106.0,0.0,0.0
833cf2fffffffff,1849.0,0.0,0.0
833cf3fffffffff,64.0,0.0,0.0
