cell_id,Coeligena violifer,Coeligena violifer dichroura,Coeligena violifer albicaudata,Coeligena violifer osculans,Coeligena violifer violifer
848b203ffffffff,92.0,0.0,0.0,0.0,15.0
848b205ffffffff,1.0,0.0,0.0,0.0,0.0
848b20dffffffff,1.0,0.0,0.0,0.0,0.0
848b211ffffffff,3.0,0.0,0.0,0.0,0.0
848b21dffffffff,21.0,0.0,0.0,0.0,1.0
848b2c1ffffffff,14.0,0.0,0.0,0.0,0.0
848b2c5ffffffff,3.0,0.0,0.0,0.0,0.0
848b2cdffffffff,152.0,0.0,0.0,0.0,13.0
848b603ffffffff,4.0,0.0,0.0,0.0,0.0
848b607ffffffff,1.0,0.0,0.0,0.0,0.0
848b611ffffffff,69.0,0.0,0.0,7.0,0.0
848b613ffffffff,5.0,0.0,0.0,0.0,0.0
848b615ffffffff,3.0,0.0,0.0,0.0,0.0
848b617ffffffff,653.0,0.0,0.0,69.0,0.0
848b61bffffffff,10.0,0.0,0.0,0.0,0.0
848b63bffffffff,4.0,0.0,0.0,0.0,0.0
848b665ffffffff,13.0,0.0,0.0,0.0,0.0
848b6c1ffffffff,1.0,0.0,0.0,1.0,0.0
848b6c5ffffffff,28.0,0.0,0.0,0.0,0.0
848b6c9ffffffff,64.0,0.0,0.0,7.0,0.0
848b6cdffffffff,448.0,0.0,0.0,63.0,0.0
848b759ffffffff,6.0,0.0,0.0,0.0,0.0
848e609ffffffff,2.0,0.0,0.0,0.0,0.0
848e60bffffffff,2.0,0.0,0.0,0.0,0.0
848e617ffffffff,2.0,0.0,0.0,0.0,0.0
848e619ffffffff,4.0,0.0,0.0,0.0,0.0
848e61dffffffff,6.0,0.0,0.0,0.0,0.0
848e649ffffffff,15.0,0.0,0.0,0.0,0.0
848e64bffffffff,2.0,0.0,0.0,0.0,0.0
848e651ffffffff,96.0,5.0,0.0,0.0,0.0
848e655ffffffff,11.0,2.0,0.0,0.0,0.0
848e657ffffffff,35.0,2.0,0.0,0.0,0.0
848e6c1ffffffff,7.0,0.0,0.0,0.0,0.0
848e6cbffffffff,3.0,0.0,0.0,0.0,0.0
848e6d9ffffffff,9.0,0.0,0.0,5.0,0.0
848e6ddffffffff,45.0,0.0,0.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0,0.0,0.0
848f42dffffffff,16.0,0.0,0.0,0.0,0.0
848f467ffffffff,1.0,0.0,0.0,0.0,0.0
848f4a5ffffffff,183.0,0.0,0.0,0.0,0.0
848f4a7ffffffff,6.0,0.0,0.0,0.0,0.0
848f551ffffffff,2.0,0.0,0.0,0.0,0.0
848f553ffffffff,31.0,0.0,0.0,0.0,0.0
848f559ffffffff,139.0,15.0,0.0,0.0,0.0
848f55bffffffff,21.0,0.0,0.0,0.0,0.0
848f599ffffffff,11.0,0.0,0.0,0.0,0.0
848f59bffffffff,12.0,0.0,0.0,0.0,0.0
848f5c1ffffffff,3.0,0.0,0.0,0.0,0.0
848f5c3ffffffff,4.0,0.0,0.0,0.0,0.0
848f5d3ffffffff,1.0,0.0,0.0,0.0,0.0
848f5d7ffffffff,3.0,0.0,0.0,0.0,0.0
848f5ddffffffff,11.0,0.0,0.0,0.0,0.0
848f733ffffffff,9.0,0.0,0.0,0.0,0.0
848f737ffffffff,2.0,0.0,0.0,0.0,0.0
84b3219ffffffff,9.0,0.0,0.0,0.0,0.0
84b3241ffffffff,1.0,0.0,0.0,0.0,0.0
84b3243ffffffff,4.0,0.0,0.0,0.0,0.0
84b3253ffffffff,97.0,0.0,0.0,0.0,13.0
84b3257ffffffff,4.0,0.0,0.0,0.0,0.0
