cell_id,Troglodytes pacificus,Troglodytes pacificus [alascensis Group],Troglodytes pacificus [pacificus Group]
840c415ffffffff,31.0,0.0,0.0
840c42dffffffff,5.0,0.0,5.0
840c461ffffffff,3.0,0.0,0.0
840c51dffffffff,30.0,0.0,0.0
840c555ffffffff,3.0,0.0,0.0
840c55bffffffff,1.0,0.0,0.0
840c5adffffffff,2.0,0.0,0.0
840c733ffffffff,15.0,0.0,0.0
840c737ffffffff,2.0,0.0,0.0
840c73bffffffff,6.0,0.0,0.0
840ccadffffffff,2.0,2.0,0.0
840cee5ffffffff,1.0,0.0,1.0
841285bffffffff,1.0,0.0,0.0
841286bffffffff,1.0,0.0,0.0
841286dffffffff,5.0,0.0,3.0
84128bdffffffff,2.0,0.0,2.0
8412909ffffffff,16.0,0.0,15.0
8412943ffffffff,2.0,0.0,2.0
8412947ffffffff,4.0,0.0,4.0
8412949ffffffff,2.0,0.0,2.0
841294bffffffff,4.0,0.0,4.0
84129b9ffffffff,2.0,0.0,0.0
84129d9ffffffff,2.0,0.0,2.0
8412b03ffffffff,2.0,0.0,0.0
8412b33ffffffff,3.0,0.0,3.0
8412b63ffffffff,2.0,0.0,2.0
8412b6bffffffff,5.0,0.0,5.0
8412c03ffffffff,4.0,0.0,0.0
8412c11ffffffff,5.0,0.0,0.0
8412c17ffffffff,3.0,0.0,2.0
8412c1dffffffff,2.0,0.0,0.0
8412c8bffffffff,6.0,0.0,0.0
8412cabffffffff,2.0,0.0,0.0
8412cbdffffffff,2.0,0.0,0.0
8412ccdffffffff,26.0,0.0,0.0
8412ce7ffffffff,2.0,0.0,0.0
8412d17ffffffff,2.0,0.0,0.0
8412d19ffffffff,3.0,0.0,0.0
8412d33ffffffff,1.0,0.0,1.0
8412d57ffffffff,1.0,0.0,1.0
8412d83ffffffff,2.0,0.0,2.0
8412d8bffffffff,2.0,0.0,2.0
8412da7ffffffff,2.0,0.0,0.0
8412de5ffffffff,7.0,0.0,3.0
8412dedffffffff,2.0,0.0,0.0
8412f13ffffffff,2.0,0.0,0.0
8412f37ffffffff,2.0,0.0,2.0
8412f6dffffffff,6.0,0.0,0.0
8413807ffffffff,2.0,0.0,0.0
841383dffffffff,2.0,0.0,0.0
8413867ffffffff,5.0,0.0,0.0
84138adffffffff,2.0,0.0,0.0
84138d5ffffffff,2.0,0.0,0.0
841390bffffffff,2.0,0.0,0.0
8413919ffffffff,1.0,0.0,0.0
84139cdffffffff,2.0,0.0,0.0
8413a61ffffffff,1.0,0.0,0.0
8413b21ffffffff,2.0,0.0,0.0
8416505ffffffff,1.0,1.0,0.0
8416507ffffffff,7.0,7.0,0.0
84165e1ffffffff,35.0,26.0,0.0
84225a5ffffffff,1.0,1.0,0.0
8422d09ffffffff,6.0,6.0,0.0
8422d0bffffffff,28.0,21.0,0.0
8422db7ffffffff,12.0,10.0,0.0
8422dbdffffffff,2.0,0.0,0.0
8426103ffffffff,2.0,0.0,0.0
8426127ffffffff,2.0,0.0,2.0
8426813ffffffff,2.0,0.0,0.0
8426819ffffffff,37.0,0.0,0.0
842681bffffffff,16.0,0.0,0.0
8426853ffffffff,2.0,0.0,0.0
8426881ffffffff,2.0,0.0,1.0
8426887ffffffff,1.0,0.0,0.0
8426889ffffffff,4.0,0.0,0.0
842688dffffffff,8.0,0.0,0.0
84268bbffffffff,2.0,0.0,0.0
84268c7ffffffff,12.0,0.0,0.0
84268cdffffffff,103.0,0.0,0.0
84268d5ffffffff,2.0,0.0,0.0
8426945ffffffff,2.0,0.0,0.0
8426961ffffffff,4.0,0.0,0.0
8426965ffffffff,1.0,0.0,0.0
842696bffffffff,92.0,0.0,0.0
842698bffffffff,2.0,0.0,0.0
8426995ffffffff,5.0,0.0,0.0
84269abffffffff,5.0,0.0,0.0
8426a59ffffffff,1.0,0.0,0.0
8426ab7ffffffff,3.0,0.0,0.0
8426abbffffffff,1.0,0.0,0.0
8426b0bffffffff,4.0,0.0,0.0
8426b61ffffffff,2.0,0.0,0.0
8426b63ffffffff,3.0,0.0,0.0
8426b69ffffffff,9.0,0.0,1.0
8426f0dffffffff,13.0,0.0,0.0
8426f27ffffffff,1.0,0.0,0.0
84278b3ffffffff,24.0,0.0,0.0
8427933ffffffff,2.0,0.0,0.0
8427b07ffffffff,2.0,0.0,0.0
8427b2bffffffff,5.0,0.0,0.0
8428021ffffffff,3.0,0.0,3.0
8428023ffffffff,99.0,0.0,86.0
8428029ffffffff,1.0,0.0,1.0
842802bffffffff,35.0,0.0,31.0
842802dffffffff,1.0,0.0,1.0
8428035ffffffff,7.0,0.0,7.0
8428069ffffffff,13.0,0.0,12.0
842806bffffffff,3.0,0.0,2.0
8428103ffffffff,2.0,0.0,0.0
8428109ffffffff,6.0,0.0,0.0
842810bffffffff,6.0,0.0,0.0
8428113ffffffff,1.0,0.0,1.0
8428119ffffffff,7.0,0.0,2.0
842811bffffffff,2.0,0.0,2.0
8428129ffffffff,1.0,0.0,1.0
8428143ffffffff,2.0,0.0,1.0
8428151ffffffff,8.0,0.0,0.0
8428153ffffffff,5.0,0.0,3.0
8428155ffffffff,2.0,0.0,0.0
8428157ffffffff,3.0,0.0,0.0
84281a7ffffffff,4.0,0.0,0.0
84281b3ffffffff,2.0,0.0,0.0
84281b7ffffffff,2.0,0.0,0.0
84281c7ffffffff,6.0,0.0,0.0
84281c9ffffffff,17.0,0.0,17.0
84281e5ffffffff,17.0,0.0,0.0
84281e7ffffffff,2.0,0.0,0.0
84281edffffffff,2.0,0.0,0.0
8428303ffffffff,27.0,0.0,2.0
8428305ffffffff,8.0,0.0,0.0
8428307ffffffff,16.0,0.0,0.0
8428309ffffffff,128.0,0.0,13.0
842830bffffffff,1.0,0.0,1.0
842830dffffffff,5.0,0.0,0.0
8428317ffffffff,4.0,0.0,4.0
842831dffffffff,4.0,0.0,2.0
8428321ffffffff,2.0,0.0,0.0
8428325ffffffff,4.0,0.0,3.0
8428327ffffffff,27.0,0.0,3.0
8428329ffffffff,10.0,0.0,1.0
842832bffffffff,49.0,0.0,0.0
842832dffffffff,1.0,0.0,0.0
8428335ffffffff,2.0,0.0,0.0
8428341ffffffff,898.0,0.0,896.0
8428343ffffffff,98.0,0.0,91.0
8428345ffffffff,5.0,0.0,5.0
842834dffffffff,46.0,0.0,44.0
8428355ffffffff,96.0,0.0,18.0
