cell_id,Ammospiza nelsoni,Ammospiza nelsoni nelsoni/altera,Ammospiza nelsoni subvirgata
820e4ffffffffff,62.0,0.0,0.0
820ec7fffffffff,94.0,0.0,0.0
820ecffffffffff,36.0,0.0,0.0
820ee7fffffffff,1.0,0.0,0.0
820eeffffffffff,444.0,3.0,0.0
82121ffffffffff,1.0,0.0,0.0
82125ffffffffff,3.0,0.0,0.0
8212c7fffffffff,17.0,4.0,0.0
8212cffffffffff,34.0,4.0,0.0
8212effffffffff,2.0,0.0,0.0
821aa7fffffffff,10.0,0.0,0.0
822607fffffffff,7.0,0.0,0.0
82260ffffffffff,7.0,0.0,0.0
82261ffffffffff,1.0,0.0,0.0
822627fffffffff,2.0,0.0,0.0
82262ffffffffff,11.0,2.0,0.0
822637fffffffff,2.0,0.0,0.0
822647fffffffff,23.0,0.0,0.0
82264ffffffffff,82.0,2.0,0.0
822657fffffffff,26.0,1.0,0.0
82265ffffffffff,35.0,0.0,0.0
822667fffffffff,158.0,4.0,0.0
82266ffffffffff,47.0,8.0,0.0
822677fffffffff,7.0,0.0,0.0
82268ffffffffff,107.0,2.0,0.0
822697fffffffff,10.0,6.0,0.0
8226cffffffffff,9.0,0.0,0.0
8226d7fffffffff,4.0,0.0,0.0
8226e7fffffffff,26.0,12.0,0.0
8226effffffffff,16.0,0.0,0.0
822707fffffffff,4.0,0.0,0.0
82270ffffffffff,8.0,0.0,0.0
822717fffffffff,8.0,0.0,0.0
82271ffffffffff,6.0,0.0,0.0
822747fffffffff,3.0,0.0,0.0
82274ffffffffff,107.0,0.0,0.0
822757fffffffff,17.0,2.0,0.0
82275ffffffffff,203.0,6.0,0.0
822767fffffffff,2.0,0.0,0.0
82276ffffffffff,13.0,0.0,0.0
822777fffffffff,2.0,2.0,0.0
822787fffffffff,18.0,7.0,0.0
82278ffffffffff,9.0,0.0,0.0
8227a7fffffffff,9.0,0.0,0.0
8227affffffffff,20.0,3.0,0.0
8227b7fffffffff,11.0,0.0,0.0
822807fffffffff,33.0,0.0,0.0
822837fffffffff,274.0,12.0,0.0
8228d7fffffffff,1.0,0.0,0.0
8228dffffffffff,1.0,0.0,0.0
822917fffffffff,19.0,0.0,0.0
82291ffffffffff,43.0,1.0,0.0
822987fffffffff,8.0,4.0,0.0
82298ffffffffff,6.0,0.0,0.0
8229a7fffffffff,368.0,0.0,0.0
8229affffffffff,49.0,4.0,0.0
822a07fffffffff,3.0,0.0,0.0
822a17fffffffff,659.0,49.0,76.0
822a37fffffffff,398.0,91.0,109.0
822a87fffffffff,40.0,9.0,0.0
822a8ffffffffff,13.0,4.0,0.0
822a97fffffffff,195.0,5.0,0.0
822aa7fffffffff,116.0,43.0,2.0
822aaffffffffff,638.0,149.0,51.0
822ab7fffffffff,364.0,13.0,0.0
822ad7fffffffff,9.0,0.0,2.0
822af7fffffffff,115.0,6.0,10.0
822b07fffffffff,14.0,0.0,4.0
822b0ffffffffff,60.0,2.0,7.0
822b17fffffffff,53.0,7.0,0.0
822b1ffffffffff,86.0,7.0,28.0
822b27fffffffff,2.0,0.0,0.0
822b2ffffffffff,1.0,0.0,0.0
822b87fffffffff,235.0,18.0,0.0
822b8ffffffffff,142.0,10.0,1.0
822b97fffffffff,9.0,0.0,0.0
822b9ffffffffff,286.0,23.0,0.0
822ba7fffffffff,5.0,0.0,0.0
822baffffffffff,75.0,5.0,0.0
824417fffffffff,28.0,0.0,0.0
82441ffffffffff,111.0,5.0,2.0
824447fffffffff,100.0,1.0,0.0
82444ffffffffff,31.0,0.0,0.0
824457fffffffff,40.0,2.0,0.0
82445ffffffffff,3.0,0.0,0.0
824467fffffffff,11.0,3.0,0.0
82446ffffffffff,43.0,5.0,0.0
824477fffffffff,15.0,0.0,0.0
8244affffffffff,10.0,0.0,4.0
8244c7fffffffff,7.0,2.0,0.0
8244cffffffffff,21.0,4.0,0.0
8244d7fffffffff,116.0,25.0,35.0
8244dffffffffff,20.0,7.0,0.0
8244e7fffffffff,27.0,3.0,0.0
8244f7fffffffff,67.0,3.0,7.0
824877fffffffff,2.0,0.0,0.0
82488ffffffffff,1.0,0.0,0.0
824897fffffffff,116.0,4.0,0.0
82489ffffffffff,8.0,0.0,0.0
8248b7fffffffff,3.0,0.0,0.0
8248dffffffffff,14.0,0.0,0.0
824997fffffffff,5.0,0.0,0.0
