cell_id,Mareca strepera,Mareca strepera strepera,Mareca strepera couesi
820747fffffffff,10.0,4.0,0.0
82075ffffffffff,10.0,0.0,0.0
82089ffffffffff,6.0,0.0,0.0
820987fffffffff,3.0,0.0,0.0
820c07fffffffff,1.0,0.0,0.0
820c17fffffffff,4.0,0.0,0.0
820c47fffffffff,22.0,0.0,0.0
820c57fffffffff,8.0,0.0,0.0
820c5ffffffffff,79.0,0.0,0.0
820c67fffffffff,2.0,2.0,0.0
820c6ffffffffff,2.0,0.0,0.0
820c77fffffffff,62.0,6.0,0.0
820ca7fffffffff,6.0,0.0,0.0
820ce7fffffffff,4.0,0.0,0.0
820ceffffffffff,9.0,0.0,0.0
820d07fffffffff,62.0,0.0,0.0
820d0ffffffffff,20.0,0.0,0.0
820d4ffffffffff,5.0,0.0,0.0
820d5ffffffffff,3.0,0.0,0.0
820d67fffffffff,1.0,0.0,0.0
820d77fffffffff,2.0,0.0,0.0
820e4ffffffffff,5.0,0.0,0.0
820e87fffffffff,7.0,0.0,0.0
820ec7fffffffff,9.0,0.0,0.0
820ecffffffffff,10.0,0.0,0.0
820eeffffffffff,44.0,0.0,0.0
821107fffffffff,2.0,0.0,0.0
821187fffffffff,4.0,0.0,0.0
8211affffffffff,1.0,0.0,0.0
821227fffffffff,2.0,0.0,0.0
821257fffffffff,6.0,6.0,0.0
82125ffffffffff,13.0,0.0,0.0
821287fffffffff,7.0,0.0,0.0
82128ffffffffff,7.0,0.0,0.0
8212affffffffff,7.0,0.0,0.0
8212b7fffffffff,4.0,0.0,0.0
8212c7fffffffff,9.0,0.0,0.0
8212cffffffffff,76.0,2.0,0.0
8212d7fffffffff,13.0,0.0,0.0
8212dffffffffff,2.0,0.0,0.0
8212e7fffffffff,2.0,0.0,0.0
8212effffffffff,13.0,0.0,0.0
8212f7fffffffff,2.0,0.0,0.0
821387fffffffff,129.0,0.0,0.0
821397fffffffff,10.0,0.0,0.0
8213b7fffffffff,17.0,0.0,0.0
821597fffffffff,22.0,0.0,0.0
8215b7fffffffff,4.0,0.0,0.0
821827fffffffff,2.0,0.0,0.0
82182ffffffffff,47.0,3.0,0.0
