cell_id,Hylexetastes uniformis,Hylexetastes uniformis uniformis,Hylexetastes uniformis brigidai
8480619ffffffff,2.0,0.0,2.0
848065dffffffff,4.0,0.0,4.0
8481485ffffffff,1.0,0.0,1.0
84814a1ffffffff,2.0,0.0,2.0
84814a9ffffffff,11.0,0.0,10.0
84814adffffffff,5.0,0.0,2.0
84814e3ffffffff,12.0,0.0,8.0
84814e7ffffffff,69.0,4.0,57.0
848a109ffffffff,15.0,0.0,0.0
848a155ffffffff,6.0,0.0,0.0
848a157ffffffff,2.0,0.0,0.0
848a809ffffffff,4.0,4.0,0.0
848a827ffffffff,6.0,6.0,0.0
848a837ffffffff,3.0,3.0,0.0
848a857ffffffff,1.0,0.0,0.0
848a913ffffffff,2.0,2.0,0.0
848a925ffffffff,4.0,0.0,4.0
848a9cdffffffff,11.0,11.0,0.0
848aa29ffffffff,1.0,0.0,0.0
848aaa3ffffffff,9.0,0.0,0.0
848aaadffffffff,7.0,0.0,0.0
848aaddffffffff,1.0,0.0,0.0
848b115ffffffff,1.0,0.0,0.0
848b13bffffffff,1.0,0.0,0.0
848b82bffffffff,1.0,1.0,0.0
848b849ffffffff,14.0,14.0,0.0
848b999ffffffff,4.0,1.0,0.0
848b99dffffffff,69.0,43.0,0.0
848b9b5ffffffff,1.0,1.0,0.0
848b9d1ffffffff,1.0,0.0,0.0
848b9d5ffffffff,39.0,20.0,0.0
84a8c97ffffffff,11.0,0.0,0.0
