cell_id,Ardea herodias,Ardea herodias [herodias Group],Ardea herodias occidentalis,Ardea herodias wardi x occidentalis
830c40fffffffff,3.0,0.0,0.0,0.0
830c41fffffffff,14.0,0.0,0.0,0.0
830c42fffffffff,65.0,0.0,0.0,0.0
830c44fffffffff,10.0,0.0,0.0,0.0
830c45fffffffff,88.0,0.0,0.0,0.0
830c46fffffffff,11.0,0.0,0.0,0.0
830c50fffffffff,12.0,0.0,0.0,0.0
830c51fffffffff,23.0,0.0,0.0,0.0
830c5afffffffff,126.0,0.0,0.0,0.0
830c68fffffffff,1.0,0.0,0.0,0.0
830c69fffffffff,5.0,0.0,0.0,0.0
830c6afffffffff,1.0,0.0,0.0,0.0
830e49fffffffff,745.0,0.0,0.0,0.0
830e4bfffffffff,40.0,0.0,0.0,0.0
830e4dfffffffff,1537.0,3.0,0.0,0.0
830e5bfffffffff,21.0,0.0,0.0,0.0
830e69fffffffff,3.0,0.0,0.0,0.0
830e9afffffffff,3.0,0.0,0.0,0.0
830ec0fffffffff,1.0,0.0,0.0,0.0
830ec1fffffffff,21.0,0.0,0.0,0.0
830ec8fffffffff,5.0,0.0,0.0,0.0
830ec9fffffffff,50.0,0.0,0.0,0.0
830ecafffffffff,11.0,0.0,0.0,0.0
830ecbfffffffff,25.0,2.0,0.0,0.0
830eccfffffffff,314.0,11.0,0.0,0.0
830ed8fffffffff,2.0,0.0,0.0,0.0
830edbfffffffff,2.0,0.0,0.0,0.0
830ee8fffffffff,9.0,0.0,0.0,0.0
830eeafffffffff,951.0,12.0,0.0,0.0
830eebfffffffff,151.0,0.0,0.0,0.0
830eedfffffffff,1.0,0.0,0.0,0.0
830ef3fffffffff,1.0,0.0,0.0,0.0
83120afffffffff,6.0,0.0,0.0,0.0
83120bfffffffff,2.0,0.0,0.0,0.0
831218fffffffff,2.0,0.0,0.0,0.0
831219fffffffff,2.0,0.0,0.0,0.0
83121bfffffffff,49.0,0.0,0.0,0.0
83121efffffffff,2.0,0.0,0.0,0.0
831229fffffffff,1.0,0.0,0.0,0.0
831240fffffffff,4.0,0.0,0.0,0.0
831241fffffffff,5.0,0.0,0.0,0.0
831243fffffffff,37.0,0.0,0.0,0.0
831244fffffffff,2.0,0.0,0.0,0.0
831246fffffffff,2.0,0.0,0.0,0.0
83124bfffffffff,57.0,0.0,0.0,0.0
83124dfffffffff,12.0,0.0,0.0,0.0
831250fffffffff,97.0,2.0,0.0,0.0
831251fffffffff,230.0,21.0,0.0,0.0
831252fffffffff,51.0,0.0,0.0,0.0
831253fffffffff,67.0,8.0,0.0,0.0
831254fffffffff,46.0,3.0,0.0,0.0
831255fffffffff,16.0,0.0,0.0,0.0
831256fffffffff,2.0,0.0,0.0,0.0
831258fffffffff,29.0,0.0,0.0,0.0
831259fffffffff,243.0,7.0,0.0,0.0
83125afffffffff,16.0,0.0,0.0,0.0
83125bfffffffff,7.0,0.0,0.0,0.0
83125cfffffffff,6.0,0.0,0.0,0.0
83125dfffffffff,75.0,8.0,0.0,0.0
83125efffffffff,8.0,0.0,0.0,0.0
83126afffffffff,2.0,0.0,0.0,0.0
83126bfffffffff,2.0,0.0,0.0,0.0
831272fffffffff,90.0,2.0,0.0,0.0
831280fffffffff,164.0,2.0,0.0,0.0
831282fffffffff,7.0,0.0,0.0,0.0
831283fffffffff,2.0,0.0,0.0,0.0
831284fffffffff,31.0,0.0,0.0,0.0
831286fffffffff,123.0,1.0,0.0,0.0
831288fffffffff,9.0,0.0,0.0,0.0
831289fffffffff,103.0,0.0,0.0,0.0
83128afffffffff,3.0,0.0,0.0,0.0
83128bfffffffff,454.0,0.0,0.0,0.0
83128dfffffffff,46.0,0.0,0.0,0.0
831290fffffffff,84.0,0.0,0.0,0.0
831293fffffffff,5.0,0.0,0.0,0.0
831294fffffffff,84.0,2.0,0.0,0.0
831296fffffffff,2.0,0.0,0.0,0.0
831298fffffffff,17.0,0.0,0.0,0.0
831299fffffffff,15.0,0.0,0.0,0.0
83129afffffffff,11.0,2.0,0.0,0.0
83129bfffffffff,344.0,34.0,0.0,0.0
83129cfffffffff,27.0,0.0,0.0,0.0
83129dfffffffff,9.0,0.0,0.0,0.0
8312a2fffffffff,55.0,0.0,0.0,0.0
8312a9fffffffff,4.0,0.0,0.0,0.0
8312aafffffffff,2.0,0.0,0.0,0.0
8312abfffffffff,39.0,0.0,0.0,0.0
8312adfffffffff,54.0,11.0,0.0,0.0
8312b0fffffffff,471.0,0.0,0.0,0.0
8312b1fffffffff,11.0,0.0,0.0,0.0
8312b2fffffffff,3.0,0.0,0.0,0.0
8312b3fffffffff,8.0,0.0,0.0,0.0
8312b4fffffffff,153.0,0.0,0.0,0.0
8312b5fffffffff,12.0,0.0,0.0,0.0
8312b6fffffffff,33.0,0.0,0.0,0.0
8312c0fffffffff,269.0,0.0,0.0,0.0
8312c1fffffffff,907.0,84.0,0.0,0.0
8312c2fffffffff,223.0,2.0,0.0,0.0
8312c3fffffffff,725.0,0.0,0.0,0.0
8312c4fffffffff,4.0,0.0,0.0,0.0
8312c5fffffffff,10.0,0.0,0.0,0.0
8312c8fffffffff,373.0,9.0,0.0,0.0
8312c9fffffffff,105.0,2.0,0.0,0.0
8312cafffffffff,144.0,1.0,0.0,0.0
8312cbfffffffff,194.0,6.0,0.0,0.0
8312ccfffffffff,6810.0,216.0,0.0,0.0
8312cdfffffffff,269.0,4.0,0.0,0.0
8312cefffffffff,60.0,2.0,0.0,0.0
8312d0fffffffff,225.0,15.0,0.0,0.0
8312d1fffffffff,2396.0,156.0,0.0,0.0
8312d2fffffffff,8.0,2.0,0.0,0.0
8312d3fffffffff,287.0,0.0,0.0,0.0
8312d4fffffffff,47.0,0.0,0.0,0.0
8312d5fffffffff,56.0,0.0,0.0,0.0
8312d6fffffffff,131.0,0.0,0.0,0.0
8312d8fffffffff,437.0,2.0,0.0,0.0
8312d9fffffffff,719.0,90.0,0.0,0.0
8312dafffffffff,175.0,8.0,0.0,0.0
8312dbfffffffff,1538.0,56.0,0.0,0.0
8312dcfffffffff,734.0,6.0,0.0,0.0
8312ddfffffffff,1808.0,29.0,0.0,0.0
8312defffffffff,1656.0,28.0,0.0,0.0
8312e0fffffffff,3.0,0.0,0.0,0.0
8312e1fffffffff,403.0,6.0,0.0,0.0
8312e2fffffffff,13.0,0.0,0.0,0.0
8312e3fffffffff,14.0,0.0,0.0,0.0
8312e4fffffffff,10.0,0.0,0.0,0.0
8312e5fffffffff,9.0,0.0,0.0,0.0
8312e8fffffffff,178.0,3.0,0.0,0.0
8312e9fffffffff,11.0,0.0,0.0,0.0
8312eafffffffff,686.0,14.0,0.0,0.0
8312ebfffffffff,111.0,3.0,0.0,0.0
8312ecfffffffff,781.0,26.0,0.0,0.0
8312edfffffffff,53.0,0.0,0.0,0.0
8312eefffffffff,40.0,0.0,0.0,0.0
8312f0fffffffff,6.0,0.0,0.0,0.0
8312f1fffffffff,24.0,4.0,0.0,0.0
8312f2fffffffff,28.0,0.0,0.0,0.0
8312f3fffffffff,6.0,0.0,0.0,0.0
8312f6fffffffff,246.0,0.0,0.0,0.0
831390fffffffff,1.0,0.0,0.0,0.0
831391fffffffff,95.0,0.0,0.0,0.0
831393fffffffff,217.0,0.0,0.0,0.0
831396fffffffff,2.0,0.0,0.0,0.0
831398fffffffff,2.0,0.0,0.0,0.0
83139afffffffff,9.0,0.0,0.0,0.0
83139efffffffff,537.0,0.0,0.0,0.0
831ab0fffffffff,2.0,0.0,0.0,0.0
831ab4fffffffff,5.0,0.0,0.0,0.0
831b92fffffffff,30.0,0.0,0.0,0.0
831b9afffffffff,42.0,0.0,0.0,0.0
831d24fffffffff,157.0,0.0,0.0,0.0
831d25fffffffff,5.0,0.0,0.0,0.0
831d26fffffffff,4.0,0.0,0.0,0.0
832600fffffffff,340.0,15.0,0.0,0.0
832601fffffffff,433.0,178.0,0.0,0.0
832602fffffffff,84.0,0.0,0.0,0.0
832603fffffffff,224.0,27.0,0.0,0.0
832604fffffffff,301.0,23.0,0.0,0.0
832605fffffffff,615.0,14.0,0.0,0.0
832606fffffffff,187.0,14.0,0.0,0.0
832608fffffffff,456.0,19.0,0.0,0.0
832609fffffffff,328.0,13.0,0.0,0.0
83260afffffffff,1443.0,27.0,0.0,0.0
83260bfffffffff,2021.0,104.0,0.0,0.0
83260cfffffffff,120.0,3.0,0.0,0.0
83260dfffffffff,1011.0,39.0,0.0,0.0
83260efffffffff,874.0,98.0,0.0,0.0
832610fffffffff,117.0,4.0,0.0,0.0
832611fffffffff,261.0,21.0,0.0,0.0
832612fffffffff,150.0,7.0,0.0,0.0
832613fffffffff,77.0,6.0,0.0,0.0
832614fffffffff,27.0,0.0,0.0,0.0
832615fffffffff,86.0,5.0,0.0,0.0
832616fffffffff,286.0,16.0,0.0,0.0
832618fffffffff,334.0,36.0,0.0,0.0
832619fffffffff,139.0,23.0,0.0,0.0
83261afffffffff,145.0,5.0,0.0,0.0
83261bfffffffff,264.0,18.0,0.0,0.0
83261cfffffffff,118.0,9.0,0.0,0.0
83261dfffffffff,186.0,17.0,0.0,0.0
83261efffffffff,72.0,8.0,0.0,0.0
832620fffffffff,1099.0,28.0,0.0,0.0
832621fffffffff,2595.0,36.0,0.0,0.0
832622fffffffff,498.0,19.0,0.0,0.0
832623fffffffff,579.0,17.0,0.0,0.0
832624fffffffff,849.0,9.0,0.0,0.0
832625fffffffff,700.0,13.0,0.0,0.0
832626fffffffff,774.0,74.0,0.0,0.0
832628fffffffff,496.0,12.0,0.0,0.0
832629fffffffff,394.0,5.0,0.0,0.0
83262afffffffff,161.0,12.0,0.0,0.0
83262bfffffffff,540.0,14.0,0.0,0.0
83262cfffffffff,9145.0,206.0,0.0,0.0
83262dfffffffff,942.0,35.0,0.0,0.0
83262efffffffff,533.0,6.0,0.0,0.0
832630fffffffff,92.0,4.0,0.0,0.0
832631fffffffff,92.0,7.0,0.0,0.0
832632fffffffff,15.0,0.0,0.0,0.0
832633fffffffff,183.0,4.0,0.0,0.0
832634fffffffff,319.0,49.0,0.0,0.0
832635fffffffff,215.0,6.0,0.0,0.0
832636fffffffff,474.0,86.0,0.0,0.0
832640fffffffff,3505.0,345.0,0.0,0.0
832641fffffffff,3788.0,574.0,0.0,0.0
832642fffffffff,815.0,35.0,0.0,0.0
832643fffffffff,3310.0,273.0,0.0,0.0
832644fffffffff,695.0,97.0,0.0,0.0
832645fffffffff,559.0,190.0,0.0,0.0
832646fffffffff,11962.0,303.0,0.0,0.0
832648fffffffff,2874.0,2.0,0.0,0.0
832649fffffffff,5791.0,119.0,0.0,0.0
83264afffffffff,1646.0,3.0,0.0,0.0
83264bfffffffff,1798.0,73.0,0.0,0.0
83264cfffffffff,5908.0,1042.0,0.0,0.0
83264dfffffffff,8070.0,14.0,0.0,0.0
83264efffffffff,2909.0,334.0,0.0,0.0
832650fffffffff,1628.0,111.0,0.0,0.0
832651fffffffff,1096.0,57.0,0.0,0.0
832652fffffffff,4017.0,787.0,0.0,0.0
832653fffffffff,4812.0,107.0,0.0,0.0
832654fffffffff,2064.0,191.0,0.0,0.0
832655fffffffff,8012.0,109.0,0.0,0.0
832656fffffffff,7063.0,1019.0,0.0,0.0
832658fffffffff,443.0,21.0,0.0,0.0
832659fffffffff,4971.0,72.0,0.0,0.0
83265afffffffff,1823.0,182.0,0.0,0.0
