cell_id,Orthorhyncus cristatus,Orthorhyncus cristatus exilis,Orthorhyncus cristatus ornatus,Orthorhyncus cristatus cristatus,Orthorhyncus cristatus emigrans
834cc5fffffffff,1.0,0.0,0.0,0.0,0.0
834ce8fffffffff,343.0,0.0,0.0,0.0,0.0
834ce9fffffffff,23.0,0.0,0.0,0.0,0.0
834ceafffffffff,703.0,0.0,0.0,0.0,0.0
834cebfffffffff,77.0,4.0,0.0,0.0,0.0
834cedfffffffff,24.0,0.0,0.0,0.0,0.0
834ceefffffffff,231.0,0.0,0.0,0.0,0.0
834d49fffffffff,96.0,0.0,0.0,0.0,0.0
834d4bfffffffff,101.0,0.0,0.0,0.0,0.0
835e40fffffffff,4.0,0.0,0.0,0.0,0.0
835e42fffffffff,64.0,0.0,0.0,0.0,0.0
835e43fffffffff,762.0,0.0,0.0,0.0,0.0
835e46fffffffff,589.0,112.0,0.0,0.0,0.0
835e4afffffffff,223.0,1.0,0.0,0.0,0.0
835e4bfffffffff,105.0,0.0,0.0,0.0,0.0
835e59fffffffff,61.0,20.0,0.0,0.0,0.0
835e5cfffffffff,290.0,0.0,0.0,0.0,0.0
835e5dfffffffff,630.0,29.0,0.0,0.0,0.0
835e62fffffffff,85.0,0.0,0.0,0.0,2.0
835e66fffffffff,1470.0,0.0,0.0,0.0,67.0
835e70fffffffff,127.0,0.0,0.0,0.0,0.0
835e71fffffffff,654.0,44.0,137.0,0.0,4.0
835e72fffffffff,245.0,0.0,0.0,0.0,0.0
835e75fffffffff,79.0,0.0,0.0,0.0,9.0
