cell_id,Chrysuronia versicolor,Chrysuronia versicolor [versicolor Group],Chrysuronia versicolor rondoniae
845f2bbffffffff,2.0,0.0,0.0
8480109ffffffff,2.0,2.0,0.0
84815dbffffffff,4.0,4.0,0.0
848a055ffffffff,2.0,0.0,0.0
848a213ffffffff,3.0,0.0,3.0
848a235ffffffff,2.0,0.0,2.0
84a8105ffffffff,1.0,0.0,0.0
84a812dffffffff,7.0,0.0,0.0
84a8359ffffffff,2.0,0.0,0.0
84a8917ffffffff,5.0,5.0,0.0
84a891dffffffff,2.0,2.0,0.0
84a8a97ffffffff,1.0,1.0,0.0
84a9461ffffffff,2.0,0.0,0.0
84a95edffffffff,117.0,0.0,0.0
