cell_id,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae [sanctithomae Group],Dendrocolaptes sanctithomae punctipectus
84450a3ffffffff,2.0,0.0,0.0
84450e3ffffffff,3.0,0.0,0.0
84450ebffffffff,9.0,2.0,0.0
844523bffffffff,1.0,0.0,0.0
8445247ffffffff,16.0,0.0,0.0
8445257ffffffff,7.0,0.0,0.0
844525dffffffff,1.0,0.0,0.0
8445261ffffffff,2.0,0.0,0.0
8445281ffffffff,1.0,0.0,0.0
8445287ffffffff,3.0,0.0,0.0
84452a1ffffffff,1.0,0.0,0.0
84452a5ffffffff,5.0,0.0,0.0
84452adffffffff,3.0,0.0,0.0
84452b9ffffffff,3.0,0.0,0.0
84452e1ffffffff,3.0,0.0,0.0
84452e7ffffffff,4.0,0.0,0.0
8449b57ffffffff,1.0,0.0,0.0
8449b67ffffffff,1.0,0.0,0.0
84660e7ffffffff,2.0,0.0,0.0
84661bbffffffff,2.0,0.0,0.0
8466a51ffffffff,7.0,0.0,0.0
8466a57ffffffff,1.0,0.0,0.0
8466b0bffffffff,4.0,0.0,0.0
8466d31ffffffff,19.0,0.0,0.0
8466d35ffffffff,6.0,0.0,0.0
84679a1ffffffff,1.0,0.0,0.0
84679a5ffffffff,7.0,0.0,0.0
84679b7ffffffff,1.0,0.0,0.0
846d05bffffffff,2.0,0.0,0.0
846d223ffffffff,2.0,0.0,0.0
846d23dffffffff,2.0,0.0,0.0
846d2c9ffffffff,2.0,0.0,0.0
846d66dffffffff,14.0,0.0,0.0
846d68bffffffff,2.0,2.0,0.0
846d697ffffffff,1.0,0.0,0.0
846d69dffffffff,7.0,4.0,0.0
846d6e9ffffffff,2.0,0.0,0.0
