cell_id,Caprimulgus poliocephalus,Caprimulgus poliocephalus poliocephalus,Caprimulgus poliocephalus [ruwenzorii Group]
8452065ffffffff,5.0,5.0,0.0
8452153ffffffff,7.0,6.0,0.0
8452303ffffffff,1.0,0.0,0.0
8452831ffffffff,9.0,9.0,0.0
845291bffffffff,1.0,1.0,0.0
8452987ffffffff,1.0,1.0,0.0
84529b5ffffffff,16.0,16.0,0.0
84529b9ffffffff,11.0,11.0,0.0
846a5a9ffffffff,1.0,1.0,0.0
846ace5ffffffff,1.0,0.0,1.0
846adc1ffffffff,130.0,0.0,126.0
846ade7ffffffff,33.0,0.0,31.0
846adebffffffff,1.0,0.0,1.0
846aee3ffffffff,3.0,3.0,0.0
847a401ffffffff,2.0,2.0,0.0
847a40bffffffff,6.0,5.0,0.0
847a415ffffffff,1.0,1.0,0.0
847a451ffffffff,2.0,2.0,0.0
847a453ffffffff,12.0,12.0,0.0
847a455ffffffff,49.0,46.0,0.0
847a457ffffffff,33.0,30.0,0.0
847a459ffffffff,3.0,3.0,0.0
847a45bffffffff,1.0,1.0,0.0
847a489ffffffff,3.0,3.0,0.0
847a48bffffffff,3.0,3.0,0.0
847a4c1ffffffff,2.0,0.0,0.0
847a4c5ffffffff,2.0,2.0,0.0
847a4c9ffffffff,1.0,1.0,0.0
847a4cbffffffff,1.0,1.0,0.0
847a4ddffffffff,1.0,0.0,0.0
847a619ffffffff,3.0,3.0,0.0
847a681ffffffff,7.0,7.0,0.0
847a683ffffffff,36.0,36.0,0.0
847a685ffffffff,3.0,3.0,0.0
847a68bffffffff,5.0,4.0,0.0
847a6a1ffffffff,15.0,13.0,0.0
847a6a5ffffffff,4.0,4.0,0.0
847a6a9ffffffff,5.0,4.0,0.0
847a6adffffffff,27.0,23.0,0.0
847a6c9ffffffff,1.0,1.0,0.0
847a6d1ffffffff,2.0,2.0,0.0
847a6e5ffffffff,140.0,125.0,0.0
847a6e7ffffffff,1.0,1.0,0.0
847a6edffffffff,1.0,1.0,0.0
847aca3ffffffff,6.0,4.0,0.0
847acb5ffffffff,4.0,4.0,0.0
847acc5ffffffff,10.0,8.0,0.0
847accdffffffff,7.0,7.0,0.0
847acd5ffffffff,6.0,6.0,0.0
847ace9ffffffff,2.0,2.0,0.0
847ad93ffffffff,2.0,2.0,0.0
847ae85ffffffff,2.0,2.0,0.0
847b487ffffffff,2.0,0.0,2.0
847b4b1ffffffff,2.0,0.0,2.0
847b4b9ffffffff,3.0,0.0,3.0
848333dffffffff,2.0,0.0,2.0
8496921ffffffff,32.0,32.0,0.0
8496925ffffffff,7.0,7.0,0.0
8496931ffffffff,1.0,0.0,0.0
8496935ffffffff,57.0,36.0,20.0
849693dffffffff,2.0,2.0,0.0
8496a59ffffffff,1.0,0.0,1.0
8496a5dffffffff,28.0,0.0,28.0
8496b09ffffffff,23.0,0.0,19.0
8496b19ffffffff,4.0,4.0,0.0
8497895ffffffff,4.0,0.0,4.0
84978b7ffffffff,2.0,0.0,2.0
