cell_id,Pseudastur albicollis,Pseudastur albicollis ghiesbreghti,Pseudastur albicollis costaricensis,Pseudastur albicollis williaminae,Pseudastur albicollis albicollis
8445217ffffffff,1.0,0.0,0.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0,0.0,0.0
8445257ffffffff,15.0,3.0,0.0,0.0,0.0
8445289ffffffff,6.0,2.0,0.0,0.0,0.0
84452a9ffffffff,2.0,2.0,0.0,0.0,0.0
84452c3ffffffff,2.0,0.0,0.0,0.0,0.0
84452d9ffffffff,4.0,0.0,0.0,0.0,0.0
84452e1ffffffff,8.0,2.0,0.0,0.0,0.0
84452e3ffffffff,2.0,0.0,0.0,0.0,0.0
84452e5ffffffff,7.0,7.0,0.0,0.0,0.0
84452e7ffffffff,2.0,0.0,0.0,0.0,0.0
845f035ffffffff,1.0,0.0,0.0,0.0,1.0
845f583ffffffff,14.0,0.0,0.0,0.0,8.0
846610bffffffff,2.0,0.0,0.0,0.0,0.0
8466113ffffffff,23.0,0.0,0.0,0.0,0.0
8466193ffffffff,2.0,0.0,0.0,0.0,0.0
84661b1ffffffff,4.0,0.0,0.0,0.0,0.0
84661b3ffffffff,2.0,0.0,0.0,0.0,0.0
84661c9ffffffff,17.0,0.0,0.0,0.0,0.0
84661cdffffffff,41.0,0.0,0.0,0.0,0.0
8466219ffffffff,4.0,0.0,0.0,0.0,0.0
846629bffffffff,2.0,0.0,0.0,0.0,0.0
8466b0bffffffff,6.0,0.0,2.0,0.0,0.0
8466b1dffffffff,1.0,0.0,0.0,0.0,0.0
8466b49ffffffff,3.0,0.0,0.0,0.0,0.0
8466b55ffffffff,1.0,0.0,1.0,0.0,0.0
8466c21ffffffff,2.0,0.0,0.0,0.0,0.0
8466debffffffff,2.0,0.0,0.0,0.0,2.0
84675cbffffffff,2.0,0.0,0.0,0.0,0.0
84679a1ffffffff,2.0,0.0,0.0,0.0,0.0
84679a5ffffffff,5.0,0.0,5.0,0.0,0.0
846d20bffffffff,6.0,0.0,0.0,0.0,0.0
846d22bffffffff,2.0,2.0,0.0,0.0,0.0
846d2b9ffffffff,2.0,0.0,0.0,0.0,0.0
846d2c3ffffffff,1.0,0.0,0.0,0.0,0.0
846d2c9ffffffff,7.0,0.0,0.0,0.0,0.0
846d30dffffffff,4.0,0.0,0.0,0.0,0.0
846d315ffffffff,8.0,0.0,0.0,0.0,0.0
846d31bffffffff,3.0,0.0,0.0,0.0,0.0
846d68bffffffff,1.0,0.0,1.0,0.0,0.0
846d691ffffffff,7.0,0.0,5.0,0.0,0.0
846d693ffffffff,4.0,0.0,0.0,0.0,0.0
846d695ffffffff,4.0,0.0,4.0,0.0,0.0
846d69bffffffff,15.0,0.0,13.0,0.0,0.0
846d69dffffffff,41.0,0.0,35.0,0.0,0.0
846d6b9ffffffff,2.0,0.0,0.0,0.0,0.0
846d6d1ffffffff,1.0,0.0,0.0,0.0,0.0
8481711ffffffff,2.0,0.0,0.0,0.0,0.0
848af45ffffffff,3.0,0.0,0.0,0.0,3.0
848b63bffffffff,1.0,0.0,0.0,0.0,0.0
848b697ffffffff,1.0,0.0,0.0,0.0,0.0
848b709ffffffff,1.0,0.0,0.0,0.0,1.0
