cell_id,Anarhynchus alexandrinus,Anarhynchus alexandrinus alexandrinus/nihonensis,Anarhynchus alexandrinus seebohmi
841ede1ffffffff,16.0,0.0,0.0
841ede5ffffffff,6.0,0.0,0.0
841ede7ffffffff,18.0,5.0,0.0
841ee91ffffffff,1.0,1.0,0.0
841ee97ffffffff,22.0,6.0,0.0
841eeb7ffffffff,157.0,33.0,0.0
841eeb9ffffffff,4.0,2.0,0.0
841eed5ffffffff,2.0,0.0,0.0
841ef23ffffffff,11.0,0.0,0.0
841ef27ffffffff,11.0,3.0,0.0
841f00dffffffff,2.0,0.0,0.0
841f059ffffffff,2.0,0.0,0.0
841f061ffffffff,2.0,0.0,0.0
841f243ffffffff,1.0,0.0,0.0
841f303ffffffff,2.0,0.0,0.0
841f315ffffffff,7.0,0.0,0.0
841f31dffffffff,11.0,3.0,0.0
841f325ffffffff,2.0,0.0,0.0
841f333ffffffff,1.0,0.0,0.0
841f33bffffffff,54.0,3.0,0.0
841f355ffffffff,3.0,0.0,0.0
841f357ffffffff,5.0,0.0,0.0
841fa4dffffffff,1.0,0.0,0.0
8420161ffffffff,6.0,0.0,0.0
842016bffffffff,8.0,2.0,0.0
8420187ffffffff,2.0,0.0,0.0
8420331ffffffff,2.0,0.0,0.0
84204a1ffffffff,7.0,1.0,0.0
84204a5ffffffff,3.0,0.0,0.0
8420593ffffffff,5.0,0.0,0.0
842059dffffffff,5.0,0.0,0.0
84205e9ffffffff,1.0,0.0,0.0
84209a5ffffffff,3.0,0.0,0.0
8420a43ffffffff,9.0,0.0,0.0
8420e21ffffffff,3.0,0.0,0.0
8420e31ffffffff,3.0,3.0,0.0
8420e9bffffffff,1.0,0.0,0.0
8420f59ffffffff,3.0,0.0,0.0
8421527ffffffff,1.0,0.0,0.0
8421529ffffffff,9.0,2.0,0.0
8421567ffffffff,3.0,3.0,0.0
8421981ffffffff,14.0,4.0,0.0
8421983ffffffff,12.0,2.0,0.0
84219c1ffffffff,6.0,0.0,0.0
84219dbffffffff,1.0,0.0,0.0
8421a0bffffffff,2.0,0.0,0.0
8421b59ffffffff,2.0,0.0,0.0
8424001ffffffff,2.0,0.0,0.0
8424003ffffffff,1.0,0.0,0.0
842400bffffffff,1.0,0.0,0.0
842400dffffffff,11.0,0.0,0.0
8424047ffffffff,29.0,0.0,0.0
8424051ffffffff,7.0,0.0,0.0
