cell_id,Dendrocygna autumnalis,Dendrocygna autumnalis fulgens,Dendrocygna autumnalis autumnalis
822647fffffffff,81.0,13.0,0.0
82264ffffffffff,21.0,0.0,0.0
82265ffffffffff,1481.0,22.0,0.0
82266ffffffffff,12.0,0.0,0.0
8226cffffffffff,1619.0,13.0,0.0
8226dffffffffff,202.0,60.0,0.0
8226e7fffffffff,54.0,1.0,0.0
8226effffffffff,174.0,6.0,0.0
8226f7fffffffff,6.0,0.0,0.0
822ad7fffffffff,9.0,0.0,0.0
824417fffffffff,2549.0,22.0,0.0
82441ffffffffff,10173.0,238.0,0.0
824447fffffffff,7378.0,0.0,0.0
82444ffffffffff,748.0,4.0,0.0
824457fffffffff,4364.0,70.0,0.0
82445ffffffffff,329.0,22.0,0.0
824467fffffffff,423.0,0.0,0.0
82446ffffffffff,27878.0,829.0,0.0
824477fffffffff,796.0,0.0,0.0
8244a7fffffffff,247.0,4.0,0.0
8244affffffffff,20217.0,790.0,0.0
8244b7fffffffff,76.0,0.0,0.0
8244c7fffffffff,298.0,27.0,0.0
8244d7fffffffff,2548.0,35.0,0.0
8244e7fffffffff,745.0,37.0,0.0
8244effffffffff,8.0,0.0,0.0
8244f7fffffffff,9646.0,697.0,0.0
824507fffffffff,288.0,4.0,0.0
82450ffffffffff,1768.0,269.0,0.0
82451ffffffffff,37.0,0.0,0.0
824527fffffffff,3652.0,20.0,0.0
82452ffffffffff,6925.0,217.0,0.0
824537fffffffff,499.0,0.0,0.0
82456ffffffffff,2.0,0.0,0.0
824577fffffffff,164.0,22.0,0.0
824807fffffffff,448.0,0.0,0.0
82480ffffffffff,275.0,0.0,0.0
824817fffffffff,89.0,0.0,0.0
82481ffffffffff,44.0,0.0,0.0
824827fffffffff,2.0,0.0,0.0
82482ffffffffff,77.0,0.0,0.0
824837fffffffff,3598.0,96.0,0.0
824857fffffffff,198.0,0.0,0.0
824887fffffffff,2353.0,35.0,0.0
82488ffffffffff,440.0,9.0,0.0
824897fffffffff,15981.0,200.0,0.0
82489ffffffffff,11560.0,161.0,0.0
8248a7fffffffff,644.0,13.0,0.0
8248affffffffff,2.0,0.0,0.0
8248b7fffffffff,34701.0,1037.0,0.0
