cell_id,Eurylaimus javanicus,Eurylaimus javanicus [harterti Group],Eurylaimus javanicus javanicus
84414dbffffffff,2.0,0.0,0.0
846414dffffffff,2.0,0.0,0.0
846416dffffffff,469.0,128.0,0.0
846430bffffffff,3.0,0.0,0.0
8464319ffffffff,1.0,0.0,0.0
8464323ffffffff,10.0,7.0,0.0
8464331ffffffff,1.0,0.0,0.0
846433dffffffff,2.0,0.0,0.0
8464343ffffffff,103.0,55.0,0.0
8464359ffffffff,3.0,0.0,0.0
8464959ffffffff,3.0,0.0,0.0
8464a03ffffffff,6.0,0.0,0.0
8464a11ffffffff,1.0,1.0,0.0
8464a35ffffffff,1.0,0.0,0.0
8464a39ffffffff,3.0,0.0,0.0
8464b55ffffffff,7.0,0.0,0.0
8464b5dffffffff,4.0,2.0,0.0
8465005ffffffff,106.0,0.0,0.0
8465009ffffffff,27.0,1.0,0.0
846500bffffffff,21.0,0.0,0.0
8465019ffffffff,2.0,0.0,0.0
8465021ffffffff,3.0,0.0,0.0
8465027ffffffff,3.0,0.0,0.0
8465029ffffffff,13.0,2.0,0.0
846502bffffffff,25.0,1.0,0.0
846502dffffffff,2.0,0.0,0.0
8465031ffffffff,3.0,0.0,0.0
8465033ffffffff,16.0,0.0,0.0
8465035ffffffff,1.0,0.0,0.0
8465037ffffffff,3.0,0.0,0.0
846503bffffffff,8.0,0.0,0.0
8465043ffffffff,2.0,0.0,0.0
846504bffffffff,3.0,0.0,0.0
8465051ffffffff,36.0,0.0,0.0
8465055ffffffff,67.0,0.0,0.0
8465057ffffffff,23.0,0.0,0.0
8465059ffffffff,4.0,0.0,0.0
846505dffffffff,56.0,0.0,0.0
8465063ffffffff,11.0,0.0,0.0
8465183ffffffff,30.0,5.0,0.0
8465189ffffffff,50.0,14.0,0.0
846518bffffffff,7.0,0.0,0.0
84651b3ffffffff,2.0,0.0,0.0
84651c1ffffffff,44.0,18.0,0.0
84651c3ffffffff,3.0,0.0,0.0
84651c9ffffffff,15.0,2.0,0.0
84651cbffffffff,12.0,5.0,0.0
84651cdffffffff,123.0,26.0,0.0
84651d7ffffffff,1.0,0.0,0.0
84651d9ffffffff,1.0,0.0,0.0
84651ddffffffff,1.0,0.0,0.0
8465221ffffffff,19.0,0.0,0.0
8465223ffffffff,10.0,0.0,0.0
8465225ffffffff,36.0,0.0,0.0
8465227ffffffff,4.0,0.0,0.0
8465229ffffffff,317.0,2.0,0.0
8465237ffffffff,3.0,0.0,0.0
8465263ffffffff,1.0,0.0,0.0
8465267ffffffff,1.0,0.0,0.0
84652d9ffffffff,10.0,0.0,0.0
8465803ffffffff,4.0,0.0,0.0
8465811ffffffff,1.0,0.0,0.0
8465815ffffffff,2.0,0.0,0.0
8465817ffffffff,10.0,0.0,0.0
8465819ffffffff,8.0,0.0,0.0
8465825ffffffff,2.0,0.0,0.0
8465851ffffffff,2.0,0.0,0.0
8465857ffffffff,3.0,0.0,0.0
846589bffffffff,5.0,0.0,0.0
84658a3ffffffff,10.0,0.0,0.0
84658a9ffffffff,4.0,0.0,0.0
84658e7ffffffff,9.0,8.0,0.0
8465911ffffffff,13.0,0.0,0.0
8465915ffffffff,13.0,0.0,0.0
8465919ffffffff,2.0,0.0,0.0
846591bffffffff,2.0,0.0,0.0
846591dffffffff,28.0,0.0,0.0
8465959ffffffff,4.0,0.0,0.0
8465993ffffffff,230.0,72.0,0.0
84659c1ffffffff,35.0,0.0,0.0
84659c9ffffffff,4.0,0.0,0.0
84659dbffffffff,4.0,4.0,0.0
84659e9ffffffff,4.0,0.0,0.0
8465b01ffffffff,158.0,13.0,0.0
8465b09ffffffff,26.0,12.0,0.0
8465b2bffffffff,5.0,0.0,0.0
8465b39ffffffff,21.0,0.0,0.0
8465b3dffffffff,28.0,0.0,0.0
8465b6bffffffff,1.0,0.0,0.0
8468025ffffffff,69.0,0.0,0.0
8468111ffffffff,2.0,0.0,0.0
8468115ffffffff,2.0,0.0,0.0
8468119ffffffff,1.0,1.0,0.0
846811bffffffff,84.0,13.0,0.0
8468123ffffffff,12.0,0.0,0.0
8468139ffffffff,1.0,0.0,0.0
8468181ffffffff,1.0,0.0,0.0
8468185ffffffff,41.0,0.0,0.0
8468189ffffffff,80.0,2.0,0.0
846818bffffffff,6.0,1.0,0.0
846818dffffffff,277.0,36.0,0.0
846819dffffffff,25.0,2.0,0.0
84681a9ffffffff,32.0,3.0,0.0
84681c3ffffffff,23.0,0.0,0.0
84681c5ffffffff,24.0,0.0,0.0
84681cbffffffff,1.0,0.0,0.0
84681d5ffffffff,32.0,0.0,0.0
84681e3ffffffff,3.0,0.0,0.0
