cell_id,Colaptes auratus,Colaptes auratus chrysocaulosus,Colaptes auratus gundlachi,Colaptes auratus auratus/luteus,Colaptes auratus [cafer Group],Colaptes auratus luteus x cafer
820c27fffffffff,4.0,0.0,0.0,1.0,0.0,0.0
820c2ffffffffff,9.0,0.0,0.0,4.0,0.0,0.0
820c47fffffffff,101.0,0.0,0.0,7.0,0.0,0.0
820c57fffffffff,21.0,0.0,0.0,7.0,0.0,0.0
820c67fffffffff,228.0,0.0,0.0,66.0,0.0,0.0
820c77fffffffff,471.0,0.0,0.0,129.0,0.0,0.0
820d47fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
820d4ffffffffff,116.0,0.0,0.0,40.0,0.0,0.0
820d57fffffffff,24.0,0.0,0.0,6.0,0.0,0.0
820d5ffffffffff,440.0,0.0,0.0,94.0,0.0,0.0
820d67fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
820d6ffffffffff,6.0,0.0,0.0,1.0,0.0,0.0
820e47fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,1064.0,0.0,0.0,0.0,0.0,0.0
820e57fffffffff,33.0,0.0,0.0,0.0,0.0,0.0
820e5ffffffffff,86.0,0.0,0.0,0.0,0.0,0.0
820e67fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820e6ffffffffff,25.0,0.0,0.0,0.0,0.0,0.0
820e87fffffffff,456.0,0.0,0.0,0.0,0.0,0.0
820e8ffffffffff,20.0,0.0,0.0,0.0,0.0,0.0
820e97fffffffff,3.0,0.0,0.0,1.0,0.0,0.0
820e9ffffffffff,18.0,0.0,0.0,9.0,0.0,0.0
820ec7fffffffff,51.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,741.0,0.0,0.0,126.0,0.0,0.0
820ed7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
820edffffffffff,62.0,0.0,0.0,3.0,0.0,0.0
820ee7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820eeffffffffff,708.0,0.0,0.0,0.0,0.0,0.0
820ef7fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
820f5ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82120ffffffffff,30.0,0.0,0.0,0.0,0.0,0.0
821217fffffffff,70.0,0.0,0.0,17.0,0.0,0.0
82121ffffffffff,386.0,0.0,0.0,59.0,14.0,0.0
821227fffffffff,19.0,0.0,0.0,10.0,0.0,0.0
82122ffffffffff,29.0,0.0,0.0,2.0,0.0,0.0
821237fffffffff,59.0,0.0,0.0,50.0,0.0,0.0
821247fffffffff,58.0,0.0,0.0,1.0,0.0,0.0
82124ffffffffff,91.0,0.0,0.0,17.0,0.0,0.0
821257fffffffff,1005.0,0.0,0.0,321.0,0.0,0.0
82125ffffffffff,1224.0,0.0,0.0,438.0,1.0,7.0
821267fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
82126ffffffffff,24.0,0.0,0.0,0.0,0.0,0.0
821277fffffffff,589.0,0.0,0.0,123.0,0.0,2.0
821287fffffffff,731.0,0.0,0.0,6.0,37.0,16.0
82128ffffffffff,2223.0,0.0,0.0,12.0,380.0,7.0
821297fffffffff,271.0,0.0,0.0,0.0,69.0,2.0
82129ffffffffff,213.0,0.0,0.0,0.0,28.0,0.0
8212a7fffffffff,28.0,0.0,0.0,0.0,6.0,0.0
8212affffffffff,2381.0,0.0,0.0,11.0,30.0,226.0
8212b7fffffffff,1103.0,0.0,0.0,0.0,74.0,50.0
8212c7fffffffff,4562.0,0.0,0.0,10.0,296.0,18.0
8212cffffffffff,32972.0,0.0,0.0,312.0,1987.0,382.0
8212d7fffffffff,14253.0,0.0,0.0,9.0,3171.0,88.0
8212dffffffffff,24523.0,0.0,0.0,3.0,4953.0,41.0
8212e7fffffffff,354.0,0.0,0.0,24.0,7.0,0.0
8212effffffffff,6082.0,0.0,0.0,339.0,74.0,152.0
8212f7fffffffff,937.0,0.0,0.0,3.0,24.0,179.0
821307fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
82130ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821317fffffffff,10.0,0.0,0.0,2.0,0.0,0.0
821347fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821357fffffffff,247.0,0.0,0.0,84.0,0.0,0.0
82135ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,1337.0,0.0,0.0,322.0,0.0,0.0
82138ffffffffff,571.0,0.0,0.0,83.0,0.0,0.0
821397fffffffff,72.0,0.0,0.0,19.0,1.0,0.0
82139ffffffffff,75.0,0.0,0.0,5.0,13.0,0.0
8213a7fffffffff,36.0,0.0,0.0,7.0,0.0,0.0
8213affffffffff,19.0,0.0,0.0,0.0,0.0,0.0
8213b7fffffffff,317.0,0.0,0.0,94.0,0.0,0.0
821aa7fffffffff,2987.0,0.0,0.0,1291.0,0.0,0.0
821ab7fffffffff,25.0,0.0,0.0,1.0,0.0,0.0
821b87fffffffff,11.0,0.0,0.0,2.0,0.0,0.0
821b97fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
821b9ffffffffff,251.0,0.0,0.0,27.0,0.0,0.0
821bb7fffffffff,6.0,0.0,0.0,4.0,0.0,0.0
821d27fffffffff,47.0,0.0,0.0,0.0,0.0,1.0
822607fffffffff,3015.0,0.0,0.0,898.0,4.0,13.0
82260ffffffffff,8780.0,0.0,0.0,1609.0,2.0,20.0
822617fffffffff,2136.0,0.0,0.0,223.0,195.0,55.0
82261ffffffffff,2144.0,0.0,0.0,412.0,55.0,30.0
822627fffffffff,7651.0,0.0,0.0,1034.0,0.0,0.0
82262ffffffffff,8985.0,0.0,0.0,1406.0,0.0,0.0
822637fffffffff,1720.0,0.0,0.0,533.0,9.0,30.0
822647fffffffff,16541.0,0.0,0.0,4203.0,0.0,0.0
82264ffffffffff,13407.0,0.0,0.0,2022.0,0.0,0.0
822657fffffffff,22907.0,0.0,0.0,4112.0,21.0,0.0
82265ffffffffff,8006.0,0.0,0.0,1936.0,0.0,0.0
822667fffffffff,45503.0,0.0,0.0,9982.0,0.0,0.0
82266ffffffffff,16556.0,0.0,0.0,4001.0,0.0,0.0
822677fffffffff,5711.0,0.0,0.0,1262.0,0.0,0.0
822687fffffffff,41803.0,0.0,0.0,75.0,9056.0,389.0
82268ffffffffff,73132.0,0.0,0.0,246.0,15590.0,567.0
822697fffffffff,20902.0,0.0,0.0,0.0,10440.0,35.0
82269ffffffffff,20991.0,0.0,0.0,0.0,6656.0,1.0
8226a7fffffffff,2323.0,0.0,0.0,24.0,497.0,90.0
8226affffffffff,18206.0,0.0,0.0,923.0,2256.0,416.0
8226b7fffffffff,3344.0,0.0,0.0,0.0,893.0,10.0
8226c7fffffffff,4603.0,0.0,0.0,646.0,200.0,17.0
8226cffffffffff,9673.0,0.0,0.0,1901.0,83.0,0.0
8226d7fffffffff,3979.0,0.0,0.0,187.0,1105.0,97.0
8226dffffffffff,2469.0,0.0,0.0,180.0,354.0,22.0
8226e7fffffffff,15586.0,0.0,0.0,2381.0,319.0,64.0
8226effffffffff,5249.0,0.0,0.0,1250.0,20.0,2.0
8226f7fffffffff,4448.0,0.0,0.0,415.0,428.0,122.0
822707fffffffff,3168.0,0.0,0.0,1155.0,0.0,0.0
82270ffffffffff,3758.0,0.0,0.0,812.0,0.0,0.0
822717fffffffff,1859.0,0.0,0.0,623.0,0.0,0.0
82271ffffffffff,2651.0,0.0,0.0,938.0,0.0,0.0
822727fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
82272ffffffffff,102.0,0.0,0.0,11.0,0.0,0.0
822737fffffffff,11.0,0.0,0.0,3.0,0.0,0.0
822747fffffffff,14281.0,0.0,0.0,4054.0,0.0,0.0
82274ffffffffff,58202.0,0.0,0.0,8823.0,0.0,0.0
822757fffffffff,15952.0,0.0,0.0,3823.0,0.0,0.0
82275ffffffffff,40738.0,0.0,0.0,6522.0,0.0,0.0
822767fffffffff,3676.0,0.0,0.0,865.0,0.0,0.0
82276ffffffffff,15390.0,0.0,0.0,4117.0,0.0,0.0
822777fffffffff,2691.0,0.0,0.0,659.0,0.0,0.0
822787fffffffff,1336.0,0.0,0.0,136.0,176.0,71.0
82278ffffffffff,2014.0,0.0,0.0,164.0,264.0,45.0
822797fffffffff,6643.0,0.0,0.0,31.0,832.0,42.0
82279ffffffffff,3183.0,0.0,0.0,24.0,783.0,54.0
8227a7fffffffff,1498.0,0.0,0.0,527.0,10.0,11.0
8227affffffffff,2970.0,0.0,0.0,814.0,41.0,100.0
8227b7fffffffff,1389.0,0.0,0.0,85.0,132.0,21.0
822807fffffffff,10571.0,0.0,0.0,0.0,3101.0,15.0
822817fffffffff,19830.0,0.0,0.0,3.0,7833.0,71.0
82281ffffffffff,24970.0,0.0,0.0,34.0,4580.0,201.0
822837fffffffff,114824.0,0.0,0.0,108.0,27837.0,1277.0
822887fffffffff,23722.0,0.0,0.0,0.0,6619.0,6.0
82288ffffffffff,25908.0,0.0,0.0,2.0,5560.0,153.0
822897fffffffff,10267.0,0.0,0.0,0.0,2674.0,33.0
82289ffffffffff,14987.0,0.0,0.0,2.0,3031.0,36.0
8228a7fffffffff,1227.0,0.0,0.0,0.0,425.0,0.0
8228affffffffff,19090.0,0.0,0.0,15.0,3155.0,78.0
8228b7fffffffff,8869.0,0.0,0.0,0.0,2853.0,0.0
8228c7fffffffff,6337.0,0.0,0.0,0.0,1448.0,114.0
8228cffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
