cell_id,Pternistis afer,Pternistis afer cranchii/harterti,Pternistis afer [leucoparaeus Group],Pternistis afer afer,Pternistis afer castaneiventer
827a6ffffffffff,9.0,7.0,0.0,0.0,0.0
827b4ffffffffff,1.0,0.0,0.0,0.0,0.0
82962ffffffffff,6.0,0.0,0.0,0.0,0.0
829697fffffffff,3.0,0.0,0.0,0.0,0.0
829717fffffffff,6.0,0.0,0.0,0.0,0.0
82ac8ffffffffff,2.0,0.0,0.0,0.0,0.0
82bc47fffffffff,2.0,0.0,0.0,0.0,0.0
82bc57fffffffff,4.0,0.0,0.0,0.0,0.0
82bc77fffffffff,11.0,0.0,0.0,0.0,3.0
82bcc7fffffffff,2.0,0.0,0.0,0.0,0.0
82bcf7fffffffff,2.0,0.0,0.0,0.0,0.0
